publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs
Learning for Living	0023-9704		1961-01-01	1	1	1978-12-31	17	4	http://www.tandfonline.com/openurl?genre=journal&stitle=cbre19		openurl?genre=journal&stitle=cbre19		fulltext			serial										0023-9704		
Critical Public Health	0958-1596	1469-3682	1990-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ccph20		openurl?genre=journal&stitle=ccph20		fulltext			serial										0958-1596	1469-3682	
Disability, Handicap & Society	0267-4645		1986-01-01	1	1	1993-12-31	8	4	http://www.tandfonline.com/openurl?genre=journal&stitle=cdso19		openurl?genre=journal&stitle=cdso19		fulltext	now: Disability & Society		serial										0267-4645		
Soviet Studies	0038-5859		1949-01-01	1	1	1992-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=ceas19		openurl?genre=journal&stitle=ceas19		fulltext			serial										0038-5859		
Revue A T E E Journal	0379-606X		1978-01-01	1	1	1982-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=cete19		openurl?genre=journal&stitle=cete19		fulltext			serial										0379-606X		
Ethnicity & Health	1355-7858	1465-3419	1996-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ceth20		openurl?genre=journal&stitle=ceth20		fulltext			serial										1355-7858	1465-3419	
Education and the Law	0953-9964	1469-5774	1989-01-01	1	1	2008-12-31	20	4	http://www.tandfonline.com/openurl?genre=journal&stitle=cetl20		openurl?genre=journal&stitle=cetl20		fulltext			serial										0953-9964	1469-5774	
Paradigms	0951-9750		1987-01-01	1	1	1995-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=cgsj19		openurl?genre=journal&stitle=cgsj19		fulltext			serial										0951-9750		
European Journal of High Ability	0937-4450		1991-01-01	1	1	1995-12-31	6	2	http://www.tandfonline.com/openurl?genre=journal&stitle=chas19		openurl?genre=journal&stitle=chas19		fulltext			serial										0937-4450		
Higher Education in Europe	0379-7724	1469-8358	1976-01-01	1	1	1996-12-31	21	4	http://www.tandfonline.com/openurl?genre=journal&stitle=chee20		openurl?genre=journal&stitle=chee20		fulltext			serial										0379-7724	1469-8358	
Health, Risk & Society	1369-8575	1469-8331	1999-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=chrs20		openurl?genre=journal&stitle=chrs20		fulltext			serial										1369-8575	1469-8331	
Journal of Industry Studies	1320-6095		1993-01-01	1	1	1996-12-31	3	2	http://www.tandfonline.com/openurl?genre=journal&stitle=ciai19		openurl?genre=journal&stitle=ciai19		fulltext			serial										1320-6095		
Indonesia Circle. School of Oriental & African Studies. Newsletter	0306-2848		1973-01-01	1	1	1996-12-31	24	70	http://www.tandfonline.com/openurl?genre=journal&stitle=cimw19		openurl?genre=journal&stitle=cimw19		fulltext			serial										0306-2848		
Religion Today	0267-1700		1984-01-01	1	1	1994-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=cjcr19		openurl?genre=journal&stitle=cjcr19		fulltext			serial										0267-1700		
Journal of Educational Television	0260-7417		1975-01-01	1	1	1995-12-31	21	3	http://www.tandfonline.com/openurl?genre=journal&stitle=cjem18		openurl?genre=journal&stitle=cjem18		fulltext			serial										0260-7417		
Planning Outlook	0032-0714		1966-01-01	1	1	1991-01-01			http://www.tandfonline.com/openurl?genre=journal&stitle=cjep19		openurl?genre=journal&stitle=cjep19		fulltext	now: Journal of Environmental Planning and Management. Previously:Planning Outlook Series 1 (1948 - 1965)		serial										0032-0714		
British Journal of Teacher Education	0305-8913		1975-01-01	1	1	1980-12-31	6	3	http://www.tandfonline.com/openurl?genre=journal&stitle=cjet19		openurl?genre=journal&stitle=cjet19		fulltext			serial										0305-8913		
British Journal of Education & Work	0269-0004		1987-01-01	1	1	1996-12-31	9	3	http://www.tandfonline.com/openurl?genre=journal&stitle=cjew19		openurl?genre=journal&stitle=cjew19		fulltext			serial										0269-0004		
Journal of Tertiary Education Administration	1036-9708		1979-01-01	1	1	1995-12-31	17	2	http://www.tandfonline.com/openurl?genre=journal&stitle=cjhe19		openurl?genre=journal&stitle=cjhe19		fulltext			serial										1036-9708		
Australian Journal of Development Disabilities	0159-9011		1980-01-01	6	1	1981-12-31	7	4	http://www.tandfonline.com/openurl?genre=journal&stitle=cjid18		openurl?genre=journal&stitle=cjid18		fulltext	Now: Journal of Intellectual and Developmental Disability. Previously Australian Journal of Mental Retardation (1970-1979) Continues: Australia and New Zealand Journal of Developmental Disabilities (1982-1995)		serial										0159-9011		
Australia and New Zealand Journal of Developmental Disabilities	0726-3864		1982-01-01	8	1	1995-12-31	20	4	http://www.tandfonline.com/openurl?genre=journal&stitle=cjid19		openurl?genre=journal&stitle=cjid19		fulltext	Now: Journal of Intellectual and Developmental Disability. Previously: Australian Journal of Mental Retardation (1970-1979), Australian Journal of Development Disabilities (1980-1981)		serial										0726-3864		
Travesia	0965-8343		1992-01-01	1	1	1994-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=cjla19		openurl?genre=journal&stitle=cjla19		fulltext			serial										0965-8343		
Institute of Muslim Minority Affairs. Journal	0266-6952		1979-01-01	1	1	1994-12-31	15	01-Feb	http://www.tandfonline.com/openurl?genre=journal&stitle=cjmm19		openurl?genre=journal&stitle=cjmm19		fulltext			serial										0266-6952		
London Review of Education	1474-8460	1474-8479	2003-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=clre20		openurl?genre=journal&stitle=clre20		fulltext			serial										1474-8460	1474-8479	
Studies in Newspaper and Periodical History	1075-0673		1993-01-01	1	01-Feb	1995-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=cmeh19		openurl?genre=journal&stitle=cmeh19		fulltext			serial										1075-0673		
Mentoring	0968-4654		1993-01-01	1	1	1994-12-31	1	3	http://www.tandfonline.com/openurl?genre=journal&stitle=cmet19		openurl?genre=journal&stitle=cmet19		fulltext			serial										0968-4654		
Interdisciplinary Peace Research	1032-3856		1989-01-01	1	1	1993-12-31	5	2	http://www.tandfonline.com/openurl?genre=journal&stitle=cpar18		openurl?genre=journal&stitle=cpar18		fulltext			serial										1032-3856		
Communist Economies	0954-0113		1989-01-01	1	1	1990-12-31	2	4	http://www.tandfonline.com/openurl?genre=journal&stitle=cpce18		openurl?genre=journal&stitle=cpce18		fulltext	Now: Communist Economies and Economic Transformation; Post-Communist Economies		serial										0954-0113		
Psychology, Health & Medicine	1354-8506	1465-3966	1996-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cphm20		openurl?genre=journal&stitle=cphm20		fulltext			serial										1354-8506	1465-3966	
Religion in Communist Lands	0307-5974		1973-01-01	1	1	1991-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=crss19		openurl?genre=journal&stitle=crss19		fulltext			serial										0307-5974		
Pedagogisk Forskning	0332-9291		1957-01-01	1	1	1970-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=csje19		openurl?genre=journal&stitle=csje19		fulltext			serial										0332-9291		
School Organisation	0260-1362	1360-0605	1981-01-01	1	1	1996-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=cslm19		openurl?genre=journal&stitle=cslm19		fulltext			serial										0260-1362	1360-0605	
Ankara Papers	1474-7782	1940-218X	2004-01-01	9	1	2005-12-31	16	1	http://www.tandfonline.com/openurl?genre=journal&stitle=fank20		openurl?genre=journal&stitle=fank20		fulltext	Ceased:2005		serial										1474-7782	1940-218X	
British Elections and Parties Yearbook	0968-2481		1991-01-01	1	1	1996-12-31	6	1	http://www.tandfonline.com/openurl?genre=journal&stitle=fbep18		openurl?genre=journal&stitle=fbep18		fulltext	Now: Journal of Elections, Public Opinion & Parties; British Elections & Parties Review		serial										0968-2481		
Contemporary Record	0950-9224		1987-01-01	1	1	1995-12-31	9	3	http://www.tandfonline.com/openurl?genre=journal&stitle=fcbh19		openurl?genre=journal&stitle=fcbh19		fulltext			serial										0950-9224		
Journal of Commonwealth Political Studies	0021-9908		1961-01-01	1	1	1973-12-31	11	3	http://www.tandfonline.com/openurl?genre=journal&stitle=fccp18		openurl?genre=journal&stitle=fccp18		fulltext			serial										0021-9908		
Soviet Jewish Affairs	0038-545X		1971-01-01	1	1	1991-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=feej19		openurl?genre=journal&stitle=feej19		fulltext			serial										0038-545X		
Journal of Communist Studies	0268-4535		1985-01-01	1	1	1993-12-31	9	4	http://www.tandfonline.com/openurl?genre=journal&stitle=fjcs19		openurl?genre=journal&stitle=fjcs19		fulltext	Now: Journal of Communist Studies and Transition Politics; East European Politics		serial										0268-4535		
Studies in Zionism	0334-1771		1980-01-01	1	1	1993-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=fjih19		openurl?genre=journal&stitle=fjih19		fulltext			serial										0334-1771		
Medicine and War	0748-8009		1985-01-01	1	1	1996-12-31	12	4	http://www.tandfonline.com/openurl?genre=journal&stitle=fmcs19		openurl?genre=journal&stitle=fmcs19		fulltext			serial										0748-8009		
Prose Studies 1800-1900	0954-4135		1977-01-01	1	1	1979-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=fprs19		openurl?genre=journal&stitle=fprs19		fulltext			serial										0954-4135		
The Review of International Affairs	1475-3553		2003-06-01	2	4	2004-12-31	3	4	http://www.tandfonline.com/openurl?genre=journal&stitle=frev20		openurl?genre=journal&stitle=frev20		fulltext	Ceased: 2005		serial										1475-3553		
Regional Politics and Policy	0959-230X		1991-01-01	1	1	1994-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=frfs19		openurl?genre=journal&stitle=frfs19		fulltext			serial										0959-230X		
Service Industries Review	0262-8546		1981-01-01	1	1	1982-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=fsij19		openurl?genre=journal&stitle=fsij19		fulltext			serial										0262-8546		
The Journal of Soviet Military Studies	0954-254X		1988-01-01	1	1	1992-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=fslv19		openurl?genre=journal&stitle=fslv19		fulltext			serial										0954-254X		
Geophysical Fluid Dynamics	0016-7991		1970-01-01	1	01-Feb	1975-12-31	7	1	http://www.tandfonline.com/openurl?genre=journal&stitle=ggaf19		openurl?genre=journal&stitle=ggaf19		fulltext			serial										0016-7991		
Journal of Atmospheric & Ocean Science	1741-7538	1741-7546	2002-01-01	8	1	2005-12-31	10	4	http://www.tandfonline.com/openurl?genre=journal&stitle=ggao20		openurl?genre=journal&stitle=ggao20		fulltext			serial										1741-7538	1741-7546	
Isotopenpraxis Isotopes in Environmental and Health Studies	0021-1915		1965-01-01	1	1	1994-12-31	30	4	http://www.tandfonline.com/openurl?genre=journal&stitle=gieh19		openurl?genre=journal&stitle=gieh19		fulltext			serial										0021-1915		
I V H S Journal	1065-5123		1993-01-01	1	1	1995-12-31	2	4	http://www.tandfonline.com/openurl?genre=journal&stitle=gits18		openurl?genre=journal&stitle=gits18		fulltext			serial										1065-5123		
Molecular Crystals	0369-1152		1966-01-01	1	1	1969-12-31	6	2	http://www.tandfonline.com/openurl?genre=journal&stitle=gmcl15		openurl?genre=journal&stitle=gmcl15		fulltext			serial										0369-1152		
Molecular Crystals and Liquid Crystals Incorporating Nonlinear Optics	1044-1859		1987-01-01	150	1	1990-12-31	193	1	http://www.tandfonline.com/openurl?genre=journal&stitle=gmcl17		openurl?genre=journal&stitle=gmcl17		fulltext			serial										1044-1859		
Music and Man	0306-2082		1973-01-01	1	1	1978-12-31	2	03-Apr	http://www.tandfonline.com/openurl?genre=journal&stitle=gmur19		openurl?genre=journal&stitle=gmur19		fulltext			serial										0306-2082		
Milton and the Romantics	0145-529X		1975-01-01	1	1	1980-12-31	4	1	http://www.tandfonline.com/openurl?genre=journal&stitle=gncc18		openurl?genre=journal&stitle=gncc18		fulltext			serial										0145-529X		
Romanticism Past and Present	0733-6519		1981-01-01	5	1	1986-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=gncc19		openurl?genre=journal&stitle=gncc19		fulltext			serial										0733-6519		
Mathematische Operationsforschung und Statistik. Series Optimization	0323-3898		1977-01-01	8	1	1984-12-31	15	4	http://www.tandfonline.com/openurl?genre=journal&stitle=gopt19		openurl?genre=journal&stitle=gopt19		fulltext			serial										0323-3898		
Polymer News: The Polymer Science Monthly	0032-3918		2004-01-01	29	1	2005-12-31	30	12	http://www.tandfonline.com/openurl?genre=journal&stitle=gpln20		openurl?genre=journal&stitle=gpln20		fulltext	Ceased:2006		serial										0032-3918		
Radiation Effects	0033-7579		1969-01-01	1	1	1989-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=grad19		openurl?genre=journal&stitle=grad19		fulltext			serial										0033-7579		
Surveys in High Energy Physics	0142-2413	1477-2892	1979-01-01	1	1	1996-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=gshe20		openurl?genre=journal&stitle=gshe20		fulltext			serial										0142-2413	1477-2892	
Mathematische Operationsforschung und Statistik	0047-6277		1970-01-01	1	1	1976-12-31	7	6	http://www.tandfonline.com/openurl?genre=journal&stitle=gsta18		openurl?genre=journal&stitle=gsta18		fulltext			serial										0047-6277		
Series Statistics	0323-3944		1977-01-01	8	1	1984-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=gsta19		openurl?genre=journal&stitle=gsta19		fulltext			serial										0323-3944		
Toxicological & Environmental Chemistry Reviews	0092-9867		1972-01-01	1	01-Feb	1979-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=gtec19		openurl?genre=journal&stitle=gtec19		fulltext			serial										0092-9867		
Applied Neuropsychology: Child	2162-2965	2162-2973	2012-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hapc20		openurl?genre=journal&stitle=hapc20		fulltext	Formerly part of Applied Neuropsychology (1994 - 2011)		serial										2162-2965	2162-2973	
Journal of Broadcasting	0021-938X		1957-01-01	1	1	1984-12-31	28	4	http://www.tandfonline.com/openurl?genre=journal&stitle=hbem19		openurl?genre=journal&stitle=hbem19		fulltext			serial										0021-938X		
Behavioral Sleep Medicine	1540-2002	1540-2010	2003-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hbsm20		openurl?genre=journal&stitle=hbsm20		fulltext			serial										1540-2002	1540-2010	
Journal of the Association for the Care of Children in Hospitals	0145-3351		1980-01-01	8	3	1981-12-31	9	3	http://www.tandfonline.com/openurl?genre=journal&stitle=hchc19		openurl?genre=journal&stitle=hchc19		fulltext			serial										0145-3351		
Children's Health Care	0273-9615	1532-6888	1981-01-01	10	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hchc20		openurl?genre=journal&stitle=hchc20		fulltext			serial										0273-9615	1532-6888	
Journal of Community Health Nursing	0737-0016	1532-7655	1984-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hchn20		openurl?genre=journal&stitle=hchn20		fulltext			serial										0737-0016	1532-7655	
International Listening Association. Journal	1092-4507		1987-01-01	1	1	1994-12-31	8	1	http://www.tandfonline.com/openurl?genre=journal&stitle=hijl19		openurl?genre=journal&stitle=hijl19		fulltext			serial										1092-4507		
Journal of Sex Research, The	0022-4499	1559-8519	1965-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hjsr20		openurl?genre=journal&stitle=hjsr20		fulltext	previously: Annual Review of Sex Research (1990 - 2007)		serial										0022-4499	1559-8519	
NHSA Research Quarterly	1089-2583		1997-03-01	1	1	1997-12-31	1	4	http://www.tandfonline.com/openurl?genre=journal&stitle=hnhd19		openurl?genre=journal&stitle=hnhd19		fulltext	Ceased:2013. Continues: NHSA Dialog (1999-2012)		serial										1089-2583		
NHSA Dialog	1524-0754	1930-9325	1999-01-01	2	1	2012-12-31	15	4	http://www.tandfonline.com/openurl?genre=journal&stitle=hnhd20		openurl?genre=journal&stitle=hnhd20		fulltext	Ceased: 2013. Previously: NHSA Research Quarterly (1997-1998)		serial										1524-0754	1930-9325	
Nutrition and Cancer	0163-5581	1532-7914	1978-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hnuc20		openurl?genre=journal&stitle=hnuc20		fulltext			serial										0163-5581	1532-7914	
Journal of Organizational Computing	1054-1721		1991-01-01	1	1	1995-12-31	5	4	http://www.tandfonline.com/openurl?genre=journal&stitle=hoce19		openurl?genre=journal&stitle=hoce19		fulltext			serial										1054-1721		
Public Relations Research Annual	1042-1408		1989-01-01	1	01-Apr	1991-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=hprr19		openurl?genre=journal&stitle=hprr19		fulltext			serial										1042-1408		
Paper in Linguistics	0031-1251		1969-01-01	1	1	1986-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=hrls19		openurl?genre=journal&stitle=hrls19		fulltext			serial										0031-1251		
Storytelling, Self, Society	1550-5340	1932-0280	2004-01-01	1	1	2012-12-31	8	3	http://www.tandfonline.com/openurl?genre=journal&stitle=hsts20		openurl?genre=journal&stitle=hsts20		fulltext	transfer out (2013): Wayne State University Press		serial										1550-5340	1932-0280	
Trends in Communication	1383-8857		2003-01-01	11	1	2004-12-31	12	4	http://www.tandfonline.com/openurl?genre=journal&stitle=hzzi20		openurl?genre=journal&stitle=hzzi20		fulltext	Ceased: 2005		serial										1383-8857		
Understanding Statistics	1534-844X	1532-8031	2002-01-01	1	1	2004-12-31	3	4	http://www.tandfonline.com/openurl?genre=journal&stitle=hzzk20		openurl?genre=journal&stitle=hzzk20		fulltext	Ceased: 2005		serial										1534-844X	1532-8031	
Augmentative and Alternative Communication	0743-4618	1477-3848	1985-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=iaac20		openurl?genre=journal&stitle=iaac20		fulltext			serial										0743-4618	1477-3848	
Archives of Andrology	0148-5016	1521-0375	1978-01-01	1	1	2007-12-31	53	6	http://www.tandfonline.com/openurl?genre=journal&stitle=iaan20		openurl?genre=journal&stitle=iaan20		fulltext	Now: Systems Biology in Reproductive Medicine		serial										0148-5016	1521-0375	
Acute Cardiac Care	1748-2941	1748-295X	2006-01-01	8	1				http://www.tandfonline.com/openurl?genre=journal&stitle=iacc20		openurl?genre=journal&stitle=iacc20		fulltext	Previously:International Journal of Cardiovascular Interventions (1998-2005)		serial										1748-2941	1748-295X	
The American Journal of Drug and Alcohol Abuse	0095-2990	1097-9891	1974-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=iada20		openurl?genre=journal&stitle=iada20		fulltext			serial										0095-2990	1097-9891	
Amyotrophic Lateral Sclerosis	1748-2968	1471-180X	2006-01-01	7	1	2012-10-30	13		http://www.tandfonline.com/openurl?genre=journal&stitle=iafd20		openurl?genre=journal&stitle=iafd20		fulltext	Now: Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration Previously: Amyotrophic Lateral Sclerosis and other Motor Neuron (2000-2005)		serial										1748-2968	1471-180X	
Annals of Human Biology	0301-4460	1464-5033	1974-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=iahb20		openurl?genre=journal&stitle=iahb20		fulltext			serial										0301-4460	1464-5033	
The American Journal On Addictions	1055-0496	1521-0391	1992-01-01	1	1	2009-12-31	18	6	http://www.tandfonline.com/openurl?genre=journal&stitle=iaja20		openurl?genre=journal&stitle=iaja20		fulltext	transfer out (2009): Wiley		serial									10.1111/(ISSN)1521-0391	1055-0496	1521-0391	
Amyloid	1350-6129	1744-2818	1994-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=iamy20		openurl?genre=journal&stitle=iamy20		fulltext			serial										1350-6129	1744-2818	
Artificial Cells, Nanomedicine, and Biotechnology	2169-1401	2169-141X	2013-01-01	41	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ianb20		openurl?genre=journal&stitle=ianb20		fulltext	Previously: Artificial Cells, Blood Substitutes, and Biotechnology (1994-2012), Biomaterials, Artificial Cells and Immobilization Biotechnology (1991-1993), Biomaterials, Artificial Cells and Artificial Organs (1987-1990), Biomaterials, Medical Devices, and Artificial Organs (1973-1986)		serial										2169-1401	2169-141X	
Annals of Medicine	0785-3890	1365-2060	1989-01-01	21	1				http://www.tandfonline.com/openurl?genre=journal&stitle=iann20		openurl?genre=journal&stitle=iann20		fulltext			serial										0785-3890	1365-2060	
Australian and New Zealand Journal of Psychiatry	0004-8674	1440-1614	1967-01-01	1	1	2011-12-31	45	12	http://www.tandfonline.com/openurl?genre=journal&stitle=ianp20		openurl?genre=journal&stitle=ianp20		fulltext	transfer out (2012): Sage		serial										0004-8674	1440-1614	
Australasian Psychiatry	1039-8562	1440-1665	1993-01-01	1		2011-12-31	19	6	http://www.tandfonline.com/openurl?genre=journal&stitle=iapy20		openurl?genre=journal&stitle=iapy20		fulltext	transfer out (2012): Sage		serial										1039-8562	1440-1665	
Acta Radiologica	0284-1851	1600-0455	1987-01-01	28	1	2010-12-31	51	10	http://www.tandfonline.com/openurl?genre=journal&stitle=iard20		openurl?genre=journal&stitle=iard20		fulltext	transfer out (2012): Sage. Previoulsy: Acta Radiologica: Diagnosis (1963 - 1986)		serial										0284-1851	1600-0455	
Archives of Physiology and Biochemistry	1381-3455	1744-4160	1995-01-01	103	1				http://www.tandfonline.com/openurl?genre=journal&stitle=iarp20		openurl?genre=journal&stitle=iarp20		fulltext	Previously: Archives Internationales de Physiologie, de Biochimie et de Biophysique (1991-1994), Archives Internationales de Physiologie et de Biochimie (1955-1990), Archives Internationales de Physiologie (1904-1954) 		serial										1381-3455	1744-4160	
Addiction Research & Theory	1606-6359	1476-7392	2001-01-01	8	1				http://www.tandfonline.com/openurl?genre=journal&stitle=iart20		openurl?genre=journal&stitle=iart20		fulltext	previously: Addiction Research (1993-2000)		serial										1606-6359	1476-7392	
Advances in Speech Language Pathology	1441-7049	1742-9528	1999-01-01	1	1	2007-12-31	9	4	http://www.tandfonline.com/openurl?genre=journal&stitle=iasl20		openurl?genre=journal&stitle=iasl20		fulltext	Now: International Journal of Speech-Language Pathology		serial										1441-7049	1742-9528	
Autoimmunity	0891-6934	1607-842X	1988-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=iaut20		openurl?genre=journal&stitle=iaut20		fulltext			serial										0891-6934	1607-842X	
Biocatalysis and Biotransformation	1024-2422	1029-2446	1995-01-01	13	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ibab20		openurl?genre=journal&stitle=ibab20		fulltext	Previously: Biocatalysis (1987-1994)		serial										1024-2422	1029-2446	
Biotechnic & Histochemistry	1052-0295	1473-7760	1991-01-01	66	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ibih20		openurl?genre=journal&stitle=ibih20		fulltext	Previously: Stain Technology (1926-1990)		serial										1052-0295	1473-7760	
Brain injury	0269-9052	1362-301X	1987-01-01						http://www.tandfonline.com/openurl?genre=journal&stitle=ibij20		openurl?genre=journal&stitle=ibij20		fulltext			serial										0269-9052	1362-301X	
British Journal of Neurosurgery	0268-8697	1360-046X	1987-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ibjn20		openurl?genre=journal&stitle=ibjn20		fulltext			serial										0268-8697	1360-046X	
Blood Pressure	0803-7051	1651-1999	1992-01-01						http://www.tandfonline.com/openurl?genre=journal&stitle=iblo20		openurl?genre=journal&stitle=iblo20		fulltext			serial										0803-7051	1651-1999	
CRC Critical Reviews in Biochemistry	0045-6411		1972-01-01	1	1	1980-12-31	9	3	http://www.tandfonline.com/openurl?genre=journal&stitle=ibmg20		openurl?genre=journal&stitle=ibmg20		fulltext	Now: Critical Reviews in Biochemistry and Molecular Biology		serial										0045-6411		
