publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	notes	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status	field34
Accountability in Research	0898-9621	1545-5815	1989-01-01	1	01-Mar				https://www.tandfonline.com/openurl?genre=journal&stitle=gacr20		gacr20		fulltext			serial											0898-9621	1545-5815					Current	
Accounting Education	0963-9284	1468-4489	1992-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=raed20		raed20		fulltext			serial											0963-9284	1468-4489					Current	
Accounting Forum	0155-9982	1467-6303	2004-03-01	28	1				https://www.tandfonline.com/openurl?genre=journal&stitle=racc20		racc20		fulltext			serial											0155-9982	1467-6303					Current	
Accounting History Review	2155-2851	2155-286X	2011-03-01	21	1				https://www.tandfonline.com/openurl?genre=journal&stitle=rabf21		rabf21		fulltext			serial									previously: Accounting, Business & Financial History (ISSN: 0958-5206, 1990-2010)		2155-2851	2155-286X					Current	
Accounting and Business Research	0001-4788	2159-4260	1970-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=rabr20		rabr20		fulltext			serial											0001-4788	2159-4260					Current	
Accounting in Europe	1744-9480	1744-9499	2004-09-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=raie20		raie20		fulltext			serial									Part of the European Accounting Review: Full Set		1744-9480	1744-9499					Current	
Accounting, Business & Financial History	0958-5206	1466-4275	1990-01-01	1	1	2010-11-30	20	3	https://www.tandfonline.com/openurl?genre=journal&stitle=rabf20		rabf20		fulltext			serial									now: Accounting History Review (ISSN: 0958-5206, 2011- )		0958-5206	1466-4275					Current	
Acta Agriculturae Scandinavica, Section A - Animal Science	0906-4702	1651-1972	1992-01-01	42	1				https://www.tandfonline.com/openurl?genre=journal&stitle=saga20		saga20		fulltext			serial									split from: Acta Agriculturae Scandinavica (ISSN: 0001-5121, 1950-1991)		0906-4702	1651-1972					Current	
Acta Agriculturae Scandinavica, Section B - Soil & Plant Science	0906-4710	1651-1913	1992-01-01	42	1				https://www.tandfonline.com/openurl?genre=journal&stitle=sagb20		sagb20		fulltext			serial									split from: Acta Agriculturae Scandinavica (ISSN: 0001-5121, 1950-1991)		0906-4710	1651-1913					Current	
Acta Biomaterialia Odontologica Scandinavica		2333-7931	2015-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=iabo20		iabo20		fulltext			serial									Open Access			2333-7931			2016-01-01		Current	
Acta Borealia	0800-3831	1503-111X	1984-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=sabo20		sabo20		fulltext			serial											0800-3831	1503-111X					Current	
Acta Botanica Gallica	1253-8078	2166-3408	1993-01-01	140	1	2015-10-31	162	4	https://www.tandfonline.com/openurl?genre=journal&stitle=tabg20		tabg20		fulltext			serial									now: Botany Letters (ISSN: 2381-8107, 2016- ); formed by the union of: Bulletin de la Société Botanique de France. Actualités Botaniques (1978-1992), Bulletin de la Société Botanique de France. Lettres Botaniques (1979-1992)		1253-8078	2166-3408					Current	
Acta Cardiologica	0001-5385	0373-7934	2000-02-01	55	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tacd20		tacd20		fulltext			serial									transfer in (2017)		0001-5385	0373-7934			2017-02-01		Current	
Acta Chirurgica Belgica	1784-3421	2577-0160	2002-01-01	102	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tacb20		tacb20		fulltext			serial									transfer in (2016): Royal Belgian Society for Surgery		1784-3421	2577-0160			2016-01-01		Current	
Acta Clinica Belgica: International Journal of Clinical and Laboratory Medicine	1784-3286	2295-3337	1998-01-01	53	1				http://www.tandfonline.com/openurl?genre=journal&stitle=yacb20		yacb20		fulltext			serial									Previously: Acta Clinica Belgica (1946-1997). Transfer in (2016):Maney		1784-3286	2295-3337			2015-12-01		Current	
Acta Linguistica Hafniensia	0374-0463	1949-0763	1965-01-01	9	1				https://www.tandfonline.com/openurl?genre=journal&stitle=salh20		salh20		fulltext			serial									previously: Acta Linguistica (1900-1964)		0374-0463	1949-0763					Current	
Acta Obstetricia et Gynecologica Scandinavica	0001-6349	1600-0412	1921-01-01			2010-12-31	89	12	http://www.tandfonline.com/openurl?genre=journal&stitle=iobs20		iobs20		fulltext			serial									transfer out (2010):Wiley	10.1111/(ISSN)1600-0412	0001-6349	1600-0412			2015-08-01		Current	
Acta Odontologica Scandinavica	0001-6357	1502-3850	1939-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=iode20		iode20		fulltext			serial											0001-6357	1502-3850			2015-08-01		Current	
Acta Radiologica. Therapy Physics Biology	0567-8064		1963-01-01	1	1	1977-12-31	16	6	http://www.tandfonline.com/openurl?genre=journal&stitle=ionc20		ionc20		fulltext			serial									now: Acta Oncologica. Continues: Acta Radiologica: Oncology, Radiation, Physics, Biology (1978 - 1979), Acta radiologica. Oncology (1980-1996); free access		0567-8064				2015-08-01		Current	
Acta Orthopaedica Scandinavica	0001-6470	#1651-2551	1930-01-01	1		2004-12-31	75	6	http://www.tandfonline.com/openurl?genre=journal&stitle=iort20		iort20		fulltext			serial									now: Acta Orthopaedica (ISSN: 1745-3674, 2005- ); free access		0001-6470	1651-2551			2015-08-01		Current	
Acta Oto-Laryngologica Case Reports		2377-2484	2016-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=icro20		icro20		fulltext			serial									Open Access			2377-2484			2017-01-01		Current	
Acta Oto-laryngologica	0001-6489	1651-2251	1918-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ioto20		ioto20		fulltext			serial											0001-6489	1651-2251			2015-08-01		Current	
Journal of Early Christian History	2222-582X		2011-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=rech20		rech20		fulltext			serial									transfer in (2016).Previously: Acta Patristica et Byzantina (1990-2011)		2222-582X				2016-09-01		Current	
Acta Radiologica. Diagnosis	0567-8056		1963-01-01	1	1	1974-12-31	13	5	http://www.tandfonline.com/openurl?genre=journal&stitle=iard20		iard20		fulltext			serial									now: Acta Radiologica. Missing content (1975-1986); free access		0567-8056				2015-08-01		Current	
Scandinavian Journal of Rheumatology	0300-9742	1502-7732	1972-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=irhe20		irhe20		fulltext			serial									transfer in (2015): Informa Previously: Acta Rheumatologica Scandinavica (1955-1971)		0300-9742	1502-7732			2015-08-01		Current	
Acta Zoologica Lituanica	1392-1657	1648-6919	1995-01-01	1	1	2011-12-31	21	4	https://www.tandfonline.com/openurl?genre=journal&stitle=tzec19		tzec19		fulltext			serial									now: Zoology and Ecology (ISSN: 2165-8005, 2012- )		1392-1657	1648-6919					Current	
Action Learning: Research and Practice	1476-7333	1476-7341	2004-04-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=calr20		calr20		fulltext			serial											1476-7333	1476-7341					Current	
Action in Teacher Education	0162-6620	2158-6098	1978-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=uate20		uate20		fulltext			serial											0162-6620	2158-6098					Current	
Activities, Adaptation & Aging	0192-4788	1544-4368	1981-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=waaa20		waaa20		fulltext			serial											0192-4788	1544-4368					Current	
Acute Cardiac Care	1748-2941	1748-295X	2006-01-01	8	1				http://www.tandfonline.com/openurl?genre=journal&stitle=iacc20		iacc20		fulltext			serial									previously: International Journal of Cardiovascular Interventions (ISSN: 1462-8848, 1998-2005)		1748-2941	1748-295X			2015-08-01		Current	
Addiction Research	1058-6989		1993-01-01	1	1	2000-12-31	8	6	http://www.tandfonline.com/openurl?genre=journal&stitle=iart19		iart19		fulltext			serial									now: Addiction Research & Theory (ISSN: 1606-6359, 2001- )		1058-6989				2015-08-01		Current	
Addiction Research & Theory	1606-6359	1476-7392	2001-01-01	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=iart20		iart20		fulltext			serial									previously: Addiction Research (ISSN: 1058-6989, 1993-2000)		1606-6359	1476-7392			2015-08-01		Current	
Adelphi series	1944-5571	1944-558X	2010-04-01	50	412-413				https://www.tandfonline.com/openurl?genre=journal&stitle=tadl20		tadl20		fulltext			serial									previously: The Adelphi Papers (ISSN: 0567-932X, 1961-2009)		1944-5571	1944-558X					Current	
Adipocyte	2162-3945	2162-397X	2012-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=kadi20		kadi20		fulltext			serial									Open Access; transfer in (2015): Landes		2162-3945	2162-397X			2015-01-01		Current	
Human Service Organizations: Management, Leadership & Governance	2330-3131	2330-314X	2014-01-01	38	1				https://www.tandfonline.com/openurl?genre=journal&stitle=wasw20		wasw20		fulltext			serial									previously: Administration in Social Work (ISSN: 0364-3107; 1977-2013)		2330-3131	2330-314X					Current	
Administrative Theory & Praxis	1084-1806	1949-0461	1999-03-01	21	1				https://www.tandfonline.com/openurl?genre=journal&stitle=madt20		madt20		fulltext			serial									transfer in (2015): M.E. Sharpe		1084-1806	1949-0461			2015-01-01		Current	
Adoption Quarterly	1092-6755	1544-452X	1997-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=wado20		wado20		fulltext			serial											1092-6755	1544-452X					Current	
Advanced Composite Materials	0924-3046	1568-5519	1991-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=tacm20		tacm20		fulltext			serial											0924-3046	1568-5519					Current	
Advanced Device Materials	2055-0308	2055-0316	2015-01-01	1					http://www.tandfonline.com/openurl?genre=journal&stitle=yadv20		yadv20		fulltext			serial									transfer in (2016): Maney; open access		2055-0308	2055-0316			2015-12-01		Current	
Advanced Manufacturing: Polymer & Composites Science	2055-0340	2055-0359	2015-02-01	1					http://www.tandfonline.com/openurl?genre=journal&stitle=yadm20		yadm20		fulltext			serial									transfer in (2016): Maney; open access		2055-0340	2055-0359			2015-12-01		Current	
Advanced Robotics	0169-1864	1568-5535	1986-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=tadr20		tadr20		fulltext			serial											0169-1864	1568-5535					Current	
Journal of Addictive Diseases	1055-0887	1545-0848	1991-03-01	10	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=wjad20		wjad20		fulltext			serial									Previously: Advances in Alcohol & Substance Abuse (1982-1991)		1055-0887	1545-0848					Current	
British Ceramic Transactions	0967-9782	1743-2766	1999-01-01	98	1	2004-12-31	103	6	https://www.tandfonline.com/openurl?genre=journal&stitle=yaac20		yaac20		fulltext			serial									now: Advances in Applied Ceramics: Structural, Functional and Bioceramics (ISSN: 1743-6753, 2005- )		0967-9782	1743-2766			2015-12-01		Current	
Advances in Building Energy Research	1751-2549	1756-2201	2007-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=taer20		taer20		fulltext			serial											1751-2549	1756-2201					Current	
Advances in Cellular and Molecular Otolaryngology		2001-6220	2013-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=zcmo20		zcmo20		fulltext			serial									Open Access			2001-6220			2017-01-01		Current	
Advances in Eating Disorders	2166-2630	2166-2649	2013-03-01	1	1	2016-12-31	4	3	https://www.tandfonline.com/openurl?genre=journal&stitle=reat20		reat20		fulltext			serial									merged into (2017): Eating Disorders (ISSN: 1064-0266)		2166-2630	2166-2649					Current	
Advances in Materials and Processing Technologies	2374-068X	2374-0698	2015-01-01	1	01-Feb				http://www.tandfonline.com/openurl?genre=journal&stitle=tmpt20		tmpt20		fulltext			serial									New for 2015		2374-068X	2374-0698			2016-01-01		Current	
Advances in Mathematics Education	1463-6441		1999-01-01	1	1	1999-12-31	1	1	https://www.tandfonline.com/openurl?genre=journal&stitle=rrme19		rrme19		fulltext			serial									now: Research in Mathematics Education (ISSN: 1479-4802, 2000- )		1463-6441						Current	
Advances in Mental Health	1838-7357	1837-4905	2010-08-01	9	1				https://www.tandfonline.com/openurl?genre=journal&stitle=ramh20		ramh20		fulltext			serial									transfer in (2015): Econtent Management; previously: Australian e-Journal for the Advancement of Mental Health (ISSN: 1446-7984, 2002-2009)		1838-7357	1837-4905			2015-07-01		Current	
Advances in Oceanography and Limnology	1947-5721	1947-573X	2010-06-01	1	1	2014-12-31	5	2	http://www.tandfonline.com/openurl?genre=journal&stitle=taol20		taol20		fulltext			serial									transfer out (2015): Italian Association of Oceanography and Limnology		1947-5721	1947-573X					Current	
Advances in Physics	0001-8732	1460-6976	1952-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=tadp20		tadp20		fulltext			serial											0001-8732	1460-6976					Current	
Advances in Physics: X		2374-6149	2016-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tapx20		tapx20		fulltext			serial									Open Access			2374-6149			2017-01-01		Current	
Advances in Physiotherapy	1403-8196	1651-1948	1999-01-01	1	1	2012-12-31	14	4	http://www.tandfonline.com/openurl?genre=journal&stitle=iejp19		iejp19		fulltext			serial									now: European Journal of Physiotherapy (ISSN: 2167-9169, 2013- )		1403-8196	1651-1948			2015-08-01		Current	
Advances in Regenerative Biology		2001-8517	2014-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=zarb20		zarb20		fulltext			serial									Open Access			2001-8517			2017-01-01		Current	
Advances in School Mental Health Promotion	1754-730X	2049-8535	2008-01-01	1	1	2017-12-31	10	4	http://www.tandfonline.com/openurl?genre=journal&stitle=rasm20		rasm20		fulltext			serial									transfer out (2018)		1754-730X	2049-8535					Current	
Advances in Speech Language Pathology	1441-7049	1742-9528	1999-01-01	1	1	2007-12-31	9	4	http://www.tandfonline.com/openurl?genre=journal&stitle=iasl19		iasl19		fulltext			serial									now: International Journal of Speech-Language Pathology (ISSN: 1754-9507, 2008- ); previously: Australian Journal of Human Communication Disorders (1973 - 1996), Journal of the Australian College of Speech Therapists (1951 - 1972)		1441-7049	1742-9528			2015-08-01		Current	
Advances in the History of Rhetoric	1536-2426	1936-0835	1998-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=uahr20		uahr20		fulltext			serial											1536-2426	1936-0835					Current	
Aerosol Science and Technology	0278-6826	1521-7388	1981-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=uast20		uast20		fulltext			serial											0278-6826	1521-7388					Current	
Africa Education Review	1814-6627	1753-5921	2004-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=raer20		raer20		fulltext			serial											1814-6627	1753-5921					Current	
Africa Journal of Management	2332-2373	2332-2381	2015-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rajm20		rajm20		fulltext			serial									New for 2015		2332-2373	2332-2381					Current	
Africa Review	0974-4053	0974-4061	2009-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=rafr20		rafr20		fulltext			serial											0974-4053	0974-4061					Current	
African Economic and Social Development Review	2471-710X	2471-7118	2012-01-01	18	1				http://www.tandfonline.com/openurl?genre=journal&stitle=resd20		resd20		fulltext			serial									New for 2017; content currently unavailable (checked 2018-03-02)		2471-710X	2471-7118			2017-07-01		Current	
African Geographical Review	1937-6812	2163-2642	2001-12-01	21	1				https://www.tandfonline.com/openurl?genre=journal&stitle=rafg20		rafg20		fulltext			serial									previously: East African Geographical Review (ISSN: 0070-7961, 1963-1998)		1937-6812	2163-2642					Current	
African Historical Review	1753-2523	1753-2531	2007-07-01	39	1				https://www.tandfonline.com/openurl?genre=journal&stitle=rahr20		rahr20		fulltext			serial									previously: Kleio (ISSN: 0023-2084, 1969-2006)		1753-2523	1753-2531					Current	
African Identities	1472-5843	1472-5851	2003-04-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=cafi20		cafi20		fulltext			serial											1472-5843	1472-5851					Current	
African Journal of AIDS Research	1608-5906	1727-9445	2002-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=raar20		raar20		fulltext			serial											1608-5906	1727-9445					Current	
African Journal of Aquatic Science	1608-5914	1727-9364	2000-01-01	25	1				https://www.tandfonline.com/openurl?genre=journal&stitle=taas20		taas20		fulltext			serial									previously: Southern African Journal of Aquatic Sciences (ISSN: 1018-3469, 1989-1999), Journal of the Limnological Society of Southern Africa (1975-1988)		1608-5914	1727-9364					Current	
African Journal of Herpetology	2156-4574	2153-3660	1996-01-01	45	1				https://www.tandfonline.com/openurl?genre=journal&stitle=ther20		ther20		fulltext			serial									previously: The Journal of the Herpetological Association of Africa (1965-1995), Journal of the Herpetological Association of Rhodesia (1957 - 1965)		2156-4574	2153-3660					Current	
African Journal of Marine Science	1814-232X	1814-2338	2003-06-01	25	1				https://www.tandfonline.com/openurl?genre=journal&stitle=tams20		tams20		fulltext			serial									previously: South African Journal of Marine Science (ISSN: 0257-7615, 1983-2002)		1814-232X	1814-2338					Current	
African Journal of Range & Forage Science	1022-0119	1727-9380	1993-01-01	10	1				https://www.tandfonline.com/openurl?genre=journal&stitle=tarf20		tarf20		fulltext			serial									previously: Journal of the Grassland Society of Southern Africa (1984-1992), Proceedings of the Annual Congresses of the Grassland Society of Southern Africa (1966-1983)		1022-0119	1727-9380					Current	
Journal of the Southern African Association for Research in Mathematics, Science and Technology Education	1028-8457	2469-763X	1997-01-01	1	1	2001-12-31	5	1	https://www.tandfonline.com/openurl?genre=journal&stitle=rmse20		rmse20		fulltext			serial									Now: African Journal of Research in Mathematics, Science and Technology Education		1028-8457	2469-763X			2017-05-01		Current	
African Journal of Science, Technology, Innovation and Development	2042-1338	2042-1346	2013-02-01	5	1				https://www.tandfonline.com/openurl?genre=journal&stitle=rajs20		rajs20		fulltext			serial									Taylor & Francis subscriber access is available from Volume 5 (2013) onwards. If you require back issues or access to volumes prior to Volume 5, please contact Adonis & Abbey at editor@adonis-abbey.com.		2042-1338	2042-1346					Current	
African Journalism Studies	2374-3670	2374-3689	2015-01-01	36	1				https://www.tandfonline.com/openurl?genre=journal&stitle=recq21		recq21		fulltext			serial									previously: Ecquid Novi: African Journalism Studies (ISSN: 0256-0054, 1980-2014)	10.1080/recq21	2374-3670	2374-3689					Current	
African Languages and Cultures	0954-416X		1988-01-01	1	1	1997-12-31	10	2	https://www.tandfonline.com/openurl?genre=journal&stitle=cjac19		cjac19		fulltext			serial									now: Journal of African Cultural Studies (ISSN: 1369-6815, 1998- )		0954-416X						Current	
African Security	1939-2206	1939-2214	2008-08-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=uafs20		uafs20		fulltext			serial											1939-2206	1939-2214					Current	
African Security Review	1024-6029	2154-0128	1995-01-01	4	2				https://www.tandfonline.com/openurl?genre=journal&stitle=rasr20		rasr20		fulltext			serial											1024-6029	2154-0128					Current	
African Studies	0002-0184	1469-2872	1942-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=cast20		cast20		fulltext			serial									previously: Bantu Studies (1921-1941)		0002-0184	1469-2872					Current	
African Zoology	1562-7020	2224-073X	2000-04-01	35	1				https://www.tandfonline.com/openurl?genre=journal&stitle=tafz20		tafz20		fulltext			serial									transfer in (2015): BioOne; previously: South African Journal of Zoology (ISSN: 0254-1858, 1979-1999), Zoologica Africana (1965-1978)		1562-7020	2224-073X			2015-01-01		Current	
African and Black Diaspora: An International Journal	1752-8631	1752-864X	2008-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=rabd20		rabd20		fulltext			serial											1752-8631	1752-864X					Current	
Agenda	1013-0950	2158-978X	1987-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=ragn20		ragn20		fulltext			serial											1013-0950	2158-978X					Current	
Aging & Mental Health	1360-7863	1364-6915	1997-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=camh20		camh20		fulltext			serial											1360-7863	1364-6915					Current	
Neuropsychology, development, and cognition. Section B, Aging and cognition	0928-9917		1994-01-01	1	1	1995-12-31	2	4	http://www.tandfonline.com/openurl?genre=journal&stitle=nanc20		nanc20		fulltext			serial									now: Aging, Neuropsychology, and Cognition		0928-9917						Current	
Agrekon	0303-1853	2078-0400	1962-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=ragr20		ragr20		fulltext			serial									Previous eISSN 0002-113X		0303-1853	2078-0400					Current	
Bulletin of the Agricultural Chemical Society of Japan	0375-8397		1924-01-01	1	1	1960-12-31	24	7	http://www.tandfonline.com/openurl?genre=journal&stitle=tbbb20		tbbb20		fulltext			serial									Now: Bioscience, Biotechnology, and Biochemistry Continues: Agricultural and Biological Chemistry (1961 - 1991)		0375-8397						Current	
Agroecology and Sustainable Food Systems	2168-3565	2168-3573	2013-01-01	37	1				https://www.tandfonline.com/openurl?genre=journal&stitle=wjsa21		wjsa21		fulltext			serial									previously: Journal of Sustainable Agriculture (ISSN: 1044-0046, 1990-2012)		2168-3565	2168-3573					Current	
Al-Masaq	0950-3110	1473-348X	2002-03-01	14	1				https://www.tandfonline.com/openurl?genre=journal&stitle=calm20		calm20		fulltext			serial											0950-3110	1473-348X					Current	
Alcheringa: An Australasian Journal of Palaeontology	0311-5518	1752-0754	1975-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=talc20		talc20		fulltext			serial											0311-5518	1752-0754					Current	
Alcoholism Treatment Quarterly	0734-7324	1544-4538	1984-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=watq20		watq20		fulltext			serial											0734-7324	1544-4538					Current	
Journal of Critical Realism	1476-7430	1572-5138	2002-11-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=yjcr20		yjcr20		fulltext			serial									transfer in (2016): Maney; previously: Alethia (ISSN: 0711-3625, 1998-2002)		1476-7430	1572-5138			2015-12-01		Current	
Ambix: The Journal of the Society for the History of Alchemy and Chemistry	0002-6980	1745-8234	1937-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=yamb20		yamb20		fulltext			serial									transfer in (2016): Maney		0002-6980	1745-8234			2015-12-01		Current	
Amerasia Journal	0044-7471		1971-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=ramj20		ramj20		fulltext			serial											0044-7471						Current	
American Communist History	1474-3892	1474-3906	2002-06-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=rach20		rach20		fulltext			serial											1474-3892	1474-3906					Current	
American Foreign Policy Interests	1080-3920	1533-2128	1994-01-01	16	1	2015-12-31	37	4	http://www.tandfonline.com/openurl?genre=journal&stitle=uafp20		uafp20		fulltext			serial									ceased: 2015; previously: American Foreign Policy Newsletter (1982-1993), National Committee on American Foreign Policy. Newsletter. (1976-1981)		1080-3920	1533-2128					Current	
American Industrial Hygiene Association Journal	0002-8894		1958-01-01	19	1	1999-11-30	60	6	https://www.tandfonline.com/openurl?genre=journal&stitle=aiha20		aiha20		fulltext			serial									now: Journal of Occupational and Environmental Hygiene (ISSN: 2004- ); previously: American Industrial Hygiene Association quarterly (ISSN: 0096-820X, 1946-1957)		0002-8894						Current	
American Journal of Clinical Hypnosis	0002-9157	2160-0562	1958-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=ujhy20		ujhy20		fulltext			serial											0002-9157	2160-0562					Current	
American Journal of Distance Education	0892-3647	1538-9286	1987-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=hajd20		hajd20		fulltext			serial											0892-3647	1538-9286					Current	
Neurodiagnostic Journal	2164-6821	2375-8627	2012-03-01	52	1				http://www.tandfonline.com/openurl?genre=journal&stitle=utnj20		utnj20		fulltext			serial									previously: American Journal of Electroneurodiagnostic Technology (ISSN: 1086-508X, 1996-2011), American Journal of EEG Technology (1961-1995)		2164-6821	2375-8627					Current	
American Journal of Electroneurodiagnostic Technology	1086-508X	2375-8619	1996-03-01	36	1	2011-12-31	51	4	http://www.tandfonline.com/openurl?genre=journal&stitle=utnj19		utnj19		fulltext			serial									now: Neurodiagnostic Journal (ISSN: 2164-6821, 2012- ); previously: American Journal of EEG Technology (1961-1995)		1086-508X	2375-8619					Current	
Journal of Health Education	1055-6699		1997-01-01	28	1	2000-12-31	31	6	https://www.tandfonline.com/openurl?genre=journal&stitle=ujhe20		ujhe20		fulltext			serial									now: American Journal of Health Education (ISSN: 1932-5037, 2001- ); previously: Health Education (1975-1990), School Health Review (1969-1974)		1055-6699						Current	
American Journal of Mathematical and Management Sciences	0196-6324	2325-8454	1981-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=umms20		umms20		fulltext			serial											0196-6324	2325-8454					Current	
American Journal of Pastoral Counseling	1094-6098		1997-01-01	1	1	2006-02-28	8	03-Apr	https://www.tandfonline.com/openurl?genre=journal&stitle=wzaj20		wzaj20		fulltext			serial									now: Journal of Spirituality in Mental Health (ISSN: 1934-9637, 2006- )		1094-6098						Current	
