'publication_title'	'print_identifier'	'online_identifier'	'date_first_issue_online'	'num_first_vol_online'	'num_first_issue_online'	'date_last_issue_online'	'num_last_vol_online'	'num_last_issue_online'	'title_url'	'first_author'	'title_id'	'embargo_info'	'coverage_depth'	'coverage_notes'	'notes'	'publisher_name'	'publication_type'	'date_monograph_published_print'	'date_monograph_published_online'	'monograph_volume'	'monograph_edition'	'first_editor'	'parent_publication_title_id'	'preceding_publication_title_id'	'access_type'
'Introduction to RF Stealth'	'9781891121210'	'9781613531730'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra120e'	'Jr.'	'sbra120e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Introduction to Radar Target Recognition'	'9780863415012'	'9781849190831'	'2005'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/pbra018e'	'Tait'	'pbra018e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2005'	'2005'	''	''	''	''	''	'P'
'Introduction to Sensors for Ranging and Imaging'	'9781891121746'	'9781613531426'	'2009'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra014e'	'Brooker'	'sbra014e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2009'	'2009'	''	''	''	''	''	'P'
'Inverse Synthetic Aperture Radar Imaging: Principles, Algorithms and Applications'	'9781613530139'	'9781613530351'	'2014'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra504e'	'Chen'	'sbra504e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2014'	'2014'	''	''	''	''	''	'P'
'Ionospheric Radio'	'9780863411861'	'9781849193870'	'1990'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew031e'	'Davies'	'pbew031e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1990'	'1990'	''	''	''	''	''	'P'
'John Logie Baird: Television Pioneer'	'9780852967973'	'9781849190220'	'2000'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ht/pbht028e'	'Burns'	'pbht028e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2000'	'2000'	''	''	''	''	''	'P'
'Key Enablers for User-Centric Advertising Across Next Generation Networks'	'9781849196185'	'9781849196192'	'2012'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte056e'	'Simoes'	'pbte056e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2012'	'2012'	''	''	''	''	''	'P'
'Knowledge Discovery and Data Mining'	'9780852967676'	'9781849191715'	'1999'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/pc/pbpc001e'	''	'pbpc001e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1999'	'1999'	''	''	''	''	''	'P'
'Knowledge-based Systems for Industrial Control'	'9780863412219'	'9781849193443'	'1990'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce044e'	''	'pbce044e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1990'	'1990'	''	''	''	''	''	'P'
'Large Scale Grid Integration of Renewable Energy Sources'	'9781785611629'	'9781785611636'	'2017'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo098e'	''	'pbpo098e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2017'	'2017'	''	''	''	''	''	'P'
'Lean Product Development: A manager's guide'	'9781849196710'	'9781849196727'	'2012'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/mt/pbmt028e'	'Mynott'	'pbmt028e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2012'	'2012'	''	''	''	''	''	'P'
'Lightning Electromagnetics'	'9781849192156'	'9781849192163'	'2012'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo062e'	''	'pbpo062e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2012'	'2012'	''	''	''	''	''	'P'
'Lightning Protection'	'9780863417443'	'9781849191067'	'2010'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo058e'	''	'pbpo058e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2010'	'2010'	''	''	''	''	''	'P'
'Local Access Network Technologies'	'9780852961766'	'9781849190855'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte047e'	''	'pbte047e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Local Energy: Distributed generation of heat and power'	'9780863417399'	'9780863419904'	'2008'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo055e'	'Wood'	'pbpo055e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2008'	'2008'	''	''	''	''	''	'P'
'Location and Personalisation: Delivering Online and Mobility Services'	'9780863413384'	'9781849190343'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbbt008e'	''	'pbbt008e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Lord Kelvin: his influence on electrical measurements and units'	'9780863412370'	'9781849194082'	'1992'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ht/pbht018e'	'Tunbridge'	'pbht018e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1992'	'1992'	''	''	''	''	''	'P'
'Low Carbon Mobility for Future Cities: Principles and applications'	'9781785611971'	'9781785611988'	'2017'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/tr/pbtr006e'	''	'pbtr006e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2017'	'2017'	''	''	''	''	''	'P'
'Low Power and Low Voltage Circuit Design with the FGMOS Transistor'	'9780863416170'	'9780863412110'	'2006'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbcs020e'	'Rodriguez-Villegas'	'pbcs020e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2006'	'2006'	''	''	''	''	''	'P'
'Low-power HF Microelectronics: a unified approach'	'9780852968741'	'9781849193610'	'1996'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbcs008e'	''	'pbcs008e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1996'	'1996'	''	''	''	''	''	'P'
'MEMS Packaging'	'9780863413353'	'9781849190626'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbep003e'	''	'pbep003e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Machine Learning for Healthcare Technologies'	'9781849199780'	'9781849199797'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/he/pbhe002e'	''	'pbhe002e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Maintaining Effective Engineering Leadership: A new dependence on effective process'	'9781849196895'	'9781849196901'	'2013'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/mt/pbmt029e'	'Morrison'	'pbmt029e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2013'	'2013'	''	''	''	''	''	'P'
'Management Guide to Condition Monitoring in Manufacture'	'9780855100377'	'9781849194167'	'1990'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/mt/pbme001e'	''	'pbme001e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1990'	'1990'	''	''	''	''	''	'P'
'Managing Complexity in Software Engineering'	'9780863411717'	'9781849193566'	'1990'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/pc/pbcm017e'	''	'pbcm017e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1990'	'1990'	''	''	''	''	''	'P'
'Managing the Internet of Things: Architectures, Theories and Applications'	'9781785610288'	'9781785610295'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte067e'	''	'pbte067e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Mechatronic Hands: Prosthetic and Robotic Design'	'9781785611544'	'9781785611551'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce105e'	'Chappell'	'pbce105e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Methane and Hydrogen for Energy Storage'	'9781785611933'	'9781785611940'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo101e'	''	'pbpo101e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Michael Faraday's 'Chemical Notes, Hints, Suggestions and Objects of Pursuit' of 1822'	'9780863412554'	'9781849194075'	'1991'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ht/pbht017e'	''	'pbht017e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1991'	'1991'	''	''	''	''	''	'P'
'Microgrids and Active Distribution Networks'	'9781849190145'	'9781849191029'	'2009'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbrn006e'	'Chowdhury'	'pbrn006e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2009'	'2009'	''	''	''	''	''	'P'
'Microstrip Antenna Theory and Design'	'9780863410888'	'9781849193757'	'1981'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew012e'	'James'	'pbew012e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1981'	'1981'	''	''	''	''	''	'P'
'Microstrip and Printed Antenna Design'	'9781891121739'	'9781613531150'	'2009'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew048e'	'Bancroft'	'sbew048e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2009'	'2009'	''	''	''	''	''	'P'
'Microwave Antenna Theory and Design'	'9780863410178'	'9781849193795'	'1984'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew019e'	''	'pbew019e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1984'	'1984'	''	''	''	''	''	'P'
'Microwave Circuit Theory and Foundations of Microwave Metrology'	'9780863412875'	'9781849193672'	'1992'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbel009e'	'Engen'	'pbel009e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1992'	'1992'	''	''	''	''	''	'P'
'Microwave Field-Effect Transistors: Theory, design and applications'	'9781884932502'	'9781613530795'	'1994'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew016e'	'Pengelly'	'sbew016e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1994'	'1994'	''	''	''	''	''	'P'
'Microwave Horns and Feeds'	'9780852968093'	'9781849193955'	'1994'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew039e'	'Olver'	'pbew039e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1994'	'1994'	''	''	''	''	''	'P'
'Microwave Measurements'	'9780863417351'	'9780863412523'	'2007'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbel012e'	''	'pbel012e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2007'	'2007'	''	''	''	''	''	'P'
'Microwave Receivers with Electronic Warfare Applications'	'9781891121401'	'9781613531440'	'2005'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra017e'	'Tsui'	'sbra017e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2005'	'2005'	''	''	''	''	''	'P'
'Microwave Transmission Line Impedence Data'	'9781884932571'	'9781613530825'	'1997'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew019e'	'Gunston'	'sbew019e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1997'	'1997'	''	''	''	''	''	'P'
'Mobile and Wireless Communications: Key Technologies and Future Applications'	'9780863413681'	'9781849190350'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbbt009e'	''	'pbbt009e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Model-Based Requirements Engineering'	'9781849194877'	'9781849194884'	'2011'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/pc/pbpc009e'	'Holt'	'pbpc009e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2011'	'2011'	''	''	''	''	''	'P'
'Modeling and Dynamic Behaviour of Hydropower Plants'	'9781785611957'	'9781785611964'	'2017'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo100e'	''	'pbpo100e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2017'	'2017'	''	''	''	''	''	'P'
'Modelling Control Systems Using IEC 61499'	'9781849197601'	'9781849197618'	'2014'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce095e'	'Zoitl'	'pbce095e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2014'	'2014'	''	''	''	''	''	'P'
'Modelling Control Systems Using IEC 61499. Applying function blocks to distributed systems'	'9780852967966'	'9781849190367'	'2001'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce059e'	'Lewis'	'pbce059e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2001'	'2001'	''	''	''	''	''	'P'
'Modelling Distributed Energy Resources in Energy Service Networks'	'9781849195591'	'9781849195621'	'2013'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbrn016e'	'Acha'	'pbrn016e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2013'	'2013'	''	''	''	''	''	'P'
'Modelling Enterprise Architectures'	'9781849190770'	'9781849190787'	'2010'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/pc/pbpc008e'	'Holt'	'pbpc008e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2010'	'2010'	''	''	''	''	''	'P'
'Modelling and Parameter Estimation of Dynamic Systems'	'9780863413636'	'9781849190374'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce065e'	'Raol'	'pbce065e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Modern Filter Design: Active RC and switched capacitor'	'9781884932380'	'9781613530528'	'2003'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/sbcs005e'	'Ghausi'	'sbcs005e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2003'	'2003'	''	''	''	''	''	'P'
'Modern Personal Radio Systems'	'9780852968611'	'9781849194617'	'1996'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte033e'	''	'pbte033e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1996'	'1996'	''	''	''	''	''	'P'
'Modern Radar Detection Theory'	'9781613531990'	'9781613532003'	'2015'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra509e'	''	'sbra509e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2015'	'2015'	''	''	''	''	''	'P'
'Motion Vision: design of compact motion sensing solutions for navigation of autonomous systems'	'9780863414534'	'9780863411588'	'2005'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce067e'	'Kolodko'	'pbce067e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2005'	'2005'	''	''	''	''	''	'P'
'Multicore Simulation of Power System Transients'	'9781849195720'	'9781849195737'	'2013'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo067e'	'Uriarte'	'pbpo067e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2013'	'2013'	''	''	''	''	''	'P'
'Nano-CMOS and Post-CMOS Electronics: Circuits and Design'	'9781849199995'	'9781785610004'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbcs030e'	''	'pbcs030e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Nano-CMOS and Post-CMOS Electronics: Devices and Modelling'	'9781849199971'	'9781849199988'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbcs029e'	''	'pbcs029e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Nano-Scaled Semiconductor Devices: Physics, Modelling, Characterisation, and Societal Impact'	'9781849199308'	'9781849199315'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbcs027e'	''	'pbcs027e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Nanobiosensors for Personalized and Onsite Biomedical Diagnosis'	'9781849199506'	'9781849199513'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/he/pbhe001e'	''	'pbhe001e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Nanotechnologies'	'9780863419416'	'9781849190978'	'2009'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbcs022e'	'Wautelet'	'pbcs022e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2009'	'2009'	''	''	''	''	''	'P'
'Neural Network Applications in Control'	'9780852968529'	'9781849193498'	'1995'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce053e'	''	'pbce053e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1995'	'1995'	''	''	''	''	''	'P'
'Non-linear Predictive Control: theory and practice'	'9780852969847'	'9781849190558'	'2001'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce061e'	''	'pbce061e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2001'	'2001'	''	''	''	''	''	'P'
'Nonlinear Optimization in Electrical Engineering with Applications in MATLAB<sup xmlns=''http://pub2web.metastore.ingenta.com/ns/''>®</sup>'	'9781849195430'	'9781849195447'	'2013'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/pc/pbsp008e'	'Bakr'	'pbsp008e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2013'	'2013'	''	''	''	''	''	'P'
'Nonlinear and Adaptive Control Systems'	'9781849195744'	'9781849195751'	'2013'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce084e'	'Ding'	'pbce084e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2013'	'2013'	''	''	''	''	''	'P'
'Nuclear Power'	'9780863416682'	'9780863419881'	'2007'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo052e'	'Wood'	'pbpo052e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2007'	'2007'	''	''	''	''	''	'P'
'Numerical Analysis of Power System Transients and Dynamics'	'9781849198493'	'9781849198509'	'2015'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo078e'	''	'pbpo078e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2015'	'2015'	''	''	''	''	''	'P'
'Offshore Wind Turbines: Reliability, availability and maintenance'	'9781849192293'	'9781849192309'	'2012'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbrn013e'	'Tavner'	'pbrn013e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2012'	'2012'	''	''	''	''	''	'P'
'Oliver Heaviside: Maverick Mastermind of Electricity'	'9780863419652'	'9781849190985'	'2009'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ht/pbht036e'	'Mahon'	'pbht036e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2009'	'2009'	''	''	''	''	''	'P'
'Open Electromagnetic Waveguides'	'9780852968963'	'9781849191838'	'1997'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew043e'	'Rozzi'	'pbew043e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1997'	'1997'	''	''	''	''	''	'P'
'Optical Fibers and RF: A natural combination'	'9781884932342'	'9781613530856'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew022e'	'Romeiser'	'sbew022e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Optical MEMS for Chemical Analysis and Biomedicine'	'9781849198974'	'9781849198981'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbcs025e'	''	'pbcs025e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Optimal Adaptive Control and Differential Games by Reinforcement Learning Principles'	'9781849194891'	'9781849194907'	'2012'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce081e'	'Vrabie'	'pbce081e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2012'	'2012'	''	''	''	''	''	'P'
'Optimised Radar Processors'	'9780863411182'	'9781849191760'	'1987'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/pbra001e'	''	'pbra001e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1987'	'1987'	''	''	''	''	''	'P'
'Organic Sensors: Materials and Applications'	'9781849199858'	'9781849199865'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce100e'	''	'pbce100e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Oscillator Circuits: Frontiers in Design, Analysis and Applications'	'9781785610578'	'9781785610585'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbcs032e'	''	'pbcs032e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Oscillator Design and Computer Simulation'	'9781884932304'	'9781613530863'	'1995'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew023e'	'Rhea'	'sbew023e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1995'	'1995'	''	''	''	''	''	'P'
'Overvoltage Protection of Low Voltage Systems'	'9780852967812'	'9780863419812'	'2000'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo033e'	'Hasse'	'pbpo033e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2000'	'2000'	''	''	''	''	''	'P'
'Parabolic Equation Methods for Electromagnetic Wave Propagation'	'9780852967645'	'9781849193986'	'2000'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew045e'	'Levy'	'pbew045e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2000'	'2000'	''	''	''	''	''	'P'
'People in Control: Human factors in control room design'	'9780852969786'	'9780863410253'	'2001'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce060e'	''	'pbce060e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2001'	'2001'	''	''	''	''	''	'P'
'Periodic Control of Power Electronic Converters'	'9781849199322'	'9781849199339'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo082e'	'Blaabjerg'	'pbpo082e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Phase Noise in Signal Sources'	'9780863410260'	'9781849194518'	'1984'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte009e'	'Robins'	'pbte009e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1984'	'1984'	''	''	''	''	''	'P'
'Phased-Array Radar Design: Application of radar fundamentals'	'9781891121692'	'9781613531457'	'2009'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra018e'	'Jeffrey'	'sbra018e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2009'	'2009'	''	''	''	''	''	'P'
'Physics and Technology of Heterojunction Devices'	'9780863412042'	'9781849193627'	'1991'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbed008e'	''	'pbed008e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1991'	'1991'	''	''	''	''	''	'P'
'Pocket Radar Guide: Key facts, equations, and data'	'9781891121081'	'9781613531464'	'2010'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra019e'	'Curry'	'sbra019e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2010'	'2010'	''	''	''	''	''	'P'
'Polynomial Methods in Optimal Control and Filtering'	'9780863412950'	'9781849193467'	'1993'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce049e'	''	'pbce049e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1993'	'1993'	''	''	''	''	''	'P'
'Portable Biosensors and Point-of-Care Systems'	'9781849199629'	'9781849199636'	'2017'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/he/pbhe003e'	''	'pbhe003e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2017'	'2017'	''	''	''	''	''	'P'
'Power Circuit Breaker Theory and Design'	'9780906048702'	'9781849194235'	'1982'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo001e'	''	'pbpo001e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1982'	'1982'	''	''	''	''	''	'P'
'Power Distribution Automation'	'9781849198288'	'9781849198295'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo075e'	''	'pbpo075e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Power Electronic Converters and Systems: Frontiers and Applications'	'9781849198264'	'9781849198271'	'2015'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo074e'	''	'pbpo074e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2015'	'2015'	''	''	''	''	''	'P'
'Power Plant Control and Instrumentation: the control of boilers and HRSG systems'	'9780852967652'	'9781849191630'	'2000'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce058e'	'Lindsley'	'pbce058e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2000'	'2000'	''	''	''	''	''	'P'
'Power Quality in Future Electrical Power Systems'	'9781785611230'	'9781785611247'	'2017'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo092e'	''	'pbpo092e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2017'	'2017'	''	''	''	''	''	'P'
'Power System Commissioning and Maintenance Practice'	'9780852969090'	'9781849194365'	'1997'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo024e'	'Harker'	'pbpo024e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1997'	'1997'	''	''	''	''	''	'P'
'Power System Protection 1: Principles and components'	'9780852968345'	'9781849194426'	'1995'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo905f'	''	'pbpo905f'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1995'	'1995'	''	''	''	''	''	'P'
