publication_title	print_identifier	online_identifier	publisher_name	title_url	date_monograph_published_online	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publication_type	date_monograph_published_print	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Cahiers de l’action			Institut national de la jeunesse et de l’éducation populaire	http://www.cairn.info/revue-cahiers-de-l-action.htm			27			47			CACT											
Revue de l'OCDE sur le développement	1992-0490	1996-5753	Ed. de l’OCDE	http://www.cairn.info/revue-de-l-ocde-sur-le-developpement.htm			2			10			CAD											
Cahiers philosophiques	0241-2799	2264-2641	Réseau Canopé	http://www.cairn.info/revue-cahiers-philosophiques.htm			111			146			CAPH											
Cahiers de PréAut	1767-3151	2273-2225	ERES	http://www.cairn.info/revue-cahiers-de-preaut.htm			1			12			CAPRE1											
Cultures et Conflits	1157-996X	1777-5345	L'Harmattan	http://www.cairn.info/revue-cultures-et-conflits.htm			89			102			CC											
Comptabilité - Contrôle - Audit	1262-2788	2313-514X	Association francophone de comptabilité	http://www.cairn.info/revue-comptabilite-controle-audit.htm			1			22			CCA											
Les Cahiers du Centre Georges Canguilhem	1962-1086	2259-5309	Presses Universitaires de France	http://www.cairn.info/revue-les-cahiers-du-centre-georges-canguilhem.htm			1			6			CCGC											
Cahiers du Genre	1298-6046	1968-3928	L'Harmattan	http://www.cairn.info/revue-cahiers-du-genre.htm			30			4			CDGE											
Carrefours de l'éducation	1262-3490	1969-6949	Armand Colin	http://www.cairn.info/revue-carrefours-de-l-education.htm			11			42			CDLE											
Cahiers d'études africaines	0008-0055	1777-5353	Éditions de l'EHESS	http://www.cairn.info/revue-cahiers-d-etudes-africaines.htm			161			223			CEA											
Cahiers d’études hispaniques médiévales	1779-4684	2108-7083	E.N.S. Editions	http://www.cairn.info/revue-cahiers-d-etudes-hispaniques-medievales.htm			1			38			CEHM											
Cahiers d'économie Politique / Papers in Political Economy	0154-8344	1969-6779	L'Harmattan	http://www.cairn.info/revue-cahiers-d-economie-politique.htm			39			70			CEP											
Cahiers de Gestalt-thérapie	1277-6874	1775-4348	Collège européen de Gestalt-thérapie	http://www.cairn.info/revue-cahiers-de-gestalt-therapie.htm			9			36			CGES											
Cahiers d'histoire de l'aluminium	0990-6908	2272-8856	Institut pour l’histoire de l’aluminium	http://www.cairn.info/revue-cahiers-d-histoire-de-l-aluminium.htm			41			55			CHA											
Che vuoi ?	0994-2424	2262-4848	L'Harmattan	http://www.cairn.info/revue-che-vuoi.htm			19			35			CHEV											
Chimères	0986-6035	2111-4412	ERES	http://www.cairn.info/revue-chimeres.htm			61			88			CHIME											
Les Cahiers Internationaux de Psychologie Sociale	0777-0707	2406-4696	Presses universitaires de Liège	http://www.cairn.info/revue-les-cahiers-internationaux-de-psychologie-sociale.htm			64			111			CIPS											
Cahiers internationaux de sociologie	0008-0276	1969-6787	Presses Universitaires de France	http://www.cairn.info/revue-cahiers-internationaux-de-sociologie.htm			110			129			CIS											
Cahiers internationaux de sociolinguistique	2257-6517	2273-1350	L'Harmattan	http://www.cairn.info/revue-cahiers-internationaux-de-sociolinguistique.htm			6			10			CISL											
Cités	1299-5495	1969-6876	Presses Universitaires de France	http://www.cairn.info/revue-cites.htm			5			67			CITE											
Civilisations	0009-8140	2032-0442	Université libre de Bruxelles (U.L.B.)	http://www.cairn.info/revue-civilisations.htm			2			64			CIVI											
Civitas Europa	1290-9653	2496-4514	IRENEE / Université de Lorraine	http://www.cairn.info/revue-civitas-europa.htm			28			37			CIVIT											
Cahiers Jaurès	1268-5399	1969-6809	Société d'études jaurésiennes	http://www.cairn.info/revue-cahiers-jaures.htm			159			221			CJ											
Cahiers jungiens de psychanalyse	0984-8207	2262-4783	Les Cahiers jungiens de psychanalyse	http://www.cairn.info/revue-cahiers-jungiens-de-psychanalyse.htm			100			144			CJUNG											
La clinique lacanienne	1288-6629	1776-2782	ERES	http://www.cairn.info/revue-la-clinique-lacanienne.htm			5			27			CLA											
Cliniques	2115-8177	1968-3944	ERES	http://www.cairn.info/revue-cliniques.htm			1			12			CLINI											
Clio	1252-7017	1777-5299	Belin	http://www.cairn.info/revue-clio-femmes-genre-histoire.htm			37			43			CLIO1											
Cliniques méditerranéennes	0762-7491	1776-2790	ERES	http://www.cairn.info/revue-cliniques-mediterraneennes.htm			63			94			CM											
Cahiers du monde russe	1252-6576	1777-5388	Éditions de l'EHESS	http://www.cairn.info/revue-cahiers-du-monde-russe.htm			42			57			CMR											
Carnet de notes sur les maltraitances infantiles	2295-5518	2406-4718	Office de la naissance et de l'enfance (O.N.E.)	http://www.cairn.info/revue-carnet-de-notes-sur-les-maltraitances-infantiles.htm			1			5			CNMI											
Connexions	0337-3126	1776-2804	ERES	http://www.cairn.info/revue-connexions.htm			75			106			CNX											
Le Coq-héron	0335-7899	1951-6290	ERES	http://www.cairn.info/revue-le-coq-heron.htm			168			226			COHE											
Les Cahiers d'Outre Mer	0373-5834	1961-8603	Presses universitaires de Bordeaux	http://www.cairn.info/revue-les-cahiers-d-outre-mer.htm			261			270			COM											
Confluences Méditerranée	1148-2664	2102-5991	L'Harmattan	http://www.cairn.info/revue-confluences-mediterranee.htm			36			98			COME											
Commentaire	0180-8214	2272-8988	Commentaire SA	http://www.cairn.info/revue-commentaire.htm			1			156			COMM											
Communication et Management	2269-7195	2271-734X	ESKA	http://www.cairn.info/revue-communication-et-management.htm			1			12			COMMA											
Communications	0588-8018	2102-5924	Le Seuil	http://www.cairn.info/revue-communications.htm			82			99			COMMU											
Communication et Organisation	1168-5549	1775-3546	Presses universitaires de Bordeaux	http://www.cairn.info/revue-communication-et-organisation.htm			43			49			COMOR											
Contraste	1254-7689	2259-3780	ERES	http://www.cairn.info/revue-contraste.htm			23			44			CONT											
Corps	1954-1228	1969-6957	Dilecta	http://www.cairn.info/revue-corps-dilecta.htm			1			8			CORP											
Cahiers de psychologie clinique	1370-074X	1782-1401	De Boeck Supérieur	http://www.cairn.info/revue-cahiers-de-psychologie-clinique.htm			16			47			CPC											
Le Courrier des pays de l'Est	0590-0239	1777-5787	La Documentation française	http://www.cairn.info/revue-le-courrier-des-pays-de-l-est.htm			1031			1067			CPE											
Corps et Psychisme	2260-2100	2273-1571	L’Esprit du temps	http://www.cairn.info/revue-corps-et-psychisme.htm			21			1			CPSY2											
Critique internationale	1290-7839	1777-554X	Presses de Sciences Po (P.F.N.S.P.)	http://www.cairn.info/revue-critique-internationale.htm			10			73			CRII											
Courrier hebdomadaire du CRISP	0008-9664	1782-141X	CRISP	http://www.cairn.info/revue-courrier-hebdomadaire-du-crisp.htm			0			2307			CRIS											
Critique	0011-1600	1968-3901	Editions de Minuit	http://www.cairn.info/revue-critique.htm			669			834			CRITI											
Cancer(s) et psy(s)	2269-9201	2495-0920	ERES	http://www.cairn.info/revue-cancers-et-psys.htm			1			2			CRPSY											
Cahiers Sens public	1767-9397	1775-4356	Association Sens-Public	http://www.cairn.info/revue-cahiers-sens-public.htm			8			20			CSP											
Cahiers critiques de thérapie familiale et de pratiques de réseaux	1372-8202	1782-1398	De Boeck Supérieur	http://www.cairn.info/revue-cahiers-critiques-de-therapie-familiale.htm			26			56			CTF											
Culture chiffres	1959-6928	2118-464X	Ministère de la Culture - DEPS	http://www.cairn.info/revue-culture-chiffres.htm			1			2			CULC											
Culture études	1959-691X	2118-4674	Ministère de la Culture - DEPS	http://www.cairn.info/revue-culture-etudes.htm			1			2			CULE											
Culture méthodes	1959-6936	1968-3774	Ministère de la Culture - DEPS	http://www.cairn.info/revue-culture-methodes.htm			1			1			CULM											
Culture prospective	1959-6944	2118-4631	Ministère de la Culture - DEPS	http://www.cairn.info/revue-culture-prospective.htm			1			1			CULP											
Le Débat	0246-2346	2111-4587	Gallimard	http://www.cairn.info/revue-le-debat.htm			1			192			DEBA											
Devenir	1015-8154	2235-2090	Médecine & Hygiène	http://www.cairn.info/revue-devenir.htm			13			28			DEV											
Développements	2103-2874	2295-9726	De Boeck Supérieur	http://www.cairn.info/revue-developpements.htm			1			17			DEVEL											
Dialogues d'histoire ancienne	0755-7256	1955-270X	Presses Universitaires de Franche-Comté	http://www.cairn.info/revue-dialogues-d-histoire-ancienne.htm			1			2			DHA											
Dix-huitième siècle	0070-6760	1760-7892	La Découverte	http://www.cairn.info/revue-dix-huitieme-siecle.htm			38			48			DHS											
Dialogue	0242-8962	1961-8662	ERES	http://www.cairn.info/revue-dialogue.htm			151			213			DIA											
Le Divan familial	1292-668X	2118-1942	In Press	http://www.cairn.info/revue-le-divan-familial.htm			6			36			DIFA											
Diogène	0419-1633	2077-5253	Presses Universitaires de France	http://www.cairn.info/revue-diogene.htm			193			252			DIO											
Distances et savoirs	1765-0887	1965-0167	Lavoisier	http://www.cairn.info/revue-distances-et-savoirs.htm			1			9			DIS											
Document numérique	1279-5127	1963-1014	Lavoisier	http://www.cairn.info/revue-document-numerique.htm			5			19			DN											
Revue d’histoire du XIX<sup>e</sup> siècle	1265-1354	1777-5329	Société de 1848	http://www.cairn.info/revue-d-histoire-du-dix-neuvieme-siecle.htm			46			52			DNS											
Droits	0766-3838	2426-5519	Presses Universitaires de France	http://www.cairn.info/revue-droits.htm			33			60			DROIT											
Droit et société	0769-3362	1969-6973	Ed. juridiques associées	http://www.cairn.info/revue-droit-et-societe.htm			47			94			DRS											
Déviance et Société	0378-7931	2296-4096	Médecine & Hygiène	http://www.cairn.info/revue-deviance-et-societe.htm			25			40			DS											
Dix-septième siècle	0012-4273	1969-6965	Presses Universitaires de France	http://www.cairn.info/revue-dix-septieme-siecle.htm			210			273			DSS											
Revue d'économie financière	0987-3368	1777-5744	Association d'économie financière	http://www.cairn.info/revue-d-economie-financiere.htm			101			123			ECOFI											
Economie internationale	1240-8093	1777-5582	La Documentation française	http://www.cairn.info/revue-economie-internationale.htm			85			132			ECOI											
Economie et prévision	0249-4744	1777-5795	La Documentation française	http://www.cairn.info/revue-economie-et-prevision.htm			147			207			ECOP											
Ecologie et politique	1166-3030	2118-3147	Editions Le Bord de l’eau	http://www.cairn.info/revue-ecologie-et-politique.htm			24			52			ECOPO1											
Économie rurale	0013-0559	2105-2581	Société française d’économie rurale	http://www.cairn.info/revue-economie-rurale.htm			333			355			ECRU											
Études de communication	1270-6841	2101-0366	Université Lille-3	http://www.cairn.info/revue-etudes-de-communication.htm			40			46			EDC											
Revue d'économie du développement	1245-4060	1782-1517	De Boeck Supérieur	http://www.cairn.info/revue-d-economie-du-developpement.htm			10			23			EDD											
Education et didactique	1956-3485	2111-4838	Presses universitaires de Rennes	http://www.cairn.info/revue-education-et-didactique.htm			7			10			EDDI											
Etudes économiques de l’OCDE	0304-3363	1684-3428	Ed. de l’OCDE	http://www.cairn.info/revue-etudes-economiques-de-l-ocde.htm			21			12			EE											
L’Espace géographique	0046-2497	1776-2936	Belin	http://www.cairn.info/revue-espace-geographique.htm			30			45			EG											
Études Germaniques	0014-2115	2426-5543	Klincksieck	http://www.cairn.info/revue-etudes-germaniques.htm			241			283			EGER											
Entreprises et histoire	1161-2770	2100-9864	ESKA	http://www.cairn.info/revue-entreprises-et-histoire.htm			27			83			EH											
Ela. Études de linguistique appliquée	0071-190X	1965-0477	Klincksieck	http://www.cairn.info/revue-ela.htm			121			182			ELA											
Empan	1152-3336	1776-2812	ERES	http://www.cairn.info/revue-empan.htm			45			103			EMPA											
L'Expansion Management Review	1254-3179	2271-7749	L'Express - Roularta	http://www.cairn.info/revue-l-expansion-management-review.htm			116			155			EMR											
Enfance	0013-7545	1969-6981	Presses Universitaires de France	http://www.cairn.info/revue-enfance.htm			53			60			ENF											
Les Enjeux de l'information et de la communication		1778-4239	GRESEC	http://www.cairn.info/revue-les-enjeux-de-l-information-et-de-la-communication.htm			2001			2			ENIC											
L'en-je lacanien	1761-2861	1951-6231	ERES	http://www.cairn.info/revue-l-en-je-lacanien.htm			1			26			ENJE											
Entreprendre et Innover	2034-7634	2034-7642	De Boeck Supérieur	http://www.cairn.info/revue-entreprendre-et-innover.htm			10			28			ENTIN											
Revue de l’Entrepreneuriat	1766-2524	1630-7542	De Boeck Supérieur	http://www.cairn.info/revue-de-l-entrepreneuriat.htm			1			16			ENTRE											
Enfances et Psy	1286-5559	1776-2820	ERES	http://www.cairn.info/revue-enfances-et-psy.htm			12			71			EP											
L'école des parents	0424-2238	2491-2875	ERES	http://www.cairn.info/revue-l-ecole-des-parents.htm			588			621			EPAR											
Education et sociétés	1373-847X	1782-1428	De Boeck Supérieur	http://www.cairn.info/revue-education-et-societes.htm			7			36			ES											
Études sur la mort	1286-5702	1961-8654	L’Esprit du temps	http://www.cairn.info/revue-etudes-sur-la-mort.htm			119			149			ESLM											
Espaces et sociétés	0014-0481	1961-8700	ERES	http://www.cairn.info/revue-espaces-et-societes.htm			117			167			ESP											
Esprit	0014-0759	2111-4579	Editions Esprit	http://www.cairn.info/revue-esprit.htm									ESPRI											
Essaim	1287-258X	1776-2839	ERES	http://www.cairn.info/revue-essaim.htm			7			37			ESS											
Études anglaises	0014-195X	1965-0159	Klincksieck	http://www.cairn.info/revue-etudes-anglaises.htm			54			69			ETAN											
Ethnologie française	0046-2616	2101-0064	Presses Universitaires de France	http://www.cairn.info/revue-ethnologie-francaise.htm			31			164			ETHN											
Études théologiques et religieuses	0014-2239	2272-9011	Institut protestant de théologie	http://www.cairn.info/revue-etudes-theologiques-et-religieuses.htm			80			91			ETR											
Etudes rurales	0014-2182	1777-537X	Éditions de l'EHESS	http://www.cairn.info/revue-etudes-rurales.htm			158			197			ETRU											
Les Études Sociales	0014-2204	2428-3509	Société d'économie et de science sociales	http://www.cairn.info/revue-les-etudes-sociales.htm			148			163			ETSOC											
Études	0014-1941	2102-5800	S.E.R.	http://www.cairn.info/revue-etudes.htm			394						ETU											
L'Europe en Formation	0014-2808	2410-9231	Centre international de formation européenne	http://www.cairn.info/revue-l-europe-en-formation.htm			350			379			EUFOR											
Extrême-Orient Extrême-Occident 	0754-5010	2108-7105	Presses universitaires de Vincennes	http://www.cairn.info/revue-extreme-orient-extreme-occident.htm			35			40			EXTRO											
Finance et Bien Commun	2034-6824	2295-9130	De Boeck Supérieur	http://www.cairn.info/revue-finance-et-bien-commun.htm			20			39			FBC											
Finance	0752-6180	2101-0145	Presses universitaires de Grenoble	http://www.cairn.info/revue-finance.htm			26			37			FINA											
Flux	1154-2721	1958-9557	Université Paris-Est Marne la Vallée	http://www.cairn.info/revue-flux.htm			43			106			FLUX1											
Formation emploi	0759-6340	2107-0946	Céreq	http://www.cairn.info/revue-formation-emploi.htm			121			135			FORM											
Figures de la psychanalyse	1623-3883	1776-2847	ERES	http://www.cairn.info/revue-figures-de-la-psy.htm			4			32			FP											
Gestion 2000	0773-0543	2406-4734	Association de recherches et publications en management	http://www.cairn.info/revue-gestion-2000.htm			28			33			G2000											
Gouvernement et action publique	2260-0965	2262-340X	Presses de Sciences Po (P.F.N.S.P.)	http://www.cairn.info/revue-gouvernement-et-action-publique.htm			1			3			GAP											
Annales des Mines - Gérer et comprendre	0295-4397	2271-7943	F.F.E.	http://www.cairn.info/revue-gerer-et-comprendre.htm			91			125			GECO1											
Genèses	1155-3219	1776-2944	Belin	http://www.cairn.info/revue-geneses.htm			38			105			GEN											
Géocarrefour	1627-4873	1960-601X	Association des amis de la Revue de géographie de Lyon	http://www.cairn.info/revue-geocarrefour.htm			88			90			GEOC											
Géoéconomie	1620-9869	2258-7748	Editions Choiseul	http://www.cairn.info/revue-geoeconomie.htm			43			81			GEOEC											
Germanica	0984-2632	2107-0784	Université Lille-3	http://www.cairn.info/revue-germanica.htm			52			58			GERMA											
Géographie, économie, société	1295-926X	1958-5802	Lavoisier	http://www.cairn.info/revue-geographie-economie-societe.htm			6			18			GES											
Gestalt	1154-5232	1950-6716	Société française de Gestalt (S.F.G.)	http://www.cairn.info/revue-gestalt.htm			22			49			GEST											
Guerres mondiales et conflits contemporains	0984-2292	2101-0137	Presses Universitaires de France	http://www.cairn.info/revue-guerres-mondiales-et-conflits-contemporains.htm			201			264			GMCC											
Gestion et management public		2116-8865	AIRMAP 	http://www.cairn.info/revue-gestion-et-management-public.htm			1			4			GMP											
Gradhiva	0764-8928	1760-849X	Musée du quai Branly	http://www.cairn.info/revue-gradhiva.htm			17			24			GRADH											
Le sociographe	1297-6628	2107-0636	Champ social	http://www.cairn.info/revue-le-sociographe.htm			27			54			GRAPH											
@GRH	2034-9130	2295-9149	De Boeck Supérieur	http://www.cairn.info/revue-@grh.htm			1			18			GRH											
Revue de gestion des ressources humaines	1163-913X	2271-2186	ESKA	http://www.cairn.info/revue-de-gestion-des-ressources-humaines.htm			68			101			GRHU											
Gérontologie et société	0151-0193	2101-0218	Caisse nationale d'assurance vieillesse	http://www.cairn.info/revue-gerontologie-et-societe.htm			96			151			GS1											
Histoire de l’éducation	0221-6280	2102-5452	E.N.S. Editions	http://www.cairn.info/revue-histoire-de-l-education.htm			137			142			HDLE											
Hérodote	0338-487X	1776-2987	La Découverte	http://www.cairn.info/revue-herodote.htm			100			162			HER											
Hermès, La Revue	0767-9513	1963-1006	C.N.R.S. Editions	http://www.cairn.info/revue-hermes-la-revue.htm			1			76			HERM											
Histoire, économie et société	0752-5702	1777-5906	Armand Colin	http://www.cairn.info/revue-histoire-economie-et-societe.htm									HES											
Histoire et mesure	0982-1783	1957-7745	Éditions de l'EHESS	http://www.cairn.info/revue-histoire-et-mesure.htm									HETM											
Histoire, monde et cultures religieuses	2267-7313	2271-1848	Editions Karthala	http://www.cairn.info/revue-histoire-monde-et-cultures-religieuses.htm			1			37			HMC											
Hommes et Migrations	1142-852X	2262-3353	Musée de l’histoire de l’immigration	http://www.cairn.info/revue-hommes-et-migrations.htm			1301			1314			HOMI											
Horizons stratégiques	1958-3370	1760-8023	La Documentation française	http://www.cairn.info/revue-horizons-strategiques.htm			1			7			HORI											
Histoire@Politique		1954-3670	Presses de Sciences Po (P.F.N.S.P.)	http://www.cairn.info/revue-histoire-politique.htm			1			28			HP											
Histoire et Sociétés Rurales	1254-728X	1950-666X	Association d'histoire des sociétés rurales (A.H.S.R.)	http://www.cairn.info/revue-histoire-et-societes-rurales.htm			15			45			HSR											
Humanisme et Entreprise	0018-7372	2271-1791	A.A.E.L.S.H.U.P	http://www.cairn.info/revue-humanisme-et-entreprise.htm			285			316			HUME											
Hypothèses	1298-6216	2101-0269	Publications de la Sorbonne	http://www.cairn.info/revue-hypotheses.htm			1			19			HYP											
I2D ? Information, données et documents	0012-4508	1777-5868	A.D.B.S.	http://www.cairn.info/revue-i2d-information-donnees-et-documents.htm			38			53			I2D											
Idées économiques et sociales	2257-5111	2264-2749	Réseau Canopé	http://www.cairn.info/revue-idees-economiques-et-sociales.htm			151			186			IDEE											
Imaginaire et Inconscient	1628-9676	1965-0183	L’Esprit du temps	http://www.cairn.info/revue-imaginaire-et-inconscient.htm			1			36			IMIN											
Revue internationale de soins palliatifs	1664-1531	2235-2155	Médecine & Hygiène	http://www.cairn.info/revue-infokara.htm			16			31			INKA											
L'information littéraire	0020-0123	1961-8689	Les Belles lettres	http://www.cairn.info/revue-l-information-litteraire.htm			53			60			INLI											
Innovations	1267-4982	1965-0256	De Boeck Supérieur	http://www.cairn.info/revue-innovations.htm			13			51			INNO											
L'information psychiatrique	0020-0204	1952-4056	John Libbey Eurotext	http://www.cairn.info/revue-l-information-psychiatrique.htm			82			92			INPSY											
Insistance	1778-7807	1951-6258	ERES	http://www.cairn.info/revue-insistance.htm			1			11			INSI											
Informations sociales	0046-9459	2101-0374	Caisse nationale d'allocations familiales (CNAF)	http://www.cairn.info/revue-informations-sociales.htm			121			192			INSO											
Jusqu’à la mort accompagner la vie	0768-6625	2428-3592	Presses universitaires de Grenoble	http://www.cairn.info/revue-jusqu-a-la-mort-accompagner-la-vie.htm			109			126			JALMALV											
Journal des anthropologues	1156-0428	2114-2203	Association Française des Anthropologues	http://www.cairn.info/revue-journal-des-anthropologues.htm			133			145			JDA											
Journal du droit des jeunes	2114-2068	2259-6003	Association jeunesse et droit	http://www.cairn.info/revue-journal-du-droit-des-jeunes.htm			201			355			JDJ											
Le Journal des psychologues	0752-501X	2118-3015	Martin Média	http://www.cairn.info/revue-le-journal-des-psychologues.htm			234			343			JDP											
Le journal de l'école de Paris du management	1253-2711	2118-4585	Association des amis de l'Ecole de Paris	http://www.cairn.info/revue-le-journal-de-l-ecole-de-paris-du-management.htm			45			122			JEPAM											
Journal français de psychiatrie	1260-5999	1776-2855	ERES	http://www.cairn.info/revue-journal-francais-de-psychiatrie.htm			12			43			JFP											
Journal de gestion et d'économie médicales	2262-5305	2270-2504	ESKA	http://www.cairn.info/revue-journal-de-gestion-et-d-economie-medicales.htm			26			34			JGEM											
Journal International de Bioéthique	1287-7352	2102-5169	ESKA	http://www.cairn.info/revue-journal-international-de-bioethique.htm			12			27			JIB											
Journal of Innovation Economics et Management		2032-5355	De Boeck Supérieur	http://www.cairn.info/revue-journal-of-innovation-economics.htm			1			21			JIE											
Journal of international Mobility	2296-5165	2296-519X	Presses Universitaires de France	http://www.cairn.info/revue-journal-of-international-mobility.htm			3			3			JIM											
Journal de la psychanalyse de l'enfant	0994-7949	2264-590X	Presses Universitaires de France	http://www.cairn.info/revue-journal-de-la-psychanalyse-de-l-enfant.htm			1			6			JPE											
Journal de la Société des Océanistes	0300-953X	1760-7256	Société des océanistes	http://www.cairn.info/revue-journal-de-la-societe-des-oceanistes.htm			137			141			JSO											
Labyrinthe	1288-6289	1950-6031	Hermann	http://www.cairn.info/revue-labyrinthe.htm			40			41			LABY											
Laennec	1272-520X	2262-483X	Centre Laennec	http://www.cairn.info/revue-laennec.htm			50			64			LAE											
Langages	0458-726X	1958-9549	Armand Colin	http://www.cairn.info/revue-langages.htm			153			203			LANG											
L’Année psychanalytique internationale	1661-8009	2273-1598	In Press	http://www.cairn.info/revue-l-annee-psychanalytique-internationale.htm			2007			2016			LAPSY											
L'Autre	1626-5378	2259-4566	La Pensée sauvage	http://www.cairn.info/revue-l-autre.htm			1			17			LAUTR											
