publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	publisher_name	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Annales historiques de l'électricité	1762-3227	2272-8023	2003	N° 1	01	2014	N° 9	01	http://www.cairn.info/revue-annales-historiques-de-l-electricite.htm	Victoires éditions		revue-annales-historiques-de-l-electricite												
Annales historiques de la Révolution française	0003-4436	1952-403X	2012	n° 367	01	2014	n° 378	04	http://www.cairn.info/revue-annales-historiques-de-la-revolution-francaise.htm	Armand Colin / Dunod		revue-annales-historiques-de-la-revolution-francaise												
Annuel de l'APF	1964-5007		2007	Annuel 2007	01	2014	Annuel 2014	01	http://www.cairn.info/revue-annuel-de-l-apf.htm	Presses Universitaires de France		revue-annuel-de-l-apf												
Revue d'anthropologie des connaissances	1760-5393		2007	Vol 4, n° 1	01	2015	Vol. 9, n° 1	04	http://www.cairn.info/revue-anthropologie-des-connaissances.htm	S.A.C.		revue-anthropologie-des-connaissances												
Approche Centrée sur la Personne. Pratique et recherche	1774-5314	1961-8670	2005	n° 1	01	2014	n° 9	02	http://www.cairn.info/revue-approche-centree-sur-la-personne.htm	ACP-PR		revue-approche-centree-sur-la-personne												
Revue archéologique	0035-0737	2104-3868	2001	n° 31	01	2014	n° 58	02	http://www.cairn.info/revue-archeologique.htm	Presses Universitaires de France		revue-archeologique												
ArchéoSciences	1960-1360	2104-3728	2012	n° 36	01	2014	n° 38	01	http://www.cairn.info/revue-archeosciences.htm	Presses univ. de Rennes		revue-archeosciences												
Archives d'histoire doctrinale et littéraire du Moyen Àge	0373-5478	2109-9529	2001	Tome 68	01	2013	Tome 80	01	http://www.cairn.info/revue-archives-d-histoire-doctrinale-et-litteraire-du-moyen-age.htm	Vrin		revue-archives-d-histoire-doctrinale-et-litteraire-du-moyen-age												
Archives de Philosophie	0003-9632	1769-681X	2001	Tome 64	01	2015	Tome 78	04	http://www.cairn.info/revue-archives-de-philosophie.htm	Centre Sèvres		revue-archives-de-philosophie												
Archives de politique criminelle	0242-5637	2105-2670	2001	n° 23	01	2014	n° 36	01	http://www.cairn.info/revue-archives-de-politique-criminelle.htm	Editions A. Pédone		revue-archives-de-politique-criminelle												
Archives de sciences sociales des religions	0335-5985	1777-5825	2012	n° 157	01	2014	n° 166	04	http://www.cairn.info/revue-archives-de-sciences-sociales-des-religions.htm	Éditions de l'EHESS		revue-archives-de-sciences-sociales-des-religions												
Archives Juives	0003-9837	1965-0531	2001	Vol. 34	01	2013	Vol. 46	02	http://www.cairn.info/revue-archives-juives.htm	Les Belles lettres		revue-archives-juives												
Autrepart	1278-3986	2109-9561	2001	n° 17	01	2014	n°57-58	04	http://www.cairn.info/revue-autrepart.htm	Presses de Sciences Po (P.F.N.S.P.)		revue-autrepart												
Bulletin d'études orientales	0253-1623	2077-4079	2012	Tome LX	01	2014	Tome LXII	02	http://www.cairn.info/revue-bulletin-d-etudes-orientales.htm	Presses de l'Ifpo		revue-bulletin-d-etudes-orientales												
Bulletin de l'Institut Pierre Renouvin	1276-8944	1775-4305	2007	N 25	01	2014	N° 40	02	http://www.cairn.info/revue-bulletin-de-l-institut-pierre-renouvin.htm	IRICE		revue-bulletin-de-l-institut-pierre-renouvin												
Bulletin de psychologie	0007-4403	1968-3766	2005	Numéro 475	01	2015	Numéro 535	06	http://www.cairn.info/revue-bulletin-de-psychologie.htm	Groupe d'études de psychologie		revue-bulletin-de-psychologie												
Cahiers critiques de thérapie familiale et de pratiques de réseaux	1372-8202	1782-1398	2001	n° 26	01	2014	n°36	02	http://www.cairn.info/revue-cahiers-critiques-de-therapie-familiale.htm	De Boeck Supérieur		revue-cahiers-critiques-de-therapie-familiale												
Cahiers d'économie Politique / Papers in Political Economy	0154-8344	1969-6779	2001	n° 39	01	2014	n° 67	02	http://www.cairn.info/revue-cahiers-d-economie-politique.htm	L'Harmattan		revue-cahiers-d-economie-politique												
Cahiers d'études africaines	0008-0055	1777-5353	2001	 n° 185	01	2014	N° 216	04	http://www.cairn.info/revue-cahiers-d-etudes-africaines.htm	Éditions de l'EHESS		revue-cahiers-d-etudes-africaines												
Cahiers d'études hispaniques médiévales	1779-4684		1976	Annexe 10	01	2014	n° 9	04	http://www.cairn.info/revue-cahiers-d-etudes-hispaniques-medievales.htm	E.N.S. Editions		revue-cahiers-d-etudes-hispaniques-medievales												
Cahiers d'histoire de l'aluminium	0990-6908	2272-8856	2008	N° 41	01	2013	n° 51	02	http://www.cairn.info/revue-cahiers-d-histoire-de-l-aluminium.htm	Institut pour l'histoire de l'aluminium		revue-cahiers-d-histoire-de-l-aluminium												
Cahiers de Gestalt-thérapie	1277-6874	1775-4348	2001	n° 10	01	2014	Numéro spécial	02	http://www.cairn.info/revue-cahiers-de-gestalt-therapie.htm	Collège européen de Gestalt-thérapie		revue-cahiers-de-gestalt-therapie												
Cahiers de PréAut	1767-3151	2273-2225	2004	N° 1	01	2014	N° 9	01	http://www.cairn.info/revue-cahiers-de-preaut1.htm	L'Harmattan		revue-cahiers-de-preaut1												
Cahiers de psychologie clinique	1370-074X	1782-1401	2001	n° 27	01	2014	n° 43	02	http://www.cairn.info/revue-cahiers-de-psychologie-clinique.htm	De Boeck Supérieur		revue-cahiers-de-psychologie-clinique												
Cahiers de sociolinguistique	1273-6449		2001	n° 10	01	2010	n° 9	01	http://www.cairn.info/revue-cahiers-de-sociolinguistique.htm	Presses univ. de Rennes		revue-cahiers-de-sociolinguistique												
Cahiers du Genre	1298-6046	1968-3928	2001	HS n° 1	01	2014	n° 57	03	http://www.cairn.info/revue-cahiers-du-genre.htm	L'Harmattan		revue-cahiers-du-genre												
Cahiers du monde russe	1252-6576	1777-5388	2001	Vol 22	01	2014	Vol. 55	04	http://www.cairn.info/revue-cahiers-du-monde-russe.htm	Éditions de l'EHESS		revue-cahiers-du-monde-russe												
Cahiers internationaux de sociolinguistique	2257-6517	2273-1350	2011	N° 1	01	2014	N° 6	02	http://www.cairn.info/revue-cahiers-internationaux-de-sociolinguistique.htm	L'Harmattan		revue-cahiers-internationaux-de-sociolinguistique												
Cahiers internationaux de sociologie	0008-0276	1969-6787	2001	n° 110	01	2010	n° 128-129	02	http://www.cairn.info/revue-cahiers-internationaux-de-sociologie.htm	Presses Universitaires de France		revue-cahiers-internationaux-de-sociologie												
Cahiers Jaurès	1268-5399	1969-6809	2001	N° 159	01	2014	N° 214	04	http://www.cairn.info/revue-cahiers-jaures.htm	Société d'études jaurésiennes		revue-cahiers-jaures												
Cahiers jungiens de psychanalyse	0984-8207	2262-4783	2001	n° 100	01	2014	N° 140	04	http://www.cairn.info/revue-cahiers-jungiens-de-psychanalyse.htm	Les Cahiers jungiens de psychanalyse		revue-cahiers-jungiens-de-psychanalyse												
Cahiers philosophiques	0241-2799	2264-2641	2007	N° 111	01	2015	n° 140	04	http://www.cairn.info/revue-cahiers-philosophiques.htm	Réseau Canopé		revue-cahiers-philosophiques												
Cahiers Sens public	1767-9397	1775-4356	2008	n° 10	01	2013	n° 9	03	http://www.cairn.info/revue-cahiers-sens-public.htm	Assoc. Sens-Public		revue-cahiers-sens-public												
Carnet de notes sur les maltraitances infantiles			2012	N° 1	01	2015	N° 2	01	http://www.cairn.info/revue-carnet-de-notes-sur-les-maltraitances-infantiles.htm	Office de la naissance et de l'enfance (O.N.E.)		revue-carnet-de-notes-sur-les-maltraitances-infantiles												
Carrefours de l'éducation	1262-3490	1969-6949	2001	HS n° 1	01	2014	n° 38	04	http://www.cairn.info/revue-carrefours-de-l-education.htm	Armand Colin / Dunod		revue-carrefours-de-l-education												
Champ psy	2260-2100	2273-1571	2001	n° 21	01	2014	n° 65	04	http://www.cairn.info/revue-champ-psychosomatique.htm	L'Esprit du temps		revue-champ-psychosomatique												
Che vuoi ?	0994-2424	2262-4848	2003	HS01	01	2011	N° 35	03	http://www.cairn.info/revue-che-vuoi.htm	L'Harmattan		revue-che-vuoi												
Chimères	0986-6035	2111-4412	2006	N° 61	01	2014	N° 84	03	http://www.cairn.info/revue-chimeres.htm	ERES		revue-chimeres												
Cités	1299-5495	1969-6876	2001	n° 10	01	2014	n°6	04	http://www.cairn.info/revue-cites.htm	Presses Universitaires de France		revue-cites												
Civilisations	0009-8140	2032-0442	2012	60-2	01	2013	62	02	http://www.cairn.info/revue-civilisations.htm	Université libre de Bruxelles (U.L.B.)		revue-civilisations												
Cliniques	2115-8177	1968-3944	2011	N° 1	01	2014	N° 8	02	http://www.cairn.info/revue-cliniques.htm	ERES		revue-cliniques												
Cliniques méditerranéennes	0762-7491	1776-2790	2001	n° 63	01	2015	n° 91	02	http://www.cairn.info/revue-cliniques-mediterraneennes.htm	ERES		revue-cliniques-mediterraneennes												
Clio	1252-7017	1777-5299	2012	n° 35	01	2014	n° 40	02	http://www.cairn.info/revue-clio.htm	Presses univ. du Mirail		revue-clio												
Commentaire	0180-8214	2272-8988	1978	Numéro 1	01	2014	Numéro 55	04	http://www.cairn.info/revue-commentaire.htm	Commentaire SA		revue-commentaire												
Communication et management	2269-7195	2271-734X	2013	Vol. 10	01	2014	Vol. 11	02	http://www.cairn.info/revue-communication-et-management.htm	ESKA		revue-communication-et-management												
Communication et Organisation	1168-5549	1775-3546	2012	n° 41	01	2014	n° 45	02	http://www.cairn.info/revue-communication-et-organisation.htm	Presses univ. de Bordeaux		revue-communication-et-organisation												
Communications	0588-8018	2102-5924	2008	n° 82	01	2014	n° 89	02	http://www.cairn.info/revue-communications.htm	Le Seuil		revue-communications												
Comptabilité - Contrôle - Audit	1262-2788		1995	Tome 1	01	2014	Tome 9	03	http://www.cairn.info/revue-comptabilite-controle-audit.htm	Association francophone de comptabilité		revue-comptabilite-controle-audit												
Confluences Méditerranée	1148-2664	2102-5991	2001	N° 36	01	2015	N°82	04	http://www.cairn.info/revue-confluences-mediterranee.htm	L'Harmattan		revue-confluences-mediterranee												
Revue Congolaise de Gestion	1729-0228		2011	Numéro 13	01	2013	Numéro 18	02	http://www.cairn.info/revue-congolaise-de-gestion.htm	Editions ICES		revue-congolaise-de-gestion												
Connexions	0337-3126	1776-2804	2001	n° 83	01	2014	n° 99	02	http://www.cairn.info/revue-connexions.htm	ERES		revue-connexions												
Contraste	1254-7689	2259-3780	2005	N° 22 - 23	01	2014	N° 40	02	http://www.cairn.info/revue-contraste.htm	ERES		revue-contraste												
Corps	1954-1228	1969-6957	2006	n° 1	01	2010	n° 8	02	http://www.cairn.info/revue-corps-dilecta.htm	Dilecta		revue-corps-dilecta												
Courrier hebdomadaire du CRISP	0008-9664	1782-141X	1959	10	00	2014	n° 853	76	http://www.cairn.info/revue-courrier-hebdomadaire-du-crisp.htm	CRISP		revue-courrier-hebdomadaire-du-crisp												
Critique	0011-1600	1968-3901	2003	699-700	01	2015	n° 814	12	http://www.cairn.info/revue-critique.htm	Editions de Minuit		revue-critique												
Critique internationale	1290-7839	1777-554X	2001	n° 10	01	2015	N° 66	04	http://www.cairn.info/revue-critique-internationale.htm	Presses de Sciences Po (P.F.N.S.P.)		revue-critique-internationale												
Culture chiffres	1959-6928	2118-464X	2006	HS n°9	01	2014	n°8	09	http://www.cairn.info/revue-culture-chiffres.htm	Ministère de la Culture - DEPS		revue-culture-chiffres												
Culture études	1959-691X	2118-4674	2007	n° 1	01	2014	n°8	08	http://www.cairn.info/revue-culture-etudes.htm	Ministère de la Culture - DEPS		revue-culture-etudes												
Culture méthodes	1959-6936	1968-3774	2007	n° 1	01	2013	n°3	03	http://www.cairn.info/revue-culture-methodes.htm	Ministère de la Culture - DEPS		revue-culture-methodes												
Culture prospective	1959-6944	2118-4631	2007	n°1	01	2011	n°5	05	http://www.cairn.info/revue-culture-prospective.htm	Ministère de la Culture - DEPS		revue-culture-prospective												
Cultures et Conflits	1157-996X	1777-5345	2012	n° 87	01	2014	n° 85-86	04	http://www.cairn.info/revue-cultures-et-conflits.htm	L'Harmattan		revue-cultures-et-conflits												
Revue d'assyriologie et d'archéologie orientale	0373-6032	2104-3817	2001	Vol. 100	01	2014	Vol. 99	02	http://www.cairn.info/revue-d-assyriologie.htm	Presses Universitaires de France		revue-d-assyriologie												
Revue d'économie du développement	1245-4060	1782-1517	2002	Vol. 10	01	2014	Vol. 22	0HS02	http://www.cairn.info/revue-d-economie-du-developpement.htm	De Boeck Supérieur		revue-d-economie-du-developpement												
Revue d'économie financière	0987-3368	1777-5744	2011	N° 101	01	2014	N° 116	04	http://www.cairn.info/revue-d-economie-financiere.htm	Association d'économie financière		revue-d-economie-financiere												
Revue d'économie industrielle	0154-3229	1773-0198	2012	n° 137	01	2014	n° 147	04	http://www.cairn.info/revue-d-economie-industrielle.htm	De Boeck Supérieur		revue-d-economie-industrielle												
Revue d'économie politique	0373-2630	2105-2883	2001	Vol. 111	01	2014	Vol. 124	06	http://www.cairn.info/revue-d-economie-politique.htm	Dalloz		revue-d-economie-politique												
Revue d'Économie Régionale et Urbaine	0180-7307	2107-0865	2001	août	01	2014	septembre	05	http://www.cairn.info/revue-d-economie-regionale-et-urbaine.htm	Armand Colin / Dunod		revue-d-economie-regionale-et-urbaine												
Revue d'éthique et de théologie morale	1266-0078	2118-4518	2004	N° 231	01	2015	n°274	0HS	http://www.cairn.info/revue-d-ethique-et-de-theologie-morale.htm	Editions du Cerf		revue-d-ethique-et-de-theologie-morale												
Revue d'histoire des sciences	0151-4105	1969-6582	2006	Tome 59	01	2014	Tome 67	02	http://www.cairn.info/revue-d-histoire-des-sciences.htm	Armand Colin / Dunod		revue-d-histoire-des-sciences												
Revue d'histoire du XIXe siècle	1265-1354	1777-5329	2011	n° 42	01	2014	n° 49	02	http://www.cairn.info/revue-d-histoire-du-dix-neuvieme-siecle.htm	Société de 1848		revue-d-histoire-du-dix-neuvieme-siecle												
Revue d'histoire littéraire de la France	0035-2411	2105-2689	2001	Vol. 101	01	2015	Vol.104	06	http://www.cairn.info/revue-d-histoire-litteraire-de-la-france.htm	Presses Universitaires de France		revue-d-histoire-litteraire-de-la-france												
Revue d'histoire moderne et contemporaine	0048-8003	1776-3045	2000	n° 47-4	01	2014	n° 61-4/4 bis	05	http://www.cairn.info/revue-d-histoire-moderne-et-contemporaine.htm	Belin		revue-d-histoire-moderne-et-contemporaine												
Revue de gestion des ressources humaines	1163-913X	2271-2186	2008	N° 68	01	2014	N° 94	04	http://www.cairn.info/revue-de-gestion-des-ressources-humaines.htm	ESKA		revue-de-gestion-des-ressources-humaines												
Revue de l'enfance et de l'adolescence	2101-6046		2014	n° 89	01	2014	n° 90	02	http://www.cairn.info/revue-de-l-enfance-et-de-l-adolescence.htm	ERES		revue-de-l-enfance-et-de-l-adolescence												
Revue de l'Entrepreneuriat	1766-2524	1630-7542	2001	Vol. 1	01	2014	Vol. 9	04	http://www.cairn.info/revue-de-l-entrepreneuriat.htm	De Boeck Supérieur		revue-de-l-entrepreneuriat												
Revue de l'histoire des religions	0035-1423	2105-2573	2012	Tome 229	01	2014	Tome 231	04	http://www.cairn.info/revue-de-l-histoire-des-religions.htm	Armand Colin / Dunod		revue-de-l-histoire-des-religions												
La Revue de l'Ires	1145-1378	2104-3698	2005	n° 47	01	2014	n° 81	04	http://www.cairn.info/revue-de-l-ires.htm	I.R.E.S.		revue-de-l-ires												
Revue de l'OCDE sur le développement	1992-0490	1996-5753	2001	n° 2	01	2009	n° 9	04	http://www.cairn.info/revue-de-l-ocde-sur-le-developpement.htm	Ed. de l'OCDE		revue-de-l-ocde-sur-le-developpement												
Revue de l'OFCE	1265-9576	1777-5647	2001	n° 100	01	2014	Supp.1	08	http://www.cairn.info/revue-de-l-ofce.htm	OFCE		revue-de-l-ofce												
Revue de l'organisation responsable	1951-0187	2105-3022	2006	Vol. 1	01	2014	Vol. 9	03	http://www.cairn.info/revue-de-l-organisation-responsable.htm	ESKA		revue-de-l-organisation-responsable												
Revue de la BNF	1254-7700	2118-3376	2009	n° 31	01	2014	n° 48	03	http://www.cairn.info/revue-de-la-bibliotheque-nationale-de-france.htm	Bibliothèque nationale de France (B.N.F.)		revue-de-la-bibliotheque-nationale-de-france												
Revue de littérature comparée	0035-1466	1965-0264	2001	n ° 298	01	2014	n° 341	04	http://www.cairn.info/revue-de-litterature-comparee.htm	Klincksieck		revue-de-litterature-comparee												
Revue de métaphysique et de morale	0035-1571	2102-5177	2001	n° 29	01	2014	n°55	04	http://www.cairn.info/revue-de-metaphysique-et-de-morale.htm	Presses Universitaires de France		revue-de-metaphysique-et-de-morale												
Revue de neuropsychologie	2101-6739	2102-6025	2009	Volume 1	01	2014	Volume 6	05	http://www.cairn.info/revue-de-neuropsychologie.htm	John Libbey Eurotext		revue-de-neuropsychologie												
Revue de philologie, de littérature et d'histoire anciennes	0035-1652	1760-8430	2001	Tome LVXXII	01	2013	Tome LXXXVII	02	http://www.cairn.info/revue-de-philologie-litterature-et-histoire-anciennes.htm	Klincksieck		revue-de-philologie-litterature-et-histoire-anciennes												
Revue de philosophie économique	1376-0971	2118-4852	2009	Vol. 10	01	2014	Vol. 15	02	http://www.cairn.info/revue-de-philosophie-economique.htm	Vrin		revue-de-philosophie-economique												
Revue de Psychologie Analytique	2268-8870	2271-2151	2013	Volume 1	01	2013	Volume 1	02	http://www.cairn.info/revue-de-psychologie-analytique.htm	L'Esprit du temps		revue-de-psychologie-analytique												
Revue de psychothérapie psychanalytique de groupe	0297-1194	1776-2863	2001	n° 36	01	2014	n° 63	02	http://www.cairn.info/revue-de-psychotherapie-psychanalytique-de-groupe.htm	ERES		revue-de-psychotherapie-psychanalytique-de-groupe												
La Revue des Sciences de Gestion	1160-7742	1760-6136	2005	n° 230	01	2014	n°249-250	06	http://www.cairn.info/revue-des-sciences-de-gestion.htm	Direction et Gestion (La RSG)		revue-des-sciences-de-gestion												
Revue des sciences philosophiques et théologiques	0035-2209	2118-4445	2001	TOME 85	01	2014	TOME 98	04	http://www.cairn.info/revue-des-sciences-philosophiques-et-theologiques.htm	Vrin		revue-des-sciences-philosophiques-et-theologiques												
Développements	2103-2874		2009	n° 1	01	2013	n° 9	04	http://www.cairn.info/revue-developpements.htm	De Boeck Supérieur		revue-developpements												
Devenir	1015-8154		2001	Numéro spécial	01	2014	Vol. 26	05	http://www.cairn.info/revue-devenir.htm	Médecine et Hygiène		revue-devenir												
Déviance et Société	0378-7931	2296-4096	2001	Vol. 25	01	2014	Vol. 38	04	http://www.cairn.info/revue-deviance-et-societe.htm	Médecine et Hygiène		revue-deviance-et-societe												
Dialogue	0242-8962	1961-8662	2001	n° 151	01	2015	n° 207	04	http://www.cairn.info/revue-dialogue.htm	ERES		revue-dialogue												
Dialogues d'histoire ancienne	0755-7256	1955-270X	2007	33/1	01	2014	S7	0Supplément 8	http://www.cairn.info/revue-dialogues-d-histoire-ancienne.htm	Presses Univ. de Franche-Comté		revue-dialogues-d-histoire-ancienne												
Diogène	0419-1633	2077-5253	2001	n° 193	01	2013	n° 243-244	04	http://www.cairn.info/revue-diogene.htm	Presses Universitaires de France		revue-diogene												
Distances et savoirs	1765-0887	1965-0167	2003	Vol. 1	01	2011	Vol. 9	04	http://www.cairn.info/revue-distances-et-savoirs.htm	Lavoisier		revue-distances-et-savoirs												
Dix-huitième siècle	0070-6760	1760-7892	2006	n° 39	01	2014	n° 46	01	http://www.cairn.info/revue-dix-huitieme-siecle.htm	La Découverte		revue-dix-huitieme-siecle												
Dix-septième siècle	0012-4273	1969-6965	2001	n° 210	01	2015	n° 266	04	http://www.cairn.info/revue-dix-septieme-siecle.htm	Presses Universitaires de France		revue-dix-septieme-siecle												
Document numérique	1279-5127	1963-1014	2001	Vol. 10	01	2014	Vol. 9	04	http://www.cairn.info/revue-document-numerique.htm	Lavoisier		revue-document-numerique												
Documentaliste-Sciences de l'Information	0012-4508	1777-5868	2001	Vol. 38	01	2014	Vol. 51	06	http://www.cairn.info/revue-documentaliste-sciences-de-l-information.htm	A.D.B.S.		revue-documentaliste-sciences-de-l-information												
Droit et société	0769-3362	1969-6973	2001	n° 61	01	2014	n°67	03	http://www.cairn.info/revue-droit-et-societe.htm	Ed. juridiques associées		revue-droit-et-societe												
Droits	0766-3838		2011	n° 54	01	2014	n° 58	02	http://www.cairn.info/revue-droits.htm	Presses Universitaires de France		revue-droits												
Revue du MAUSS	1247-4819	1776-3053	2001	n° 17	01	2014	n° 44	02	http://www.cairn.info/revue-du-mauss.htm	La Découverte		revue-du-mauss												
Revue du Nord	0035-2624	2271-7005	2001	n° 375-376	01	2014	n° 404-405	05	http://www.cairn.info/revue-du-nord.htm	Université Lille-3		revue-du-nord												
Ecologie et politique	1166-3030	2118-3147	2002	N° 42	01	2015	N°50	03	http://www.cairn.info/revue-ecologie-et-politique.htm	Presses de Sciences Po (P.F.N.S.P.)		revue-ecologie-et-politique												
Economie et prévision	0249-4744	1777-5795	2001	n° 147	01	2013	n° 202-203	05	http://www.cairn.info/revue-economie-et-prevision.htm	La Doc. française		revue-economie-et-prevision												
Economie internationale	1240-8093	1777-5582	2001	n° 100	01	2012	n° 94-95	04	http://www.cairn.info/revue-economie-internationale.htm	La Doc. française		revue-economie-internationale												
Économie rurale	0013-0559	2105-2581	2012	n° 327-328	01	2015	n° 345	06	http://www.cairn.info/revue-economie-rurale.htm	Société française d'économie rurale		revue-economie-rurale												
Revue économique	0035-2764	1950-6694	2001	Prépublication	00	2015	Vol. 66	07	http://www.cairn.info/revue-economique.htm	Presses de Sciences Po (P.F.N.S.P.)		revue-economique												
Revue économique de l'OCDE	0255-0830	1684-3444	2001	n° 40	01	2008	n° 44	02	http://www.cairn.info/revue-economique-de-l-ocde.htm	Ed. de l'OCDE		revue-economique-de-l-ocde												
Education et didactique	1956-3485	2111-4838	2012	vol. 6	01	2014	vol.7	03	http://www.cairn.info/revue-education-et-didactique.htm	Presses univ. de Rennes		revue-education-et-didactique												
Education et sociétés	1373-847X	1782-1428	2001	n° 10	01	2014	n° 34	02	http://www.cairn.info/revue-education-et-societes.htm	De Boeck Supérieur		revue-education-et-societes												
Ela. Études de linguistique appliquée	0071-190X	1965-0477	2001	n° 121	01	2014	n°173	04	http://www.cairn.info/revue-ela.htm	Klincksieck		revue-ela												
Empan	1152-3336	1776-2812	2002	n° 58	01	2014	n° 96	04	http://www.cairn.info/revue-empan.htm	ERES		revue-empan												
Enfance	0013-7545	1969-6981	2001	Vol. 53	01	2008	Vol. 60	04	http://www.cairn.info/revue-enfance.htm	Presses Universitaires de France		revue-enfance												
Enfances et Psy	1286-5559	1776-2820	2000	n° 12	01	2014	N° 65	04	http://www.cairn.info/revue-enfances-et-psy.htm	ERES		revue-enfances-et-psy												
Entreprendre et Innover	2034-7634	2034-7642	2011	n° 11-12	01	2015	n° 9-10	04	http://www.cairn.info/revue-entreprendre-et-innover.htm	De Boeck Supérieur		revue-entreprendre-et-innover												
Entreprises et histoire	1161-2770	2100-9864	2001	n° 27	01	2014	n°61	04	http://www.cairn.info/revue-entreprises-et-histoire.htm	ESKA		revue-entreprises-et-histoire												
L'Espace géographique	0046-2497	1776-2936	2001	tome 33	01	2014	Vol. 39	04	http://www.cairn.info/revue-espace-geographique.htm	Belin		revue-espace-geographique												
L'Espace géographique (English Edition)			2012	Volume 41	01	2012	Volume 41	04	http://www.cairn.info/revue-espace-geographique-english.htm	Belin		revue-espace-geographique-english												
Espaces et sociétés	0014-0481	1961-8700	2004	n° 118	01	2015	n° 160	04	http://www.cairn.info/revue-espaces-et-societes.htm	ERES		revue-espaces-et-societes												
Esprit	0014-0759	2111-4579	2006	Août/septembre	01	2015	Octobre	12	http://www.cairn.info/revue-esprit.htm	Editions Esprit		revue-esprit												
Essaim	1287-258X	1776-2839	2001	n° 15	01	2014	n° 33	02	http://www.cairn.info/revue-essaim.htm	ERES		revue-essaim												
