publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	subtype	subjects	frequency	aspp	iel	ibm	tup	biai	mitp	nokia_bell_labs	oa	csdl	stem10	stem25	stem45	smpteall	smptejnl	agu	
"IEEE Transactions on Communication and Electronics"	0536-1532	2379-6758	1963	82	1	1964	83	75	https://ieeexplore.ieee.org/servlet/opac?punumber=6412854		6412854		fulltext		IEEE	Serial							4547465	P	Journal	Computing and Processing; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Fields, Waves and Electromagnetics	5		*														
"IEEE Transactions on Communication Technology"	0018-9332	2162-2175	1964	12	3	1971	19	6	https://ieeexplore.ieee.org/servlet/opac?punumber=4547467		4547467		fulltext		IEEE	Serial							4547466,6412854	P	Journal	Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	6		*														
"IEEE Transactions on Communications"	0090-6778	1558-0857	1972	20	1				https://ieeexplore.ieee.org/servlet/opac?punumber=26		26		fulltext		IEEE	Serial							4547467	P	Journal	Communication, Networking and Broadcast Technologies	12	*	*														
"IEEE Transactions on Communications Systems"	0096-1965	1558-2647	1963	11	1	1964	12	2	https://ieeexplore.ieee.org/servlet/opac?punumber=4547466		4547466		fulltext		IEEE	Serial							4547465	P	Journal	Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	2		*														
"IEEE Transactions on Component Parts"	0097-6601	2168-1716	1963	10	1	1965	12	1	https://ieeexplore.ieee.org/servlet/opac?punumber=8216		8216		fulltext		IEEE	Serial							8223,8222	P	Journal	Components, Circuits, Devices and Systems	1		*														
"IEEE Transactions on Components and Packaging Technologies"	1521-3331	1557-9972	1999	22	1	2010	33	4	https://ieeexplore.ieee.org/servlet/opac?punumber=6144		6144		fulltext		IEEE	Serial							95,96,3476	P	Journal	Components, Circuits, Devices and Systems	4	*	*														
"IEEE Transactions on Components, Hybrids, and Manufacturing Technology"	0148-6411	1558-3082	1978	1	1	1993	16	8	https://ieeexplore.ieee.org/servlet/opac?punumber=33		33		fulltext		IEEE	Serial							8218,8217	P	Journal	Components, Circuits, Devices and Systems; Power, Energy and Industry Applications	8		*														
"IEEE Transactions on Components, Packaging and Manufacturing Technology"	2156-3950	2156-3985	2011	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5503870		5503870		fulltext		IEEE	Serial							6144,6104,6040	P	Journal	Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas	12	*	*														
"IEEE Transactions on Components, Packaging, and Manufacturing Technology: Part A"	1070-9886	1558-3678	1994	17	1	1998	21	4	https://ieeexplore.ieee.org/servlet/opac?punumber=95		95		fulltext		IEEE	Serial							33	P	Journal	Components, Circuits, Devices and Systems; Power, Energy and Industry Applications	4	*	*														
"IEEE Transactions on Components, Packaging, and Manufacturing Technology: Part B"	1070-9894	1558-3686	1994	17	1	1998	21	4	https://ieeexplore.ieee.org/servlet/opac?punumber=96		96		fulltext		IEEE	Serial							33	P	Journal	Components, Circuits, Devices and Systems; Power, Energy and Industry Applications	4	*	*														
"IEEE Transactions on Components, Packaging, and Manufacturing Technology: Part C"	1083-4400	1558-1241	1996	19	1	1998	21	4	https://ieeexplore.ieee.org/servlet/opac?punumber=3476		3476		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems; Power, Energy and Industry Applications	4	*	*														
"IEEE Transactions on Computational Imaging"	2573-0436	2333-9403	2015	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6745852		6745852		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Computing and Processing; General Topics for Engineers; Geoscience	4	*	*														
"IEEE Transactions on Computational Intelligence and AI in Games"	1943-068X	1943-0698	2009	1	1	2017	9	4	https://ieeexplore.ieee.org/servlet/opac?punumber=4804728		4804728		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Communication, Networking and Broadcast Technologies	4	*	*							*							
"IEEE Transactions on Computational Social Systems"		2329-924X	2014	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6570650		6570650		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Communication, Networking and Broadcast Technologies; General Topics for Engineers	4	*	*														
"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"	0278-0070	1937-4151	1982	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=43		43		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems; Computing and Processing	12	*	*														
"IEEE Transactions on Computers"	0018-9340	1557-9956	1968	C-17	1				https://ieeexplore.ieee.org/servlet/opac?punumber=12		12		fulltext		IEEE	Serial							4037753	P	Journal	Computing and Processing	12	*	*							*							
"IEEE Transactions on Consumer Electronics"	0098-3063	1558-4127	1975	CE-21	1				https://ieeexplore.ieee.org/servlet/opac?punumber=30		30		fulltext		IEEE	Serial							4079767	P	Journal	Power, Energy and Industry Applications; Components, Circuits, Devices and Systems; Fields, Waves and Electromagnetics	4	*	*														
"IEEE Transactions on Control of Network Systems"		2325-5870	2014	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6509490		6509490		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Robotics and Control Systems; Signal Processing and Analysis; Components, Circuits, Devices and Systems; Computing and Processing	4	*	*														
"IEEE Transactions on Control Systems Technology"	1063-6536	1558-0865	1993	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=87		87		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies; Computing and Processing; Robotics and Control Systems	6	*	*														
"IEEE Transactions on Cybernetics"	2168-2267	2168-2275	2013	43	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6221036		6221036		fulltext		IEEE	Serial							3477	P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies; Robotics and Control Systems; General Topics for Engineers; Components, Circuits, Devices and Systems; Computing and Processing; Power, Energy and Industry Applications	12	*	*														
"IEEE Transactions on Dependable and Secure Computing"	1545-5971	1941-0018	2004	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8858		8858		fulltext		IEEE	Serial								P	Journal	Computing and Processing	6	*	*							*							
"IEEE Transactions on Device and Materials Reliability"	1530-4388	1558-2574	2001	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7298		7298		fulltext		IEEE	Serial								P	Journal	Engineered Materials, Dielectrics and Plasmas; Components, Circuits, Devices and Systems; Power, Energy and Industry Applications	4	*	*														
"IEEE Transactions on Dielectrics and Electrical Insulation"	1070-9878	1558-4135	1994	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=94		94		fulltext		IEEE	Serial							14	P	Journal	Fields, Waves and Electromagnetics; Engineered Materials, Dielectrics and Plasmas	6	*	*														
"IEEE Transactions on Education"	0018-9359	1557-9638	1963	6	1				https://ieeexplore.ieee.org/servlet/opac?punumber=13		13		fulltext		IEEE	Serial							4321999	P	Journal	General Topics for Engineers; Engineering Profession	4	*	*								*	*	*				
"IEEE Transactions on Electrical Insulation"	0018-9367	1557-962X	1965	EI-1	1	1993	28	6	https://ieeexplore.ieee.org/servlet/opac?punumber=14		14		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics; Engineered Materials, Dielectrics and Plasmas	6		*														
"IEEE Transactions on Electromagnetic Compatibility"	0018-9375	1558-187X	1964	6	1				https://ieeexplore.ieee.org/servlet/opac?punumber=15		15		fulltext		IEEE	Serial							4607257	P	Journal	Fields, Waves and Electromagnetics; Engineered Materials, Dielectrics and Plasmas	6	*	*														
"IEEE Transactions on Electron Devices"	0018-9383	1557-9646	1963	10	1				https://ieeexplore.ieee.org/servlet/opac?punumber=16		16		fulltext		IEEE	Serial							4639142	P	Journal	Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas	12	*	*														
"IEEE Transactions on Electronic Computers"	0367-7508		1963	EC-12	1	1967	EC-16	6	https://ieeexplore.ieee.org/servlet/opac?punumber=4037753		4037753		fulltext		IEEE	Serial							5407885	P	Journal	Computing and Processing	6		*														
"IEEE Transactions on Electronics Packaging Manufacturing"	1521-334X	1558-0822	1999	22	1	2010	33	4	https://ieeexplore.ieee.org/servlet/opac?punumber=6104		6104		fulltext		IEEE	Serial							95,96,3476	P	Journal	Components, Circuits, Devices and Systems; Power, Energy and Industry Applications	2	*	*														
"IEEE Transactions on Emerging Topics in Computational Intelligence"		2471-285X	2017	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7433297		7433297		fulltext		IEEE	Serial								P	Journal	Computing and Processing	6	*	*														
"IEEE Transactions on Emerging Topics in Computing"		2168-6750	2013	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6245516		6245516		fulltext		IEEE	Serial								F	Journal	Computing and Processing	4	*	*						*	*							
"IEEE Transactions on Energy Conversion"	0885-8969	1558-0059	1986	EC-1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=60		60		fulltext		IEEE	Serial							10669	P	Journal	Power, Energy and Industry Applications; Geoscience	4	*	*														
"IEEE Transactions on Engineering Management"	0018-9391	1558-0040	1963	EM-10	1				https://ieeexplore.ieee.org/servlet/opac?punumber=17		17		fulltext		IEEE	Serial							5007355	P	Journal	Engineering Profession	4	*	*									*	*				
"IEEE Transactions on Engineering Writing and Speech"	0018-9405	2331-3706	1963	6	1	1971	14	3	https://ieeexplore.ieee.org/servlet/opac?punumber=4322293		4322293		fulltext		IEEE	Serial							4322631	P	Journal	General Topics for Engineers; Engineering Profession	3		*														
"IEEE Transactions on Evolutionary Computation"	1089-778X	1941-0026	1997	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=4235		4235		fulltext		IEEE	Serial								P	Journal	Computing and Processing	6	*	*														
"IEEE Transactions on Fuzzy Systems"	1063-6706	1941-0034	1993	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=91		91		fulltext		IEEE	Serial								P	Journal	Computing and Processing	6	*	*														
"IEEE Transactions on Games"	2475-1502	2475-1510	2018	10	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7782673		7782673		fulltext		IEEE	Serial							4804728	P	Journal	Bioengineering; Communication, Networking and Broadcast Technologies; Computing and Processing	2	*	*							*							
"IEEE Transactions on Geoscience and Remote Sensing"	0196-2892	1558-0644	1980	GE-18	1				https://ieeexplore.ieee.org/servlet/opac?punumber=36		36		fulltext		IEEE	Serial							4043135	P	Journal	Geoscience; Signal Processing and Analysis	12	*	*														
"IEEE Transactions on Geoscience Electronics"	0018-9413		1963	1	1	1979	17	4	https://ieeexplore.ieee.org/servlet/opac?punumber=4043135		4043135		fulltext		IEEE	Serial								P	Journal	Geoscience; Power, Energy and Industry Applications	4		*														
"IEEE Transactions on Green Communications and Networking"		2473-2400	2017	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7511293		7511293		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Computing and Processing; General Topics for Engineers	6	*	*														
"IEEE Transactions on Haptics"	1939-1412	2329-4051	2008	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=4543165		4543165		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Signal Processing and Analysis	4	*	*							*							
"IEEE Transactions on Human Factors in Electronics"	0096-249X	2168-2852	1963	HFE-4	1	1967	HFE-8	4	https://ieeexplore.ieee.org/servlet/opac?punumber=11151		11151		fulltext		IEEE	Serial							4503253	P	Journal	General Topics for Engineers; Engineering Profession; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Signal Processing and Analysis; Robotics and Control Systems; Power, Energy and Industry Applications	4		*														
"IEEE Transactions on Human-Machine Systems"	2168-2291	2168-2305	2013	43	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6221037		6221037		fulltext		IEEE	Serial							5326	P	Journal	Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Signal Processing and Analysis; Robotics and Control Systems; Power, Energy and Industry Applications; General Topics for Engineers; Computing and Processing	6	*	*														
"IEEE Transactions on Image Processing"	1057-7149	1941-0042	1992	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=83		83		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies; Computing and Processing	12	*	*														
"IEEE Transactions on Industrial Electronics"	0278-0046	1557-9948	1982	IE-29	1				https://ieeexplore.ieee.org/servlet/opac?punumber=41		41		fulltext		IEEE	Serial							11166	P	Journal	Power, Energy and Industry Applications; Signal Processing and Analysis; Communication, Networking and Broadcast Technologies	12	*	*														
"IEEE Transactions on Industrial Electronics and Control Instrumentation"	0018-9421	2375-0502	1964	IECI-11	1	1981	IECI-28	4	https://ieeexplore.ieee.org/servlet/opac?punumber=11166		11166		fulltext		IEEE	Serial							5412874	P	Journal	Power, Energy and Industry Applications; Components, Circuits, Devices and Systems	4		*														
"IEEE Transactions on Industrial Electronics [May 1963]"	0099-4553		1963	IE-10	1	1963	IE-10	1	https://ieeexplore.ieee.org/servlet/opac?punumber=5412874		5412874		fulltext		IEEE	Serial							5007029	P	Journal	Power, Energy and Industry Applications; Components, Circuits, Devices and Systems	1		*														
"IEEE Transactions on Industrial Informatics"	1551-3203	1941-0050	2005	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=9424		9424		fulltext		IEEE	Serial								P	Journal	Power, Energy and Industry Applications; Signal Processing and Analysis; Computing and Processing; Communication, Networking and Broadcast Technologies	4	*	*														
"IEEE Transactions on Industry and General Applications"	0018-943X		1965	IGA-1	1	1971	IGA-7	6	https://ieeexplore.ieee.org/servlet/opac?punumber=4180499		4180499		fulltext		IEEE	Serial							5407695	P	Journal	Power, Energy and Industry Applications; Signal Processing and Analysis; Components, Circuits, Devices and Systems	6		*														
"IEEE Transactions on Industry Applications"	0093-9994	1939-9367	1972	IA-8	1				https://ieeexplore.ieee.org/servlet/opac?punumber=28		28		fulltext		IEEE	Serial							4180499	P	Journal	Power, Energy and Industry Applications; Signal Processing and Analysis; Fields, Waves and Electromagnetics; Components, Circuits, Devices and Systems	6	*	*														
"IEEE Transactions on Information Forensics and Security"	1556-6013	1556-6021	2006	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=10206		10206		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Computing and Processing; Communication, Networking and Broadcast Technologies	12	*	*														
"IEEE Transactions on Information Technology in Biomedicine"	1089-7771	1558-0032	1997	1	1	2012	16	6	https://ieeexplore.ieee.org/servlet/opac?punumber=4233		4233		fulltext		IEEE	Serial								P	Journal	Bioengineering; Computing and Processing	6	*	*														
"IEEE Transactions on Information Theory"	0018-9448	1557-9654	1963	9	1				https://ieeexplore.ieee.org/servlet/opac?punumber=18		18		fulltext		IEEE	Serial							4547527	P	Journal	Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	12	*	*														
"IEEE Transactions on Instrumentation and Measurement"	0018-9456	1557-9662	1963	12	1				https://ieeexplore.ieee.org/servlet/opac?punumber=19		19		fulltext		IEEE	Serial							5006544	P	Journal	Power, Energy and Industry Applications; Components, Circuits, Devices and Systems	12	*	*														
"IEEE Transactions on Intelligent Transportation Systems"	1524-9050	1558-0016	2000	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6979		6979		fulltext		IEEE	Serial								P	Journal	Transportation; Aerospace; Communication, Networking and Broadcast Technologies; Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis	4	*	*														
"IEEE Transactions on Intelligent Vehicles"	2379-8858	2379-8904	2016	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7274857		7274857		fulltext		IEEE	Serial								P	Journal	Transportation; Robotics and Control Systems; Components, Circuits, Devices and Systems	4	*	*														
"IEEE Transactions on Knowledge and Data Engineering"	1041-4347	1558-2191	1989	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=69		69		fulltext		IEEE	Serial								P	Journal	Computing and Processing	12	*	*							*							
"IEEE Transactions on Learning Technologies"		1939-1382	2008	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=4620076		4620076		fulltext		IEEE	Serial								P	Journal	Computing and Processing; General Topics for Engineers	4	*	*							*							
"IEEE Transactions on Magnetics"	0018-9464	1941-0069	1965	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=20		20		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics	12	*	*														
"IEEE Transactions on Man-Machine Systems"	0536-1540	2168-2860	1968	9	1	1970	11	4	https://ieeexplore.ieee.org/servlet/opac?punumber=4081845		4081845		fulltext		IEEE	Serial							11151	P	Journal	Computing and Processing; Signal Processing and Analysis; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; General Topics for Engineers; Robotics and Control Systems; Power, Energy and Industry Applications; Aerospace; Bioengineering; Engineering Profession; Transportation	4		*														
"IEEE Transactions on Manufacturing Technology"	0046-838X	1558-3074	1972	1	1	1977	6	4	https://ieeexplore.ieee.org/servlet/opac?punumber=8218		8218		fulltext		IEEE	Serial							8221	P	Journal	Components, Circuits, Devices and Systems; Power, Energy and Industry Applications	4		*														
"IEEE Transactions on Medical Imaging"	0278-0062	1558-254X	1982	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=42		42		fulltext		IEEE	Serial								P	Journal	Bioengineering; Computing and Processing	12	*	*														
"IEEE Transactions on Medical Robotics and Bionics"		2576-3202	2019	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8253409		8253409		fulltext		IEEE	Serial								P	Journal	Bioengineering; Robotics and Control Systems; Computing and Processing	4	*	*														
"IEEE Transactions on Microwave Theory and Techniques"	0018-9480	1557-9670	1963	11	1				https://ieeexplore.ieee.org/servlet/opac?punumber=22		22		fulltext		IEEE	Serial							4547924	P	Journal	Fields, Waves and Electromagnetics	12	*	*														
"IEEE Transactions on Military Electronics"	0536-1559	2374-9520	1963	MIL-7	1	1965	9	3	https://ieeexplore.ieee.org/servlet/opac?punumber=4323026		4323026		fulltext		IEEE	Serial							5008109,5483689,5008636	P	Journal	Aerospace; Transportation; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Fields, Waves and Electromagnetics	3		*														
"IEEE Transactions on Mobile Computing"	1536-1233	1558-0660	2002	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7755		7755		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	12	*	*							*							
"IEEE Transactions on Molecular, Biological and Multi-Scale Communications"		2332-7804	2015	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6687308		6687308		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Bioengineering; Computing and Processing; Signal Processing and Analysis	4	*	*														
"IEEE Transactions on Multi-Scale Computing Systems"		2332-7766	2015	1	1	2018	4	4	https://ieeexplore.ieee.org/servlet/opac?punumber=6687315		6687315		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Computing and Processing; Components, Circuits, Devices and Systems	4	*	*							*							
"IEEE Transactions on Multimedia"	1520-9210	1941-0077	1999	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6046		6046		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems; Communication, Networking and Broadcast Technologies; Computing and Processing; General Topics for Engineers	8	*	*														
"IEEE Transactions on NanoBioscience"	1536-1241	1558-2639	2002	99	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7728		7728		fulltext		IEEE	Serial								P	Journal	Bioengineering; Components, Circuits, Devices and Systems	4	*	*														
"IEEE Transactions on Nanotechnology"	1536-125X	1941-0085	2002	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7729		7729		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems; Computing and Processing	6	*	*														
"IEEE Transactions on Network and Service Management"		1932-4537	2004	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=4275028		4275028		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Computing and Processing	2	*	*														
"IEEE Transactions on Network Science and Engineering"		2327-4697	2014	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6488902		6488902		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Computing and Processing; Components, Circuits, Devices and Systems; Signal Processing and Analysis	4	*	*							*							
"IEEE Transactions on Neural Networks"	1045-9227	1941-0093	1990	1	1	2011	22	12	https://ieeexplore.ieee.org/servlet/opac?punumber=72		72		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Communication, Networking and Broadcast Technologies	12	*	*														
"IEEE Transactions on Neural Networks and Learning Systems"	2162-237X	2162-2388	2012	23	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5962385		5962385		fulltext		IEEE	Serial							72	P	Journal	Computing and Processing; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; General Topics for Engineers	12	*	*														
"IEEE Transactions on Neural Systems and Rehabilitation Engineering"	1534-4320	1558-0210	2001	9	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7333		7333		fulltext		IEEE	Serial							86	P	Journal	Bioengineering; Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis; Communication, Networking and Broadcast Technologies	6	*	*														
"IEEE Transactions on Nuclear Science"	0018-9499	1558-1578	1963	10	1				https://ieeexplore.ieee.org/servlet/opac?punumber=23		23		fulltext		IEEE	Serial							4315440	P	Journal	Nuclear Engineering; Bioengineering	6	*	*														
"IEEE Transactions on Parallel and Distributed Systems"	1045-9219	1558-2183	1990	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=71		71		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Communication, Networking and Broadcast Technologies	12	*	*							*							
"IEEE Transactions on Parts, Hybrids, and Packaging"	0361-1000	1558-2469	1971	7	2	1977	13	4	https://ieeexplore.ieee.org/servlet/opac?punumber=8217		8217		fulltext		IEEE	Serial							8221	P	Journal	Components, Circuits, Devices and Systems	4		*														
"IEEE Transactions on Parts, Materials and Packaging"	0018-9502	1558-2655	1965	1	1	1971	7	1	https://ieeexplore.ieee.org/servlet/opac?punumber=8221		8221		fulltext		IEEE	Serial							8224,8216	P	Journal	Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas	1		*														
"IEEE Transactions on Pattern Analysis and Machine Intelligence"	0162-8828	1939-3539	1979	PAMI-1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=34		34		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Bioengineering	12	*	*							*							
"IEEE Transactions on Plasma Science"	0093-3813	1939-9375	1973	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=27		27		fulltext		IEEE	Serial								P	Journal	Engineered Materials, Dielectrics and Plasmas; Fields, Waves and Electromagnetics	12	*	*														
"IEEE Transactions on Power Apparatus and Systems"	0018-9510		1963	82	65	1985	PAS-104	12	https://ieeexplore.ieee.org/servlet/opac?punumber=10669		10669		fulltext		IEEE	Serial							4498434	P	Journal	Power, Energy and Industry Applications; Components, Circuits, Devices and Systems	12		*														
"IEEE Transactions on Power Delivery"	0885-8977	1937-4208	1986	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=61		61		fulltext		IEEE	Serial							10669	P	Journal	Power, Energy and Industry Applications	4	*	*														
"IEEE Transactions on Power Electronics"	0885-8993	1941-0107	1986	PE-1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=63		63		fulltext		IEEE	Serial								P	Journal	Power, Energy and Industry Applications; Aerospace; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Fields, Waves and Electromagnetics; General Topics for Engineers; Nuclear Engineering; Signal Processing and Analysis; Transportation	12	*	*														
"IEEE Transactions on Power Systems"	0885-8950	1558-0679	1986	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=59		59		fulltext		IEEE	Serial							10669	P	Journal	Power, Energy and Industry Applications; Components, Circuits, Devices and Systems	4	*	*														
"IEEE Transactions on Product Engineering and Production"	0097-4544	1558-2450	1963	7	1	1965	9	1	https://ieeexplore.ieee.org/servlet/opac?punumber=8224		8224		fulltext		IEEE	Serial							8223,8222	P	Journal	Power, Energy and Industry Applications; Components, Circuits, Devices and Systems	1		*														
"IEEE Transactions on Professional Communication"	0361-1434	1558-1500	1972	PC-15	1				https://ieeexplore.ieee.org/servlet/opac?punumber=47		47		fulltext		IEEE	Serial							4322293	P	Journal	General Topics for Engineers; Engineering Profession	4	*	*								*	*	*				
"IEEE Transactions on Quantum Engineering"		2689-1808	2020	1					https://ieeexplore.ieee.org/servlet/opac?punumber=8924785		8924785		fulltext		IEEE	Serial								F	Journal	Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas	1	*	*						*								
"IEEE Transactions on Radiation and Plasma Medical Sciences"	2469-7311	2469-7303	2017	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7433213		7433213		fulltext		IEEE	Serial								P	Journal	Nuclear Engineering; Engineered Materials, Dielectrics and Plasmas; Bioengineering; Computing and Processing; Fields, Waves and Electromagnetics	6	*	*														
"IEEE Transactions on Radio Frequency Interference"	2168-1848	2168-1856	1963	5	1	1963	5	2	https://ieeexplore.ieee.org/servlet/opac?punumber=4607257		4607257		fulltext		IEEE	Serial							6507928	P	Journal	Fields, Waves and Electromagnetics; Aerospace; Transportation; Components, Circuits, Devices and Systems	2		*														
"IEEE Transactions on Rehabilitation Engineering"	1063-6528	1558-0024	1993	1	1	2000	8	4	https://ieeexplore.ieee.org/servlet/opac?punumber=86		86		fulltext		IEEE	Serial								P	Journal	Bioengineering; Signal Processing and Analysis; Robotics and Control Systems; Computing and Processing	4	*	*														
"IEEE Transactions on Reliability"	0018-9529	1558-1721	1963	R-12	1				https://ieeexplore.ieee.org/servlet/opac?punumber=24		24		fulltext		IEEE	Serial							5007123	P	Journal	Computing and Processing; General Topics for Engineers	4	*	*														
"IEEE Transactions on Robotics"	1552-3098	1941-0468	2004	20	4				https://ieeexplore.ieee.org/servlet/opac?punumber=8860		8860		fulltext		IEEE	Serial							70	P	Journal	Robotics and Control Systems; Computing and Processing; Components, Circuits, Devices and Systems	6	*	*														
"IEEE Transactions on Robotics and Automation"	1042-296X	2374-958X	1989	5	1	2004	20	3	https://ieeexplore.ieee.org/servlet/opac?punumber=70		70		fulltext		IEEE	Serial							56	P	Journal	Robotics and Control Systems	6	*	*														
"IEEE Transactions on Semiconductor Manufacturing"	0894-6507	1558-2345	1988	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=66		66		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas	4	*	*														
"IEEE Transactions on Semiconductor Technology Modeling and Simulation"			1996			1996			https://ieeexplore.ieee.org/servlet/opac?punumber=6414144		6414144		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems; Communication, Networking and Broadcast Technologies; Computing and Processing; Fields, Waves and Electromagnetics			*														
"IEEE Transactions on Services Computing"		1939-1374	2008	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=4629386		4629386		fulltext		IEEE	Serial								P	Journal	Computing and Processing; General Topics for Engineers	6	*	*							*							
"IEEE Transactions on Signal and Information Processing over Networks"		2373-776X	2015	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6884276		6884276		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Computing and Processing; Communication, Networking and Broadcast Technologies	4	*	*														
