publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	
Russian Academy of Sciences. Izvestiya Mathematics	1064-5632		1993-01-01	40	1	1995-06-30	45	3	http://iopscience.iop.org/1468-4810		1468-4810		fulltext		IOP Publishing	
Russian Academy of Sciences. Sbornik Mathematics	1064-5616		1993-07-01	75	1	1995-06-30	83	2	http://iopscience.iop.org/1468-4802		1468-4802		fulltext		IOP Publishing	
Russian Chemical Reviews	0036-021X	1468-4837	1960-01-01	29	1				http://iopscience.iop.org/0036-021X		0036-021X		fulltext		IOP Publishing	
Russian Mathematical Surveys	0036-0279	1468-4829	1960-01-01	15	1				http://iopscience.iop.org/0036-0279		0036-0279		fulltext		IOP Publishing	
Sbornik: Mathematics	1064-5616	1468-4802	1995-07-01	186	1				http://iopscience.iop.org/1064-5616		1064-5616		fulltext		IOP Publishing	
Science Foundation in China	1005-0841		1993-01-01	16	1				http://iopscience.iop.org/1005-0841		1005-0841		fulltext		IOP Publishing	
Science and Technology of Advanced Materials	1468-6996	1878-5514	2000-01-01	1	1				http://iopscience.iop.org/1468-6996		1468-6996		fulltext		IOP Publishing	
Semiconductor Science and Technology	0268-1242	1361-6641	1986-01-01	1	1				http://iopscience.iop.org/0268-1242		0268-1242		fulltext		IOP Publishing	
Smart Materials and Structures	0964-1726	1361-665X	1992-01-01	1	1				http://iopscience.iop.org/0964-1726		0964-1726		fulltext		IOP Publishing	
Soviet Journal of Quantum Electronics	0049-1748		1971-01-01	1	1	1992-12-31	22	12	http://iopscience.iop.org/0049-1748		0049-1748		fulltext		IOP Publishing	
Soviet Physics Uspekhi	0038-5670		1958-01-01	1	1	1992-12-31	35	12	http://iopscience.iop.org/0038-5670		0038-5670		fulltext		IOP Publishing	
Superconductor Science and Technology	0953-2048	1361-6668	1988-06-01	1	1				http://iopscience.iop.org/0953-2048		0953-2048		fulltext		IOP Publishing	
Surface Topography: Metrology and Properties		2051-672X	2013-03-31						http://iopscience.iop.org/2051-672X		2051-672X		fulltext		IOP Publishing	
The Astronomical Journal	0004-6256	1538-3881	1998-01-01	115	1				http://iopscience.iop.org/1538-3881		1538-3881		fulltext		IOP Publishing and American Astronomical Society	
The Astrophysical Journal	0004-637X	1538-4357	1996-11-01	471	1				http://iopscience.iop.org/0004-637X		0004-637X		fulltext		IOP Publishing and American Astronomical Society	
The Astrophysical Journal Letters	0004-637X	1538-4357	1995-07-01	447	1	2009-12-31	707	2	http://iopscience.iop.org/1538-4357		1538-4357		fulltext		IOP Publishing and American Astronomical Society	
The Astrophysical Journal Letters	2041-8205	2041-8213	2010-01-01	708	1				http://iopscience.iop.org/2041-8205		2041-8205		fulltext		IOP Publishing and American Astronomical Society	
The Astrophysical Journal Supplement Series	0067-0049	1538-4365	1996-12-01	107	1				http://iopscience.iop.org/0067-0049		0067-0049		fulltext		IOP Publishing and American Astronomical Society	
Transactions of the Optical Society	1475-4878		1899-01-01	1	1	1932-12-31	33	9	http://iopscience.iop.org/1475-4878		1475-4878		fulltext		IOP Publishing	
Waves in Random Media	0959-7174	1361-6676	1991-01-01			2004-12-31			http://iopscience.iop.org/0959-7174		0959-7174		fulltext		IOP Publishing	
