publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
Neotropical Primates	#1413-4703										nepr				
Northeastern Naturalist	1092-6194										nena				
Northwest Science	0029-344X										nwsc				
Northwestern Naturalist	1051-1733										nwnt				
Novon	1055-3177										novo				
Ornithological Science	1347-0558										jorn				
Pacific Science	1534-6188										pasc				
Palaios	0883-1351										palo				
Paleobiology	0094-8373										pbio				
Paleontological Research	1342-8144										jpal				
Palynology	0191-6122										paly				
Pan-Pacific Entomologist, The	0031-0603										panp				
Photochemistry and Photobiology	0031-8655										phot				
Politics and the Life Sciences	1471-5457										poli				
Primate Conservation	0898-6207										prco				
Proceedings of the Academy of Natural Sciences in Philadelphia	0097-3157										ansp				
Proceedings of the Biological Society of Washington	0006-324X										pbsw				
Proceedings of the Entomological Society of Washington	0013-8797										went				
Radiation Research	0033-7587										rare				
Rangeland Ecology & Management	1550-7424										rama				
Rangelands	0190-0528										rala				
Rhodora	0035-4902										rhod				
South African Journal of Wildlife Research	0379-4369										sawr				
South American Journal of Herpetology	1808-9798										sajh				
Southeastern Naturalist	1528-7092										sena				
Southwestern Entomologist	0147-1724										swen				
Southwestern Naturalist, The	0038-4909										swna				
Systematic Botany	0363-6445										sbot				
Transactions of the American Entomological Society	0002-8320										taes				
Transactions of the Kansas Academy of Science	0022-8443										tkas				
Tree-Ring Research	1536-1098										trre				
Turtle and Tortoise Newsletter	1526-3096										turt				
Ursus	1537-6176										ursu				
Waterbirds	1524-4695										cowa				
Weed Science	0043-1745										wees				
Weed Technology	0890-037X										wete				
Western North American Naturalist	1527-0904										wnan				
Wetland Science & Practice	0732-9393										wtbl				
Wetlands	0277-5212										wetl				
Wilderness and Environmental Medicine	1080-6032										weme				
Wildlife Biology	0909-6396										wbio				
Wildlife Monographs	0084-0173										wmon				
Wildlife Society Bulletin	0091-7648										wbul				
Wilson Journal of Ornithology, The	1559-4491										wils				
Zoological Science	0289-0003										jzoo				
Zoosystema	1280-9551										zoos				
