publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	mongraph_edition	first_editor	parent_publication_title_id	Preceding_publication_title_id	access_type	frequency
"Albany Law Journal of Science & Technology"	1059-4280		1991						http://heinonline.org/HOL/Index?index=journals/albnyst&collection=journals		albnyst		fulltext		"Albany Law School"	serial								P	3
"Albany Law Review"	0002-4678		1931						http://heinonline.org/HOL/Index?index=journals/albany&collection=journals		albany		fulltext		"Albany Law School "	serial								P	4
"Alberta Law Quarterly"			1934			1945			http://heinonline.org/HOL/Index?index=journals/alblq&collection=journals		alblq		fulltext		"Alberta Law Review Society"	serial								P	4
"Alberta Law Review"	0002-4821		1955			2015			http://heinonline.org/HOL/Index?index=journals/alblr&collection=journals		alblr	P3M	fulltext		"Alberta Law Review Society"	serial								P	4
Alei Mishpat 			1999	1					http://heinonline.org/HOL/Index?index=journals/aleimispt		aleimispt		fulltext		Ramat Gan Academic Law College	serial								P	1
Alternative Law Journal 	1037-969X		1993	17		2015	40 #1-3		http://heinonline.org/HOL/Index?index=journals/alterlj		alterlj	P6M	fulltext		Monash University. Faculty of Law	serial								P	4
"American Advocate of Peace"			1834			1836			http://heinonline.org/HOL/Index?index=journals/amadpe&collection=journals		amadpe		fulltext			serial								P	
"American Association of Law Libraries Newsletter"			1970			1996			http://heinonline.org/HOL/Index?index=aallar/aallnl&collection=journals		aallnl		fulltext			serial								P	
"American Association of Law Libraries President's Newsletter"			1954			1969			http://heinonline.org/HOL/Index?index=aallar/aallpnl&collection=journals		aallpnl		fulltext			serial								P	
"American Bankruptcy Institute Law Review"	1068-0861		1993						http://heinonline.org/HOL/Index?index=journals/abilr&collection=journals		abilr		fulltext		"St. John's University School of Law"	serial								P	2
American Bankruptcy Law Journal 	0027-9048		1971	45					http://heinonline.org/HOL/Index?index=journals/ambank		ambank		fulltext		National Conference of Bankruptcy Judges	serial								P	4
"American Bankruptcy Review: The Monthly Magazine for Lawyers, Bankers, and Business Men"			1924			1937			http://heinonline.org/HOL/Index?index=journals/ambreml&collection=journals		ambreml		fulltext			serial								P	
"American Bar Association National Institute: Uniform Relocation Assistance and Land Acquisition Policies Proceedings"									http://heinonline.org/HOL/Index?index=journals/unrelas&collection=journals		unrelas		fulltext			monograph								P	
"American Bar Association National Institutes: Condemnation, Compensation and the Courts: Proceedings"									http://heinonline.org/HOL/Index?index=journals/conmpct&collection=journals		conmpct		fulltext			monograph								P	
American Bar Association. Section of Public Utility Communications and Transportation Law. Annual Report  	0887-9281		1991			2009			http://heinonline.org/HOL/Index?index=journals/pubutili		pubutili		fulltext		American Bar Association	serial								P	1
American Bar Association. Section of Administrative Law. Annual Reports of Committees 			1964	1		1984	21		http://heinonline.org/HOL/Index?index=journals/abasala		abasala		fulltext		American Bar Association	serial								P	
Section of Commercial Law 			1939			1942			http://heinonline.org/HOL/Index?index=journals/abascor&collection=		abascor		fulltext		American Bar Association	serial								P	
"American Bar Association. Section of Criminal Law. Proceedings"			1955			1964			http://heinonline.org/HOL/Index?index=journals/pcrimjs&collection=journals		pcrimjs		fulltext		"American Bar Association"	serial								P	
"American Bar Association. Section of Criminal Law. Program and Committee Reports"			1932			1955			http://heinonline.org/HOL/Index?index=journals/abasecl&collection=journals		abasecl		fulltext		"American Bar Association"	serial								P	
"American Bar Association. Section of Family Law. Proceedings of the Section"			1964			1965			http://heinonline.org/HOL/Index?index=journals/abasfmsp&collection=journals		abasfmsp		fulltext		"American Bar Association"	serial								P	
"American Bar Association. Section of Family Law. Summary of Proceedings"			1959			1963			http://heinonline.org/HOL/Index?index=journals/abasfml&collection=journals		abasfml		fulltext		"American Bar Association"	serial								P	
"American Bar Association. Section of Insurance, Negligence and Compensation Law. Proceedings"			1933			1972			http://heinonline.org/HOL/Index?index=journals/abasineg&collection=journals		abasineg		fulltext		"American Bar Association"	serial								P	"1 issue per volume"
American Bar Association. Section of Intellectual Property Law. Annual Report 			1990			2006	2005-2006		http://heinonline.org/HOL/Index?index=journals/abaseiplar		abaseiplar	P1Y	fulltext		American Bar Association	serial								P	1
"American Bar Association. Section of International and Comparative Law. Proceedings"			1942			1965			http://heinonline.org/HOL/Index?index=journals/pabainc&collection=journals		pabainc		fulltext		"American Bar Association"	serial								P	
"American Bar Association. Section of Labor and Employment Law. Committee Reports"			1979			1980			http://heinonline.org/HOL/Index?index=journals/abalaemc&collection=journals		abalaemc		fulltext			serial								P	
American Bar Association. Section of Labor Relations Law. Committee Reports 			1949			1978	1978 v. 2 		http://heinonline.org/HOL/Index?index=journals/labolata		labolata		fulltext		American Bar Association	serial								P	
American Bar Association. Section of Local Government Law. Committee Reports 			1962			1974			http://heinonline.org/HOL/Index?index=journals/comreplgs		comreplgs		fulltext			serial								P	
"American Bar Association. Section of Mineral and Natural Resources Law. Proceedings"			1935			1967			http://heinonline.org/HOL/Index?index=journals/pabminn&collection=journals		pabminn		fulltext		"American Bar Association"	serial								P	
"American Bar Association. Section of Municipal Law. Summary of Proceedings of the First Annual Meeting"			1935	1	1	1935	1		http://heinonline.org/HOL/Index?index=journals/munilaw&collection=journals		munilaw		fulltext		"American Bar Association"	serial								P	
"American Bar Association. Section of Patent, Trademark and Copyright Law. Committee Reports"			1929			1990			http://heinonline.org/HOL/Index?index=journals/abasptccp&collection=journals		abasptccp		fulltext		"American Bar Association"	serial								P	
"American Bar Association. Section of Patent, Trademark and Copyright Law. Proceedings"			1935			1990			http://heinonline.org/HOL/Index?index=journals/abasptcpro&collection=journals		abasptcpro		fulltext		"American Bar Association"	serial								P	
"American Bar Association. Section of Real Property, Probate and Trust Law. Proceedings"			1938			1965			http://heinonline.org/HOL/Index?index=journals/abapptl&collection=journals		abapptl		fulltext		"American Bar Association"	serial								P	
"American Bar Association. Section of Taxation. Program and Committee Reports"			1940			1962			http://heinonline.org/HOL/Index?index=journals/abastpcr&collection=journals		abastpcr		fulltext		"American Bar Association"	serial								P	
American Bar Association. Municipal Law Section. Report of Committee on Condemnation and Condemnation Procedure 			1958			1961			http://heinonline.org/HOL/Index?index=journals/precondem		precondem		fulltext		American Bar Association	serial								P	
"American Bar News"			1956			1976			http://heinonline.org/HOL/Index?index=journals/ambrnw&collection=journals		ambrnw		fulltext			serial								P	
"American Civil Law Journal"			1873	1	1	1873	1		http://heinonline.org/HOL/Index?index=journals/amciv&collection=journals		amciv		fulltext			serial								P	
"American Colonial Tracts Monthly"			1897			1898			http://heinonline.org/HOL/Index?index=journals/aicanaltra&collection=journals		aicanaltra		fulltext			serial								P	
American Criminal Law Review 	0164-0364		1971	10					http://heinonline.org/HOL/Index?index=journals/amcrimlr		amcrimlr		fulltext		Georgetown University Law Center	serial								P	4
"American Historical Record, and Repertory of Notes and Queries"			1872			1874			http://heinonline.org/HOL/Index?index=journals/ahirecdyno&collection=journals		ahirecdyno		fulltext			serial								P	
"American Indian Journal"			1975			1987			http://heinonline.org/HOL/Index?index=journals/amindj&collection=journals		amindj		fulltext			serial								P	
"American Indian Law Newsletter"			1968			1990			http://heinonline.org/HOL/Index?index=journals/amindlne&collection=journals		amindlne		fulltext			serial								P	1
"American Indian Law Review"	0094-002X		1973						http://heinonline.org/HOL/Index?index=journals/aind&collection=journals		aind		fulltext		"University of Oklahoma College of Law"	serial								P	2
"American Journal of Comparative Law"	0002-919X		1952						http://heinonline.org/HOL/Index?index=journals/amcomp&collection=journals		amcomp		fulltext		"University of Michigan Law School"	serial								P	4
"American Journal of Comparative Law Supplement"	0002-919X		1977			2014			http://heinonline.org/HOL/Index?index=journals/amcomps&collection=journals		amcomps		fulltext		"University of Michigan Law School"	serial								P	varies
"American Journal of Criminal Law"	0092-2315		1972						http://heinonline.org/HOL/Index?index=journals/ajcl&collection=journals		ajcl		fulltext		"University of Texas School of Law"	serial								P	3
"American Journal of International Law"	0002-9300		1907			2013			http://heinonline.org/HOL/Index?index=journals/ajil&collection=journals		ajil	P2Y	fulltext		"American Society of International Law"	serial								P	4
"American Journal of International Law Special Supplement"			1915			1929			http://heinonline.org/HOL/Index?index=journals/ajilss&collection=journals		ajilss		fulltext			serial								P	4
"American Journal of International Law Supplement"			1907			1955			http://heinonline.org/HOL/Index?index=journals/ajils&collection=journals		ajils	P1Y	fulltext			serial								P	4
American Journal of Jurisprudence 	0065-8995		1969	14					http://heinonline.org/HOL/Index?index=journals/ajj		ajj		fulltext		University of Notre Dame Law School	serial								P	2
"American Journal of Law & Medicine"	0098-8588		1975			2015			http://heinonline.org/HOL/Index?index=journals/amlmed&collection=journals		amlmed	P3Y	fulltext		"SAGE Publishing"	serial								P	4
"American Journal of Legal History"	0002-9319		1957						http://heinonline.org/HOL/Index?index=journals/amhist&collection=journals		amhist		fulltext		"Oxford University Press"	serial								P	4
"American Journal of Mediation"			2007						http://heinonline.org/HOL/Index?index=journals/amjm&collection=journals		amjm		fulltext		"American College of Civil Trial Mediators"	serial								P	1
"American Journal of Medical Jurisprudence"			1938			1939			http://heinonline.org/HOL/Index?index=journals/ajmedi&collection=journals		ajmedi		fulltext			serial								P	
"American Journal of Police"			1981			1996			http://heinonline.org/HOL/Index?index=journals/ajpol&collection=journals		ajpol		fulltext		"Emerald Group Publishing"	serial								P	
"American Journal of Police Science"			1930			1932			http://heinonline.org/HOL/Index?index=journals/ajpl&collection=journals		ajpl		fulltext			serial								P	
"American Journal of Tax Policy"			1982			1998			http://heinonline.org/HOL/Index?index=journals/ajtp&collection=journals		ajtp		fulltext		"American College of Tax Counsel"	serial								P	2
"American Journal of Trial Advocacy"	0160-0281		1977						http://heinonline.org/HOL/Index?index=journals/amjtrad&collection=journals		amjtrad		fulltext		"Samford University, Cumberland School of Law "	serial								P	3
"American Judicature Society"			1914			1920			http://heinonline.org/HOL/Index?index=journals/ajudso&collection=journals		ajudso		fulltext			serial								P	
"American Jurist and Law Magazine"			1829			1843			http://heinonline.org/HOL/Index?index=journals/amjlm&collection=journals		amjlm		fulltext			serial								P	
"American Labor Legislation Review"			1911			1942			http://heinonline.org/HOL/Index?index=journals/alablegr&collection=journals		alablegr		fulltext			serial								P	
"American Law and Economics Review"	1465-7260				1				http://heinonline.org/HOL/Index?index=journals/aler&collection=journals		aler		fulltext	"Full text not available"	"Oxford University Press"	serial								P	2
"American Law and Lawyers"			1939			1947			http://heinonline.org/HOL/Index?index=journals/amlandl&collection=journals		amlandl		fulltext			serial								P	
American Law Journal 			1808	1		1817	6		http://heinonline.org/HOL/Index?index=journals/amlawj		amlawj		fulltext			serial								P	
Pennsylvania Law Journal 			1842	1		1848	7		http://heinonline.org/HOL/Index?index=journals/aricnljr		aricnljr		fulltext			serial								P	
"American Law Journal (Columbus)"			1884			1885			http://heinonline.org/HOL/Index?index=journals/amlj&collection=journals		amlj		fulltext			serial								P	
"American Law Magazine"			1843			1846			http://heinonline.org/HOL/Index?index=journals/amlm&collection=journals		amlm		fulltext			serial								P	
"American Law Record"			1872			1887			http://heinonline.org/HOL/Index?index=journals/amrnlre&collection=journals		amrnlre		fulltext			serial								P	
"American Law School Review"			1902			1947			http://heinonline.org/HOL/Index?index=journals/amerlsr&collection=journals		amerlsr		fulltext			serial								P	
"American Law Times"			1905	1	1	1906	1		http://heinonline.org/HOL/Index?index=journals/ameltim&collection=journals		ameltim		fulltext			serial								P	
American Law Times. Published in Connection with the American Law Times Reports (New Series) 			1868	1		1877	4		http://heinonline.org/HOL/Index?index=journals/amltoj		amltoj		fulltext			serial								P	
Law Times (U.S.) Courts Reports 			1868	1		1868	1		http://heinonline.org/HOL/Index?index=journals/arnlati		arnlati		fulltext			serial								P	
"American Lawyer"			1893			1908			http://heinonline.org/HOL/Index?index=journals/amlyr&collection=journals		amlyr		fulltext			serial								P	
"American Magazine, or, a Monthly View of the Political State of the British Colonies"									http://heinonline.org/HOL/Index?index=journals/ammag&collection=journals		ammag		fulltext			monograph								P	
"American Mariner"			1998			2000			http://heinonline.org/HOL/Index?index=journals/amermari&collection=journals		amermari		fulltext		"Loyola University New Orleans"	serial								P	2
American Municipal Law Review 			1942	7		1942	Supplement		http://heinonline.org/HOL/Index?index=journals/ammunlr		ammunlr		fulltext			serial								P	
"American Political Science Review"			1906			1935			http://heinonline.org/HOL/Index?index=journals/amepscir&collection=journals		amepscir		fulltext		"The American Political Science Association"	serial								P	varies
"American Political Thought"	2161-1580		2012	1	1	2012	1		http://heinonline.org/HOL/Index?index=journals/ampolth&collection=journals		ampolth	P3Y	fulltext		"University of Chicago Press"	serial								P	4
"American Register, or, General Repository of History, Politics, and Science"			1807			1810			http://heinonline.org/HOL/Index?index=cow/amreggep&collection=journals	Brown	amreggep		fulltext			serial	1806							P	
"American Society of International Law Proceedings"	0272-5037		1907			2014			http://heinonline.org/HOL/Index?index=journals/asilp&collection=journals		asilp	P2Y	fulltext		"American Society of International Law"	serial								P	1
"American Taxpayers' Quarterly"			1931	1	1	1931	1		http://heinonline.org/HOL/Index?index=journals/amtaxqt&collection=journals		amtaxqt		fulltext			serial								P	
"American Themis: A Journal of Jurisprudence and Judicature"			1844	1	1	1844	1		http://heinonline.org/HOL/Index?index=journals/athijud&collection=journals		athijud		fulltext			serial								P	
"American University Business Law Review"	2168-6890		2011						http://heinonline.org/HOL/Index?index=journals/aubulrw&collection=journals		aubulrw		fulltext		"American University, Washington College of Law"	serial								P	3
American University International Law Review 	1520-460X		1998	13					http://heinonline.org/HOL/Index?index=journals/amuilr		amuilr		fulltext		American University (Washington College of Law)	serial								P	5
American University Journal of Gender Social Policy & the Law 	1557-3753		1999	7					http://heinonline.org/HOL/Index?index=journals/ajgsp		ajgsp		fulltext		American University (Washington Colllege of Law)	serial								P	4
"American University Labor & Employment Law Forum"	2159-0400		2011						http://heinonline.org/HOL/Index?index=journals/auniverl&collection=journals		auniverl		fulltext		"American University Washington College of Law"	serial								P	3
American University Law Review 	0003-1454		1957	6					http://heinonline.org/HOL/Index?index=journals/aulr		aulr		fulltext		American University (Washington College of Law)	serial								P	6
Amicus			1975			1980			http://heinonline.org/HOL/Index?index=journals/amicu&collection=journals		amicu		fulltext			serial								P	
"Amicus Curiae"			1955			1959			http://heinonline.org/HOL/Index?index=journals/amicura&collection=journals		amicura		fulltext			serial								P	
"Amsterdam Law Forum"	1876-8156		2008						http://heinonline.org/HOL/Index?index=journals/amslawf&collection=journals		amslawf		fulltext		"VU University Amsterdam"	serial								P	4
"Analele Universitatii din Bucuresti: Seria Drept"	1011-0623		2009						http://heinonline.org/HOL/Index?index=journals/aubdrpt&collection=journals		aubdrpt		fulltext		"C.H. Beck Publishing House"	serial								P	1
"Anales del Foro Mexicano"			1864			1866			http://heinonline.org/HOL/Index?index=journals/alfmex&collection=journals		alfmex		fulltext			serial								P	
"Anglo-German Law Journal"			2015	1	1				http://heinonline.org/HOL/Index?index=journals/aglj&collection=journals		aglj		fulltext		"Anglo-German Law Society"	serial								P	1
"Animal Law"	1088-8802		1995						http://heinonline.org/HOL/Index?index=journals/anim&collection=journals		anim		fulltext		"Northwestern School of Law, Lewis & Clark College"	serial								P	2
"Animal Law Committee Newsletter"			2012			2014			http://heinonline.org/HOL/Index?index=journals/anilawcn&collection=journals		anilawcn	P1Y	fulltext		"American Bar Association"	serial								P	2
Animal Law Report 			1984	5		1995	6		http://heinonline.org/HOL/Index?index=journals/anilare		anilare		fulltext			serial								P	
"Ankara Bar Review"			2008						http://heinonline.org/HOL/Index?index=journals/ankar&collection=journals		ankar		fulltext		"Ankara Bar Association"	serial								P	2
"Ankara Law Review"	1305-0575		2004						http://heinonline.org/HOL/Index?index=external-journals/ankaralr&collection=journals		ankaralr		fulltext		"Ankara University Faculty of Law"	serial								P	2
Annales de Droit Commercial Francais Eranger et International 			1887	1		1896	10		http://heinonline.org/HOL/Index?index=journals/adcinfet		adcinfet		fulltext			serial								P	
"Annales Universitatis Scientiarum Budapestinensis de Rolando Eotvos Nominatae: Sectio Iuridica"	0524-899X		1959						http://heinonline.org/HOL/Index?index=journals/ausbud&collection=journals		ausbud		fulltext		"Eotvos Lorand University"	serial								P	1
"Annals of Health Law"	1075-2994		1992						http://heinonline.org/HOL/Index?index=journals/anohl&collection=journals		anohl		fulltext		"Loyola University Chicago School of Law"	serial								P	2
"Annals of the Constantin Brancusi University of Targu Jiu Juridical Sciences Series"	1844-7015		2007						http://heinonline.org/HOL/Index?index=journals/jurdscien&collection=journals		jurdscien		fulltext		"Academica Brancisu Press of Constantin Brucusi University of Targu-Jiu"	serial								P	4
Annals of the Faculty of Law in Belgrade 			2006						http://heinonline.org/HOL/Index?index=journals/annabel		annabel		fulltext		University of Belgrade Faculty of Law	serial								P	1
"Annotated Legal Forms Magazine"			1927			1930			http://heinonline.org/HOL/Index?index=journals/anlefom&collection=journals		anlefom		fulltext			serial								P	
"Annual Bulletin"			1908			1914			http://heinonline.org/HOL/Index?index=journals/anbul&collection=journals		anbul		fulltext			serial								P	
Annual Institute on Mineral Law 	0273-5253		1956	4		2010	57		http://heinonline.org/HOL/Index?index=journals/mineral		mineral	P1Y	fulltext		Louisiana Mineral Law Institute	serial								P	
"Annual Law Register of the United States"			1822			1822			http://heinonline.org/HOL/Index?index=journals/anualwre&collection=journals		anualwre		fulltext			serial								P	
"Annual Report of the American Bar Association"			1878	135	1	2010	135		http://heinonline.org/HOL/Index?index=journals/anraba&collection=journals		anraba	P1Y	fulltext		"American Bar Association"	serial								P	2
Annual Review of Criminal Procedure 			1971			2014	43rd		http://heinonline.org/HOL/Index?index=journals/anrvcpr		anrvcpr	P1Y	fulltext		Georgetown University Law Center	serial								P	1
"Annual Review of Population Law"			1974			1980			http://heinonline.org/HOL/Index?index=journals/anpop&collection=journals		anpop		fulltext		"Harvard Law School"	serial								P	1
"Annual Statistical Supplement to the Social Security Bulletin"	1937-4666		1950						http://heinonline.org/HOL/Index?index=journals/ssbuls&collection=journals		ssbuls		fulltext		"Social Security Administration"	serial								P	1
"Annual Survey of American Law Supplement"			1978			1995			http://heinonline.org/HOL/Index?index=journals/annams&collection=journals		annams		fulltext		"New York University School of Law"	serial								P	4
"Annual Survey of English Law"			1928			1940			http://heinonline.org/HOL/Index?index=journals/ansureng&collection=journals		ansureng		fulltext			serial								P	
"Annual Survey of International & Comparative Law"	1932-2364		1994						http://heinonline.org/HOL/Index?index=journals/ansurintcl&collection=journals		ansurintcl		fulltext		"Golden Gate University School of Law"	serial								P	1
"Annual Survey of Massachusetts Law"			1953			1986			http://heinonline.org/HOL/Index?index=journals/ansmass&collection=journals		ansmass		fulltext		"Boston College Law School"	serial								P	
"Annual Survey of South African Law"	0376-4605		1947			2012			http://heinonline.org/HOL/Index?index=journals/assafl&collection=journals		assafl	P2Y	fulltext		"Juta & Company, Ltd."	serial								P	1
"Annual Tax Conference"			1955	1	1				http://heinonline.org/HOL/Index?index=journals/antcwilm&collection=journals		antcwilm		fulltext		"William & Mary Law School"	serial								P	1
"Anti-Jacobin, or Weekly Examiner"			1799			1799			http://heinonline.org/HOL/Index?index=journals/anjacowe&collection=journals		anjacowe		fulltext			serial								P	
"Antioch Law Journal"			1981			1986			http://heinonline.org/HOL/Index?index=journals/antioch&collection=journals		antioch		fulltext			serial								P	1
