publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	mongraph_edition	first_editor	parent_publication_title_id	Preceding_publication_title_id	access_type	frequency
"Election Cases in 1892 and 1893; Being a Collection of the Points of Law and Practice Arising out of the Parliamentary Election Petitions in Those Years, Together with Reports of the Judgments"									http://heinonline.org/HOL/Index?index=elrpre/elcabco&collection=engrep	Day	elcabco		fulltext			monograph	1894							P	
"English Reports: Chancery"									http://heinonline.org/HOL/Index?index=engrep/engc&collection=engrep		engc		fulltext			monograph								P	
"English Reports: Common Pleas"									http://heinonline.org/HOL/Index?index=engrep/engg&collection=engrep		engg		fulltext			monograph								P	
"English Reports: Crown Cases"									http://heinonline.org/HOL/Index?index=engrep/engj&collection=engrep		engj		fulltext			monograph								P	
"English Reports: Ecclesiastical, Admiralty, and Probate and Divorce"									http://heinonline.org/HOL/Index?index=engrep/engi&collection=engrep		engi		fulltext			monograph								P	
"English Reports: Exchequer"									http://heinonline.org/HOL/Index?index=engrep/engh&collection=engrep		engh		fulltext			monograph								P	
"English Reports: House of Lords"									http://heinonline.org/HOL/Index?index=engrep/enga&collection=engrep		enga		fulltext			monograph								P	
"English Reports in Law and Equity: Containing Reports of Cases in the House of Lords, Privy Council, Courts of Equity and Common Law"			1850			1858			http://heinonline.org/HOL/Index?index=cases/engrleq&collection=engrep		engrleq		fulltext			serial	1850				Bennett			P	
"English Reports: Index Chart"									http://heinonline.org/HOL/Index?index=engrep/engm&collection=engrep		engm		fulltext			monograph								P	
"English Reports: Index of Cases"									http://heinonline.org/HOL/Index?index=engrep/engl&collection=engrep		engl		fulltext			monograph								P	
"English Reports: King's Bench"									http://heinonline.org/HOL/Index?index=engrep/engf&collection=engrep		engf		fulltext			monograph								P	
"English Reports: Nisi Prius"									http://heinonline.org/HOL/Index?index=engrep/engk&collection=engrep		engk		fulltext			monograph								P	
"English Reports: Privy Council"									http://heinonline.org/HOL/Index?index=engrep/engb&collection=engrep		engb		fulltext			monograph								P	
"English Reports: Rolls Court"									http://heinonline.org/HOL/Index?index=engrep/engd&collection=engrep		engd		fulltext			monograph								P	
"English Reports: Vice-Chancellors' Courts"									http://heinonline.org/HOL/Index?index=engrep/enge&collection=engrep		enge		fulltext			monograph								P	
"Equity Reports, 1853 [-1855]: Reports of Cases Argued and Determined in the Court of Chancery"									http://heinonline.org/HOL/Index?index=elrpre/eqrepcc&collection=engrep		eqrepcc		fulltext			monograph	1854				French			P	
"General View of the Decisions of Lord Mansfield in Civil Causes"									http://heinonline.org/HOL/Index?index=elrpre/gvdlmcc&collection=engrep	Evans	gvdlmcc		fulltext			monograph	1803							P	
"Handbook of English Law Reports, from the Last Quarter of the Eighteenth Century to the Year 1865 with Biographical Notes of Judges and Reporters"									http://heinonline.org/HOL/Index?index=selden/hkehl&collection=engrep	Fox	hkehl		fulltext			monograph	1913							P	
"History of the Cases of Controverted Elections, Which Were Tried and Determined during the First and Second Sessions of the Fourteenth Parliament of Great Britain, 15 & 16 Geo. III (2nd ed., corr.)"									http://heinonline.org/HOL/Index?index=elrpre/hcaelww&collection=engrep	Glenbervie	hcaelww		fulltext			monograph	1802			"2nd ed., corr."				P	
"Judgements Delivered by the Lord Chief Justice Holt in the Case of Ashby v. White and Others: And in the Case of John Paty and Others"									http://heinonline.org/HOL/Index?index=trials/acjw&collection=engrep	"Great Britain"	acjw		fulltext			monograph	1837							P	
"Law of Contraband of War"									http://heinonline.org/HOL/Index?index=elrpre/contrawar&collection=engrep	Pratt	contrawar		fulltext			monograph	1856							P	
"Law Reports of Patent Cases"									http://heinonline.org/HOL/Index?index=elrpre/lrepcase&collection=engrep	Carpmael	lrepcase		fulltext			monograph	1843							P	
"Law Times Reports: Containing All the Cases Argued and Determined in the House of Lords"			1859			1947			http://heinonline.org/HOL/Index?index=selden/lwtrpt&collection=engrep		lwtrpt		fulltext			serial	1859							P	
"Mercantile Cases: Reports of Cases Relating to Commerce, Manufactures, &c. &c. Determined in the Courts of Common Law, at Nisi Prius and in Banc, in 1828-1829"									http://heinonline.org/HOL/Index?index=elrpre/mercamd&collection=engrep	Danson	mercamd		fulltext			monograph	1830							P	
"Mercantile Cases. Reports of Cases Relating to Commerce, Manufactures, &c., Determined in the Courts of Common Law"									http://heinonline.org/HOL/Index?index=elrpre/mercece&collection=engrep	Lloyd	mercece		fulltext			monograph	1842							P	
"Monthly Reports of Cases Decided in the Court of Probate, and in the Court for Divorce and Matrimonial Causes, Commencing Michaelmas Term, 1859"									http://heinonline.org/HOL/Index?index=elrpre/moredbat&collection=engrep	Searle	moredbat		fulltext			monograph	1860							P	
"New Practice Cases, together with Cases in Evidence, Stamps, and the Law of Attorneys and Solicitors"									http://heinonline.org/HOL/Index?index=elrpre/newpctwc&collection=engrep		newpctwc		fulltext			monograph	1847				Bittleston			P	
"New Reports, Containing Cases Decided in the Courts of Equity and Common Law"									http://heinonline.org/HOL/Index?index=eislr/newrdec&collection=engrep		newrdec		fulltext			monograph					Morgan			P	
"New Sessions Cases: Containing Reports of Cases Relating to the Duties and Liabilities of Magistrates; Determined in the Superior Courts at Westminster"									http://heinonline.org/HOL/Index?index=elrpre/newcsre&collection=engrep	Carrow	newcsre		fulltext			monograph	1845							P	
"Notes of Cases in the Ecclesiastical & Maritime Courts"									http://heinonline.org/HOL/Index?index=elrpre/notecite&collection=engrep		notecite		fulltext			monograph	1843				Thornton			P	
"Notes of Points of Practice Ruled in the Exchequer of Pleas, and the Cases at Law and in Revenue Argued and Determined in the Court of Exchequer and the Courts of Error and Appeal"									http://heinonline.org/HOL/Index?index=elrpre/nopprexp&collection=engrep	Price	nopprexp		fulltext			monograph	1832							P	
"Notes of Proceedings in Courts of Revision, Held in Oct. and Nov. 1832, before James Manning, Esq. Revising Barrister"									http://heinonline.org/HOL/Index?index=elrpre/pcrwmb&collection=engrep	Manning	pcrwmb		fulltext			monograph	1833							P	
"Parliamentary Cases Relating to Railways, &c., Determined by the Select Committees of the Houses of Parliament in the Session 1846"									http://heinonline.org/HOL/Index?index=elrpre/parcrrd&collection=engrep	Beavan	parcrrd		fulltext			monograph	1847							P	
"Patent Cases Decided by the Comptroller-General and Law Officers of the Crown in 1887"									http://heinonline.org/HOL/Index?index=elrpre/patcdcg&collection=engrep		patcdcg		fulltext			monograph	1888				Griffin			P	
"Placita Anglo-Normannica: Law Cases from William I to Richard I Preserved in Historical Records"									http://heinonline.org/HOL/Index?index=elrpre/placanorm&collection=engrep	Bigelow	placanorm		fulltext			monograph	1879							P	
"Placita Parliamentaria"									http://heinonline.org/HOL/Index?index=elrpre/placitparl&collection=engrep	Ryley	placitparl		fulltext			monograph	1661							P	
"Principal Ecclesiastical Judgments Delivered in the Court of Arches 1867 to 1875"									http://heinonline.org/HOL/Index?index=beal/pecjd&collection=engrep	Phillimore	pecjd		fulltext			monograph	1876							P	
"Principal Judgments Delivered in the Consistory Courts of London, Hereford, Ripon, and Wakefield, and in the Commissary Court of Canterbury, 1872 to 1890"									http://heinonline.org/HOL/Index?index=elrpre/prinjuddel&collection=engrep	Tristam	prinjuddel		fulltext			monograph	1893							P	
"Registration Appeal Cases"									http://heinonline.org/HOL/Index?index=elrpre/reapces&collection=engrep	Cox	reapces		fulltext			monograph	1844							P	
"Registration Cases. Reports of Cases Argued and Determined in the Court of Common Pleas, on Appeal from the Decisions of the Revising Barristers"									http://heinonline.org/HOL/Index?index=elrpre/recasrep&collection=engrep	Hopwood	recasrep		fulltext			monograph	1873							P	
"Registration Cases: Reports of Cases Argued and Determined in the Court of Common Pleas, on Appeal from the Decisions of the Revising Barristers, from Michaelmas Term, 1854, to Michaelmas Term, 1862"									http://heinonline.org/HOL/Index?index=elrpre/rcrcdcc&collection=engrep	Keane	rcrcdcc		fulltext			monograph	1863							P	
"Registration Cases. Reports of Cases Argued and Determined in the Court of Common Pleas, on Appeal from the Decisions of the Revising Barristers, from Michaelmas Term, 1863, to Michaelmas Term, 1867"									http://heinonline.org/HOL/Index?index=elrpre/regiscrca&collection=engrep	Hopwood	regiscrca		fulltext			monograph	1868							P	
"Registration Cases. Reports of Cases Argued and Determined on Appeal from the Decisions of the Revising Barristers in the Queen's Bench Division of the High Court of Justice, and on Appeal Therefrom in the Court of Appeal"									http://heinonline.org/HOL/Index?index=elrpre/regcqu&collection=engrep	Fox	regcqu		fulltext			monograph	1895							P	
"Registration Cases: Reports of Cases Determined on Appeal from the Decisions of the Revising Barristers in the Common Pleas and Queen's Bench Divisions of the High Court of Justice, and on Appeal therefrom in the Court of Appeal"									http://heinonline.org/HOL/Index?index=elrpre/regcasa&collection=engrep	Coltman	regcasa		fulltext			monograph	1886							P	
"Report of the Two Cases of Controverted Elections of the Borough of Southwark"									http://heinonline.org/HOL/Index?index=elrpre/rtwoelbs&collection=engrep	Clifford	rtwoelbs		fulltext			monograph	1802							P	
"Reports and Notes of Cases on Letters Patent for Inventions"									http://heinonline.org/HOL/Index?index=elrpre/ranocolp&collection=engrep	Webster	ranocolp		fulltext			monograph	1844							P	
"Reports and Pleas of Assises at Yorke: Held before Severall Judges in That Circuit"									http://heinonline.org/HOL/Index?index=beal/repleasy&collection=engrep	Clayton	repleasy		fulltext			monograph	[1651]							P	
"Reports in Chambers, Queen's Bench Division, from October, 1883, to April, 1884"									http://heinonline.org/HOL/Index?index=elrpre/rechqbe&collection=engrep	Bittleston	rechqbe		fulltext			monograph	1884							P	
"Reports of Actions Tried in the Queen's Bench Division of the High Court of Justice, from Michaelmas Sittings, 1882, to the End of Trinity Sittings, 1885"									http://heinonline.org/HOL/Index?index=elrpre/ratquej&collection=engrep	Cababe	ratquej		fulltext			monograph	1885							P	
"Reports of Cases Adjudicated in the Several Courts of the Commissioners in Bankruptcy under the Bankrupt Law Consolidation Act, 1849"									http://heinonline.org/HOL/Index?index=elrpre/repcaccb&collection=engrep	Fonblanque	repcaccb		fulltext			monograph	1851							P	
"Reports of Cases Argued and Adjudged in the Court of King's Bench in the Latter Part of the Reign of George the Second"									http://heinonline.org/HOL/Index?index=elrpre/rcardcki&collection=engrep	Dunning	rcardcki		fulltext			monograph	1885							P	
"Reports of Cases Argued and Determined in the Bail Court and the Practice Cases in All the Courts of Common Law"									http://heinonline.org/HOL/Index?index=elrpre/recabail&collection=engrep	Wollaston	recabail		fulltext			monograph	1842							P	
"Reports of Cases Argued and Determined in the Court of Common Pleas"									http://heinonline.org/HOL/Index?index=elrpre/repcadccp&collection=engrep	Hodges	repcadccp		fulltext			monograph	1836							P	
"Reports of Cases Argued and Determined in the Court of Common Pleas, and upon Writs of Error from That Court to the Exchequer Chamber, with a Table of the Names of Cases and a Digest of the Principal Matters"									http://heinonline.org/HOL/Index?index=elrpre/recapleu&collection=engrep	Arnold	recapleu		fulltext			monograph	1840							P	
"Reports of Cases Argued and Determined in the Court of Common Pleas, on Appeal from the Decisions of the Revising Barristers"									http://heinonline.org/HOL/Index?index=elrpre/rcargdcc&collection=engrep	Lutwyche	rcargdcc		fulltext			monograph	1847							P	
"Reports of Cases Argued and Determined in the Court of Common Pleas, with Tables of the Names of the Cases and Principal Matters"									http://heinonline.org/HOL/Index?index=elrpre/rcopleat&collection=engrep	Marshall	rcopleat		fulltext			monograph	1815							P	
"Reports of Cases Argued and Determined in the Court of Exchequer, and upon Writs of Error from that Court to the Exchequer Chamber"									http://heinonline.org/HOL/Index?index=elrpre/rcaexec&collection=engrep	Horn	rcaexec		fulltext			monograph	1840							P	
"Reports of Cases Argued and Determined in the Court of Exchequer, with a Table of the Names of Cases and a Digest of the Principal Matters"									http://heinonline.org/HOL/Index?index=elrpre/rtsguex&collection=engrep	Gale	rtsguex		fulltext			monograph	1836							P	
"Reports of Cases Argued and Determined in the Court of King's Bench"									http://heinonline.org/HOL/Index?index=elrpre/radkibh&collection=engrep	Manning	radkibh		fulltext			monograph	1828							P	
"Reports of Cases Argued and Determined in the Court of King's Bench"									http://heinonline.org/HOL/Index?index=elrpre/rcargdkib&collection=engrep	Nevile	rcargdkib		fulltext			monograph	1834							P	
"Reports of Cases Argued and Determined in the Court of King's Bench, and in the Bail Court, with Table of the Names of Cases and Digest of the Principal Matters"									http://heinonline.org/HOL/Index?index=elrpre/rargkibe&collection=engrep	Harrison	rargkibe		fulltext			monograph	1836							P	
"Reports of Cases Argued and Determined in the Court of King's Bench, and upon Writs of Error from That Court to the Exchequer Chamber, and in the Bail Court"									http://heinonline.org/HOL/Index?index=elrpre/rrtsdbuer&collection=engrep	Willmore	rrtsdbuer		fulltext			monograph	1839							P	
"Reports of Cases Argued and Determined in the Court of King's Bench, and upon Writs of Error from That Court to the Exchequer Chamber, in Michaelmas Term, 1836, and [Hilary, Easter and Trinity Terms, 1838]"									http://heinonline.org/HOL/Index?index=elrpre/radbent&collection=engrep	Nevile	radbent		fulltext			monograph	1837							P	
"Reports of Cases Argued and Determined in the Court of King's Bench, during Hilary, Easter and Trinity Terms, in the Second and Third Geo. IV. [to Trinity Term, 1827]"									http://heinonline.org/HOL/Index?index=elrpre/rcabendh&collection=engrep	Dowling	rcabendh		fulltext			monograph	1822							P	
"Reports of Cases Argued and Determined in the Court of King's Bench, Together with Some Cases, in the High Court of Chancery, in Michaelmas, Hilary, Easter, and Trinity Terms, Being the Whole of the Forty-Fourth [Sixth] Year of the Reign of George III (2nd ed., corr.)"									http://heinonline.org/HOL/Index?index=elrpre/recakibe&collection=engrep	Smith	recakibe		fulltext			monograph	1806			"2nd ed., corr."				P	
"Reports of Cases Argued and Determined in the Court of Queen's Bench, and upon Writs of Error from That Court to the Exchequer Chamber and in the Bail Court"									http://heinonline.org/HOL/Index?index=elrpre/rocaaditcq&collection=engrep	Willmore	rocaaditcq		fulltext			monograph	1840							P	
"Reports of Cases Argued and Determined in the Court of Queen's Bench, and upon Writs of Error from That Court to the Exchequer Chamber, in Easter, Trinity, and Michaelmas Terms, 1841 [and East. Terms, 1843]"									http://heinonline.org/HOL/Index?index=elrpre/rcargbiq&collection=engrep	Gale	rcargbiq		fulltext			monograph	1842							P	
"Reports of Cases Argued and Determined in the Court of Queen's Bench, and upon Writs of Error from That Court to the Exchequer Chamber, in Michaelmas and Hilary Terms, in the Second Year of Victoria [to Hilary Term, 1841]"									http://heinonline.org/HOL/Index?index=elrpre/rcarqen&collection=engrep	Perry	rcarqen		fulltext			monograph	1839							P	
"Reports of Cases Argued and Determined in the Court of Queen's Bench, and upon Writs of Error from that Court to the Exchequer Chamber, in Trinity and Michaelmas Terms, 1843, and Hilary and Easter Terms, 1844"									http://heinonline.org/HOL/Index?index=elrpre/rcadbew&collection=engrep	Davison	rcadbew		fulltext			monograph	1844							P	
"Reports of Cases Argued and Determined in the Court of the Exchequer, with a Table of the Names of Cases and a Digest of the Principal Matters"									http://heinonline.org/HOL/Index?index=elrpre/rcargtan&collection=engrep	Murphy	rcargtan		fulltext			monograph	1838							P	
"Reports of Cases Argued and Determined in the Courts of Common Pleas and Exchequer Chamber, with Tables of the Names of the Cases and Principal Matters"									http://heinonline.org/HOL/Index?index=elrpre/rcexchtn&collection=engrep	Moore	rcexchtn		fulltext			monograph	1828							P	
"Reports of Cases Argued and Determined in the Courts of Common Pleas and Exchequer Chamber, with Tables of the Names of the Cases and the Principal Matters"									http://heinonline.org/HOL/Index?index=elrpre/rcaplech&collection=engrep	Moore	rcaplech		fulltext			monograph	1818							P	
"Reports of Cases Argued and Determined in the Courts of Exchequer and Exchequer Chamber"									http://heinonline.org/HOL/Index?index=elrpre/reguexche&collection=engrep	Tyrwhitt	reguexche		fulltext			monograph	1832							P	
"Reports of Cases Argued and Determined in the Courts of Exchequer and Exchequer Chamber"									http://heinonline.org/HOL/Index?index=elrpre/recquech&collection=engrep	Tyrwhitt	recquech		fulltext			monograph	1837							P	
"Reports of Cases Argued and Determined in the Ecclesiastical Courts at Doctors' Commons"									http://heinonline.org/HOL/Index?index=elrpre/radrcom&collection=engrep	Robertson	radrcom		fulltext			monograph	1850							P	
"Reports of Cases Argued and Determined in the King's [Queen's] Bench of Practice Court; with the Points of Practice Decided in the Courts of Common Pleas and Exchequer, from Mich. Term, 1830, to [Michaelmas Term, 1841]"									http://heinonline.org/HOL/Index?index=elrpre/rbeprcod&collection=engrep	Dowling	rbeprcod		fulltext			monograph	1833							P	
"Reports of Cases Argued and Determined in the Queen's Bench Practice Court; with Points of Practice and Pleading Decided in the Courts of Common Pleas and Exchequer; from Hilary Term, 1850, to [Michaelmas Term, 1851]"									http://heinonline.org/HOL/Index?index=elrpre/repcasqu&collection=engrep	Lowndes	repcasqu		fulltext			monograph	1851							P	
"Reports of Cases Argued and Determined in the Queen's Bench Practice Court; with the Points of Pleading and Practice Decided in the Courts of Common Pleas and Exchequer; from Easter Term, 1843, to [Michaelmas Term, 1849]"									http://heinonline.org/HOL/Index?index=elrpre/rcaplex&collection=engrep	Dowling	rcaplex		fulltext			monograph	1845							P	
"Reports of Cases Argued and Determined in the Queen's Bench Practice Court; with the Points of Pleading and Practice Decided in the Courts of Common Pleas and Exchequer; from Trinity Term, 1841, to Easter Term, 1843"									http://heinonline.org/HOL/Index?index=elrpre/rcaquebp&collection=engrep	Dowling	rcaquebp		fulltext			monograph	1843							P	
"Reports of Cases Decided by Francis Bacon, Baron Verulam, Viscount St. Albans, Lord Chancellor of England, in the High Court of Chancery (1617-1621)"									http://heinonline.org/HOL/Index?index=eislr/rcdbac&collection=engrep	Bacon	rcdbac		fulltext			monograph								P	
"Reports of Cases Decided by the Lord Chancellor and Vice-Chancellor"									http://heinonline.org/HOL/Index?index=elrpre/rcdelcha&collection=engrep	Montagu	rcdelcha		fulltext			monograph	1830							P	
"Reports of Cases Decided in the Court of Common Pleas on Appeal from the Decisions of the Revising Barristers"									http://heinonline.org/HOL/Index?index=elrpre/apfobar&collection=engrep	Pigott	apfobar		fulltext			monograph	1846							P	
"Reports of Cases Determined in the Court of Common Pleas in Michaelmas, Hilary and Easter Terms, 3rd and 4th Victoria, 1840-41"									http://heinonline.org/HOL/Index?index=elrpre/resdmic&collection=engrep	Drinkwater	resdmic		fulltext			monograph	1841							P	
"Reports of Cases Determined in the Court of Exchequer in Michaelmas Term, Fourth Victoria, 1840, to [Hilary Term, Fourth Victoria, 1841]"									http://heinonline.org/HOL/Index?index=elrpre/rcdeexch&collection=engrep	Hurlstone	rcdeexch		fulltext			monograph	1840							P	
