	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_issue_online	num_first_vol_online	date_last_issue_online	num_last_issue_online	num_last_vol_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	title_availability
24	The Agrarian Dispute: The Expropriation of American-Owned Rural Land in Postrevolutionary Mexico	9780822343097.0	9780822388944.0							http://doi.org/10.1215/9780822388944	Dwyer, John			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
25	The Return of the Native: Indians and Myth-Making in Spanish America, 1810&ndash;1930	9780822340843.0	9780822388784.0							http://doi.org/10.1215/9780822388784	Earle, Rebecca			fulltext		Duke University Press	Monograph	2007.0	2008.0						P	Available
26	Antinomies of Art and Culture: Modernity, Postmodernity, Contemporaneity	9780822342038.0	9780822389330.0							http://doi.org/10.1215/9780822389330	Enwezor, Okwui			fulltext		Duke University Press	Monograph	2009.0	2008.0						P	Available
27	Ruling Oneself Out: A Theory of Collective Abdications	9780822341642.0	9780822388722.0							http://doi.org/10.1215/9780822388722	Ermakoff, Ivan			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
28	Territories of Difference: Place, Movements, Life, Redes	9780822343448.0	9780822389439.0							http://doi.org/10.1215/9780822389439	Escobar, Arturo			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
29	Mexican American Religions: Spirituality, Activism, and Culture	9780822341192.0	9780822388951.0							http://doi.org/10.1215/9780822388951	Espinosa, Gastón			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
30	The Assassination of Theo van Gogh: From Social Drama to Cultural Trauma	9780822344063.0	9780822391449.0							http://doi.org/10.1215/9780822391449	Eyerman, Ron			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
31	On Reason: Rationality in a World of Cultural Conflict and Racism	9780822341956.0	9780822388777.0							http://doi.org/10.1215/9780822388777	Eze, Emmanuel			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
32	Ethnography as Commentary: Writing from the Virtual Archive	9780822342830.0	9780822381204.0							http://doi.org/10.1215/9780822381204	Fabian, Johannes			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
33	Governing Gaza: Bureaucracy, Authority, and the Work of Rule, 1917&ndash;1967	9780822342403.0	9780822389132.0							http://doi.org/10.1215/9780822389132	Feldman, Ilana			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
34	Abalone Tales: Collaborative Explorations of Sovereignty and Identity in Native California	9780822342335.0	9780822391159.0							http://doi.org/10.1215/9780822391159	Field, Les			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
35	Living with Bad Surroundings: War, History, and Everyday Moments in Northern Uganda	9780822341918.0	9780822388791.0							http://doi.org/10.1215/9780822388791	Finnström, Sverker			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
36	Breadwinners and Citizens: Gender in the Making of the French Social Model	9780822341987.0	9780822388814.0							http://doi.org/10.1215/9780822388814	Frader, Laura			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
37	Errant Modernism: The Ethos of Photography in Mexico and Brazil	9780822343400.0	9780822389392.0							http://doi.org/10.1215/9780822389392	Gabara, Esther			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
38	American Empire and the Politics of Meaning: Elite Political Cultures in the Philippines and Puerto Rico during U.S. Colonialism	9780822342298.0	9780822389323.0							http://doi.org/10.1215/9780822389323	Go, Julian			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
39	Countering Development: Indigenous Modernity and the Moral Imagination	9780822341710.0	9780822388807.0							http://doi.org/10.1215/9780822388807	Gow, David D.			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
40	The Wandering Signifier: Rhetoric of Jewishness in the Latin American Imaginary	9780822343677.0	9780822390039.0							http://doi.org/10.1215/9780822390039	Graff Zivin, Erin			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
41	Inventing Film Studies	9780822343073.0	9780822388678.0							http://doi.org/10.1215/9780822388678	Grieveson, Lee			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
42	Sciences from Below: Feminisms, Postcolonialities, and Modernities	9780822342823.0	9780822381181.0							http://doi.org/10.1215/9780822381181	Harding, Sandra			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
43	Modern Tibetan Literature and Social Change	9780822342779.0	9780822381433.0							http://doi.org/10.1215/9780822381433	Hartley, Lauran			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
44	Cuba: Religion, Social Capital, and Development	9780822341963.0	9780822389484.0							http://doi.org/10.1215/9780822389484	Hearn, Adrian			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
45	A Small World: Smart Houses and the Dream of the Perfect Day	9780822341581.0	9780822388845.0							http://doi.org/10.1215/9780822388845	Heckman, Davin			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
46	The Afterlife of Images: Translating the Pathological Body between China and the West	9780822341130.0	9780822388821.0							http://doi.org/10.1215/9780822388821	Heinrich, Ari			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
47	Imagining la Chica Moderna: Women, Nation, and Visual Culture in Mexico, 1917&ndash;1936	9780822342380.0	9780822389286.0							http://doi.org/10.1215/9780822389286	Hershfield, Joanne			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
48	National History and the World of Nations: Capital, State, and the Rhetoric of History in Japan, France, and the United States	9780822343165.0	9780822389156.0							http://doi.org/10.1215/9780822389156	Hill, Christopher			fulltext		Duke University Press	Monograph	2009.0	2008.0						P	Available
49	Men, Mobs, and Law: Anti-Lynching and Labor Defense in U.S. Radical History	9780822342809.0	9780822381464.0							http://doi.org/10.1215/9780822381464	Hill, Rebecca			fulltext		Duke University Press	Monograph	2009.0	2008.0						P	Available
50	Afro Asia: Revolutionary Political and Cultural Connections between African Americans and Asian Americans	9780822342816.0	9780822381174.0							http://doi.org/10.1215/9780822381174	Ho, Fred			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
51	Other Cities, Other Worlds: Urban Imaginaries in a Globalizing Age	9780822342717.0	9780822389361.0							http://doi.org/10.1215/9780822389361	Huyssen, Andreas			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
52	Secularisms	9780822341499.0	9780822388890.0							http://doi.org/10.1215/9780822388890	Jakobsen, Janet			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
53	Networking Futures: The Movements against Corporate Globalization	9780822342694.0	9780822389170.0							http://doi.org/10.1215/9780822389170	Juris, Jeffrey			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
54	Fixing Sex: Intersex, Medical Authority, and Lived Experience	9780822343189.0	9780822389217.0							http://doi.org/10.1215/9780822389217	Karkazis, Katrina			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
55	Hawaiian Blood: Colonialism and the Politics of Sovereignty and Indigeneity	9780822340799.0	9780822391494.0							http://doi.org/10.1215/9780822391494	Kauanui, J.			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
56	Two Bits: The Cultural Significance of Free Software	9780822342649.0	9780822389002.0							http://doi.org/10.1215/9780822389002	Kelty, Christopher			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
57	A New Type of Womanhood: Discursive Politics and Social Change in Antebellum America	9780822343684.0	9780822390046.0							http://doi.org/10.1215/9780822390046	Kraus, Natasha			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
58	Domination without Dominance: Inca-Spanish Encounters in Early Colonial Peru	9780822343110.0	9780822388715.0							http://doi.org/10.1215/9780822388715	Lamana, Gonzalo			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
59	Signal and Noise: Media, Infrastructure, and Urban Culture in Nigeria	9780822341086.0	9780822389316.0							http://doi.org/10.1215/9780822389316	Larkin, Brian			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
60	To Rise in Darkness: Revolution, Repression, and Memory in El Salvador, 1920&ndash;1932	9780822342281.0	9780822381242.0							http://doi.org/10.1215/9780822381242	Lauria-Santiago, Aldo			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
61	El Alto, Rebel City: Self and Citizenship in Andean Bolivia	9780822341543.0	9780822388760.0							http://doi.org/10.1215/9780822388760	Lazar, Sian			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
62	The Circulation of Children: Kinship, Adoption, and Morality in Andean Peru	9780822341970.0	9780822391500.0							http://doi.org/10.1215/9780822391500	Leinaweaver, Jessaca			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
63	The World of Lucha Libre: Secrets, Revelations, and Mexican National Identity	9780822342328.0	9780822391470.0							http://doi.org/10.1215/9780822391470	Levi, Heather			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
64	Translating Empire: Jos&eacute; Mart&iacute;, Migrant Latino Subjects, and American Modernities	9780822343424.0	9780822389415.0							http://doi.org/10.1215/9780822389415	Lomas, Laura			fulltext		Duke University Press	Monograph	2009.0	2008.0						P	Available
65	Waves of Decolonization: Discourses of Race and Hemispheric Citizenship in Cuba, Mexico, and the United States	9780822343660.0	9780822391463.0							http://doi.org/10.1215/9780822391463	Luis-Brown, David			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
66	Unsettled Visions: Contemporary Asian American Artists and the Social Imaginary	9780822342045.0	9780822391746.0							http://doi.org/10.1215/9780822391746	Machida, Margo			fulltext		Duke University Press	Monograph	2009.0	2008.0						P	Available
67	Mexican American Mojo: Popular Music, Dance, and Urban Culture in Los Angeles, 1935&ndash;1968	9780822343394.0	9780822389385.0							http://doi.org/10.1215/9780822389385	Macías, Anthony			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
68	Against War: Views from the Underside of Modernity	9780822341703.0	9780822388999.0							http://doi.org/10.1215/9780822388999	Maldonado-Torres, Nelson			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
69	Cosmopolitan Anxieties: Turkish Challenges to Citizenship and Belonging in Germany	9780822341932.0	9780822389026.0							http://doi.org/10.1215/9780822389026	Mandel, Ruth			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
70	Crucible of Conflict: Tamil and Muslim Society on the East Coast of Sri Lanka	9780822341611.0	9780822389187.0							http://doi.org/10.1215/9780822389187	McGilvray, Dennis			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
71	Creating Our Own: Folklore, Performance, and Identity in Cuzco, Peru	9780822341529.0	9780822388852.0							http://doi.org/10.1215/9780822388852	Mendoza, Zoila			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
72	Nanovision: Engineering the Future	9780822342656.0	9780822391487.0							http://doi.org/10.1215/9780822391487	Milburn, Colin			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
73	The French Atlantic Triangle: Literature and Culture of the Slave Trade	9780822341512.0	9780822388838.0							http://doi.org/10.1215/9780822388838	Miller, Christopher			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
74	Have I Reasons: Work and Writings, 1993&ndash;2007	9780822342922.0	9780822388708.0							http://doi.org/10.1215/9780822388708	Morris, Robert			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
75	Displaced Allegories: Post-Revolutionary Iranian Cinema	9780822342755.0	9780822381198.0							http://doi.org/10.1215/9780822381198	Mottahedeh, Negar			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
76	Dancing with the Dead: Memory, Performance, and Everyday Life in Postwar Okinawa	9780822343714.0	9780822390077.0							http://doi.org/10.1215/9780822390077	Nelson, Christopher			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
77	Johannesburg: The Elusive Metropolis	9780822342847.0	9780822381211.0							http://doi.org/10.1215/9780822381211	Nuttall, Sarah			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
78	Mobility without Mayhem: Safety, Cars, and Citizenship	9780822339632.0	9780822388906.0							http://doi.org/10.1215/9780822388906	Packer, Jeremy			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
79	Rural Resistance in the Land of Zapata: The Jaramillista Movement and the Myth of the Pax-Priísta, 19401962	9780822343370.0	9780822389354.0							http://doi.org/10.1215/9780822389354	Padilla, Tanalís			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
80	The Mangle in Practice: Science, Society, and Becoming	9780822343738.0	9780822390107.0							http://doi.org/10.1215/9780822390107	Pickering, Andrew			fulltext		Duke University Press	Monograph	2009.0	2008.0						P	Available
81	Human Rights in the Maya Region: Global Politics, Cultural Contentions, and Moral Engagements	9780822343134.0	9780822389057.0							http://doi.org/10.1215/9780822389057	Pitarch, Pedro			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
82	Anthropological Intelligence: The Deployment and Neglect of American Anthropology in the Second World War	9780822342373.0	9780822389125.0							http://doi.org/10.1215/9780822389125	Price, David			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
83	Designs for an Anthropology of the Contemporary	9780822343707.0	9780822390060.0							http://doi.org/10.1215/9780822390060	Rabinow, Paul			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
84	History, the Human, and the World Between	9780822339656.0	9780822389309.0							http://doi.org/10.1215/9780822389309	Radhakrishnan, R.			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
85	Still Moving: Between Cinema and Photography	9780822341550.0	9780822391432.0							http://doi.org/10.1215/9780822391432	Redrobe Beckman, Karen			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
86	Empire and Dissent: The United States and Latin America	9780822342786.0	9780822381440.0							http://doi.org/10.1215/9780822381440	Rosen, Fred			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
87	Becoming Beside Ourselves: The Alphabet, Ghosts, and Distributed Human Being	9780822342007.0	9780822389118.0							http://doi.org/10.1215/9780822389118	Rotman, Brian			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
88	The Cinema of Naruse Mikio: Women and Japanese Modernity	9780822343127.0	9780822388685.0							http://doi.org/10.1215/9780822388685	Russell, Catherine			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
89	Big Ears: Listening for Gender in Jazz Studies	9780822343363.0	9780822389224.0							http://doi.org/10.1215/9780822389224	Rustin, Nichole			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
90	Visible Histories, Disappearing Women: Producing Muslim Womanhood in Late Colonial Bengal	9780822342342.0	9780822389033.0							http://doi.org/10.1215/9780822389033	Sarkar, Mahua			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
91	CT Suite: The Work of Diagnosis in the Age of Noninvasive Cutting	9780822341239.0	9780822392002.0							http://doi.org/10.1215/9780822392002	Saunders, Barry			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
92	Women's Studies on the Edge	9780822342748.0	9780822389101.0							http://doi.org/10.1215/9780822389101	Scott, Joan			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
93	Desi Land: Teen Culture, Class, and Success in Silicon Valley	9780822343158.0	9780822389231.0							http://doi.org/10.1215/9780822389231	Shankar, Shalini			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
94	Bodies of Work: Civic Display and Labor in Industrial Pittsburgh	9780822342250.0	9780822389347.0							http://doi.org/10.1215/9780822389347	Slavishak, Edward			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
95	Native Americans and the Christian Right: The Gendered Politics of Unlikely Alliances	9780822341635.0	9780822388876.0							http://doi.org/10.1215/9780822388876	Smith, Andrea			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
96	Hans Staden's True History: An Account of Cannibal Captivity in Brazil	9780822342311.0	9780822389293.0							http://doi.org/10.1215/9780822389293	Staden, Hans			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
97	Itineraries in Conflict: Israelis, Palestinians, and the Political Lives of Tourism	9780822342731.0	9780822391203.0							http://doi.org/10.1215/9780822391203	Stein, Rebecca			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
98	Native Men Remade: Gender and Nation in Contemporary Hawai&lsquo;i	9780822343387.0	9780822389378.0							http://doi.org/10.1215/9780822389378	Tengan, Ty			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
99	Red Land, Red Power: Grounding Knowledge in the American Indian Novel	9780822342410.0	9780822389040.0							http://doi.org/10.1215/9780822389040	Teuton, Sean			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
100	Shaky Colonialism: The 1746 Earthquake-Tsunami in Lima, Peru, and Its Long Aftermath	9780822341895.0	9780822388920.0							http://doi.org/10.1215/9780822388920	Walker, Charles			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
101	The Modern Girl Around the World: Consumption, Modernity, and Globalization	9780822343059.0	9780822389194.0							http://doi.org/10.1215/9780822389194	Weinbaum, Alys Eve			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
102	Picturing American Modernity: Traffic, Technology, and the Silent Cinema	9780822342014.0	9780822391456.0							http://doi.org/10.1215/9780822391456	Whissel, Kristen			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
103	Rumba Rules: The Politics of Dance Music in Mobutu&rsquo;s Zaire	9780822341123.0	9780822389262.0							http://doi.org/10.1215/9780822389262	White, Bob			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
104	Screening Sex	9780822342854.0	9780822388630.0							http://doi.org/10.1215/9780822388630	Williams, Linda			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
105	Liberated Territory: Untold Local Perspectives on the Black Panther Party	9780822343431.0	9780822389422.0							http://doi.org/10.1215/9780822389422	Williams, Yohuru			fulltext		Duke University Press	Monograph	2009.0	2008.0						P	Available
106	Global Indigenous Media: Cultures, Poetics, and Politics	9780822343080.0	9780822388692.0							http://doi.org/10.1215/9780822388692	Wilson, Pamela			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
107	New Masters, New Servants: Migration, Development, and Women Workers in China	9780822343042.0	9780822388654.0							http://doi.org/10.1215/9780822388654	Yan, Hairong			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
108	The Art of Being In-between: Native Intermediaries, Indian Identity, and Local Rule in Colonial Oaxaca	9780822341666.0	9780822388982.0							http://doi.org/10.1215/9780822388982	Yannakakis, Yanna			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
109	James Baldwin's Turkish Decade: Erotics of Exile	9780822341673.0	9780822392408.0							http://doi.org/10.1215/9780822392408	Zaborowska, Magdalena			fulltext		Duke University Press	Monograph	2009.0	2008.0						P	Available
110	Postsocialism and Cultural Politics: China in the Last Decade of the Twentieth Century	9780822342304.0	9780822388937.0							http://doi.org/10.1215/9780822388937	Zhang, Xudong			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
111	The Intimate University: Korean American Students and the Problems of Segregation	9780822346159.0	9780822391586.0							http://doi.org/10.1215/9780822391586	Abelmann, Nancy			fulltext		Duke University Press	Monograph	2009.0	2009.0						P	Available
112	The Making of a Human Bomb: An Ethnography of Palestinian Resistance	9780822344391.0	9780822392118.0							http://doi.org/10.1215/9780822392118	Abufarha, Nasser			fulltext		Duke University Press	Monograph	2009.0	2009.0						P	Available
113	Indigenous Development in the Andes: Culture, Power, and Transnationalism	9780822345404.0	9780822391067.0							http://doi.org/10.1215/9780822391067	Andolina, Robert			fulltext		Duke University Press	Monograph	2009.0	2009.0						P	Available
114	The Gloria Anzaldúa Reader	9780822345640.0	9780822391272.0							http://doi.org/10.1215/9780822391272	Anzaldua, Gloria			fulltext		Duke University Press	Monograph	2009.0	2009.0						P	Available
115	For the Record: On Sexuality and the Colonial Archive in India	9780822345336.0	9780822391029.0							http://doi.org/10.1215/9780822391029	Arondekar, Anjali			fulltext		Duke University Press	Monograph	2009.0	2009.0						P	Available
116	Black and Green: Afro-Colombians, Development, and Nature in the Pacific Lowlands	9780822344872.0	9780822390879.0							http://doi.org/10.1215/9780822390879	Asher, Kiran			fulltext		Duke University Press	Monograph	2009.0	2009.0						P	Available
117	The Provocative Joan Robinson: The Making of a Cambridge Economist	9780822345381.0	9780822391081.0							http://doi.org/10.1215/9780822391081	Aslanbeigui, Nahid			fulltext		Duke University Press	Monograph	2009.0	2009.0						P	Available
118	The Search for the Codex Cardona	9780822346142.0	9780822391579.0							http://doi.org/10.1215/9780822391579	Bauer, Arnold			fulltext		Duke University Press	Monograph	2009.0	2009.0						P	Available
119	Racially Writing the Republic: Racists, Race Rebels, and Transformations of American Identity	9780822344476.0	9780822392156.0							http://doi.org/10.1215/9780822392156	Baum, Bruce			fulltext		Duke University Press	Monograph	2009.0	2009.0						P	Available
120	Holiday in Mexico: Critical Reflections on Tourism and Tourist Encounters	9780822345718.0	9780822391265.0							http://doi.org/10.1215/9780822391265	Berger, Dina			fulltext		Duke University Press	Monograph	2010.0	2009.0						P	Available
121	North of Empire: Essays on the Cultural Technologies of Space	9780822343066.0	9780822388661.0							http://doi.org/10.1215/9780822388661	Berland, Jody			fulltext		Duke University Press	Monograph	2009.0	2009.0						P	Available
122	Stages of Capital: Law, Culture, and Market Governance in Late Colonial India	9780822342687.0	9780822392477.0							http://doi.org/10.1215/9780822392477	Birla, Ritu			fulltext		Duke University Press	Monograph	2009.0	2009.0						P	Available
123	City/Art: The Urban Scene in Latin America	9780822344704.0	9780822390732.0							http://doi.org/10.1215/9780822390732	Biron, Rebecca			fulltext		Duke University Press	Monograph	2009.0	2009.0						P	Available
124	Political Myth: On the Use and Abuse of Biblical Themes	9780822343691.0	9780822390053.0							http://doi.org/10.1215/9780822390053	Boer, Roland			fulltext		Duke University Press	Monograph	2009.0	2009.0						P	Available
125	Art for a Modern India, 1947-1980	9780822343752.0	9780822392262.0							http://doi.org/10.1215/9780822392262	Brown, Rebecca			fulltext		Duke University Press	Monograph	2009.0	2009.0						P	Available
126	Reproducing the French Race: Immigration, Intimacy, and Embodiment in the Early Twentieth Century	9780822345657.0	9780822391197.0							http://doi.org/10.1215/9780822391197	Camiscioli, Elisa			fulltext		Duke University Press	Monograph	2009.0	2009.0						P	Available
