publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	notes	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status	field34
Bladder Cancer	2352-3727	2352-3735	2015-01-01	1	1				http://content.iospress.com/journals/bladder-cancer		bladder-cancer		fulltext			serial									New for 2015		2352-3727	2352-3735			2015-11-01		Current	
Brain Plasticity	2213-6304	2213-6312	2015-01-01	1	1				http://content.iospress.com/journals/brain-plasticity		brain-plasticity		fulltext			serial									Open Access		2213-6304	2213-6312					Current	
Breast Disease	0888-6008	1558-1551	1998-01-01	10	1				http://content.iospress.com/journals/breast-disease		breast-disease		fulltext			serial											0888-6008	1558-1551					Current	
Bridge Structures - Assessment, Design & Construction	1573-2487	1744-8999	2005-01-01	1	1				http://content.iospress.com/journals/bridge-structures		bridge-structures		fulltext			serial											1573-2487	1744-8999					Current	
Cancer Biomarkers	1574-0153	1875-8592	2005-01-01	1	1				http://content.iospress.com/journals/cancer-biomarkers		cancer-biomarkers		fulltext			serial											1574-0153	1875-8592					Current	
Cheminformatics	1572-4778	1875-8614	2004-01-01	1	1	2004-01-01	1	1	http://content.iospress.com/journals/cheminformatics		cheminformatics		fulltext			serial											1572-4778	1875-8614					Current	
Climate Law	1878-6553	1878-6561	2010-01-01	1	1	2013-12-31			http://content.iospress.com/journals/climate-law		climate-law		fulltext			serial									transfer out (2014): Brill		1878-6553	1878-6561					Current	
Clinical Hemorheology and Microcirculation	1386-0291	1875-8622	1997-01-01	17	1				http://content.iospress.com/journals/clinical-hemorheology-and-microcirculation		clinical-hemorheology-and-microcirculation		fulltext			serial									Previously: Clinical Hemorheology (1981-1996)		1386-0291	1875-8622					Current	
Computability	2211-3568	2211-3576	2012-01-01	1	1				http://content.iospress.com/journals/computability		computability		fulltext			serial											2211-3568	2211-3576					Current	
Data Science	2451-8484	2451-8492	2017-12-01	1	1-2				http://content.iospress.com/journals/data-science		data-science		fulltext			serial								F	New for 2017. Open Access		2451-8484	2451-8492			2017-12-31		Current	
Disease Markers	0278-0240	1875-8630	1998-01-01	14	1	2012-12-31	34		http://content.iospress.com/journals/disease-markers		disease-markers		fulltext			serial									open access; transfer out (2013): Hindawi Publishing		0278-0240	1875-8630					Current	
Education for Information	0167-8329	1875-8649	1983-01-01	1	1				http://content.iospress.com/journals/education-for-information		education-for-information		fulltext			serial											0167-8329	1875-8649					Current	
Electronic Journal of Pathology and Histology	0948-0382		2000-01-01	6	1	2003-01-01	8	1	http://content.iospress.com/journals/electronic-journal-of-pathology-and-histology		electronic-journal-of-pathology-and-histology		fulltext			serial											0948-0382						Current	
Environmental Policy and Law	0378-777X	1878-5395	1975-01-01	1	1				http://content.iospress.com/journals/environmental-policy-and-law		environmental-policy-and-law		fulltext			serial											0378-777X	1878-5395					Current	
Fundamenta Informaticae	0169-2968	1875-8681	1994-01-01	20	1				http://content.iospress.com/journals/fundamenta-informaticae		fundamenta-informaticae		fulltext			serial											0169-2968	1875-8681					Current	
Human Antibodies	1093-2607	1875-869X	1990-01-01	1	1				http://content.iospress.com/journals/human-antibodies		human-antibodies		fulltext			serial											1093-2607	1875-869X					Current	
Human Systems Management	0167-2533	1875-8703	1980-01-01	1	1				http://content.iospress.com/journals/human-systems-management		human-systems-management		fulltext			serial											0167-2533	1875-8703					Current	
I-Ways: The Journal of E-Government Policy and Regulation	1084-4678	1875-8886	2003-01-01	26	1	2009-01-01	32	4	http://content.iospress.com/journals/i-ways-digest-of-electronic-commerce-policy-and-regulation		i-ways-digest-of-electronic-commerce-policy-and-regulation		fulltext			serial											1084-4678	1875-8886					Current	
ICGA Journal	1389-6911	2468-2438	2009-01-01	32	1				http://content.iospress.com/journals/icga-journal		icga-journal		fulltext			serial									transfer in (2016):Tilburg Centre for Cogination and Communication		1389-6911	2468-2438					Current	
In Silico Biology	1386-6338	1434-3207	1998-01-01	1	1				http://content.iospress.com/journals/in-silico-biology		in-silico-biology		fulltext			serial									open access		1386-6338	1434-3207					Current	
Informatica	0868-4952	1822-8844	1990-01-01	1	1				http://content.iospress.com/journals/informatica		informatica		fulltext			serial											0868-4952	1822-8844					Current	
Information Infrastructure and Policy	1383-7605	1875-8738	1998-01-01	6	1	2000-01-01	6	4	http://content.iospress.com/journals/information-infrastructure-and-policy		information-infrastructure-and-policy		fulltext			serial											1383-7605	1875-8738					Current	
Information Polity	1570-1255	1875-8754	2002-01-01	7	1				http://content.iospress.com/journals/information-polity		information-polity		fulltext			serial											1570-1255	1875-8754					Current	
Information Services and Use	0167-5265	1875-8789	1981-01-01	1	1				http://content.iospress.com/journals/information-services-and-use		information-services-and-use		fulltext			serial											0167-5265	1875-8789					Current	
Information Technology for Development	0268-1102	1554-0170	1998-01-01	8	1	2003-12-31	10	4	http://content.iospress.com/journals/information-technology-for-development		information-technology-for-development		fulltext			serial									transfer out (2004): Wiley		0268-1102	1554-0170					Current	
Information, Knowledge, Systems Management	1389-1995	1875-8762	1999-01-01	1	1	2013-12-31	12	3,4	http://content.iospress.com/journals/information-knowledge-systems-management		information-knowledge-systems-management		fulltext			serial									Ceased: 2013		1389-1995	1875-8762					Current	
Integrated Computer-Aided Engineering	1069-2509	1875-8835	1993-01-01	1	1				http://content.iospress.com/journals/integrated-computer-aided-engineering		integrated-computer-aided-engineering		fulltext			serial											1069-2509	1875-8835					Current	
Intelligent Data Analysis	1088-467X	1571-4128	1997-01-01	1	1				http://content.iospress.com/journals/intelligent-data-analysis		intelligent-data-analysis		fulltext			serial											1088-467X	1571-4128					Current	
Intelligent Decision Technologies	1872-4981	1875-8843	2007-01-01	1	1				http://content.iospress.com/journals/intelligent-decision-technologies		intelligent-decision-technologies		fulltext			serial											1872-4981	1875-8843					Current	
Intelligenza Artificiale	1724-8035	2211-0097	2011-01-01	5	1				http://content.iospress.com/journals/intelligenza-artificiale		intelligenza-artificiale		fulltext			serial											1724-8035	2211-0097					Current	
International Journal of Applied Electromagnetics and Mechanics	1383-5416	1875-8800	1998-01-01	9	1				http://content.iospress.com/journals/international-journal-of-applied-electromagnetics-and-mechanics		international-journal-of-applied-electromagnetics-and-mechanics		fulltext			serial											1383-5416	1875-8800					Current	
International Journal of Artificial Intelligence in Education	1560-4292	1560-4306	2003-01-01	13	1	2013-12-31	22	4	http://content.iospress.com/journals/international-journal-of-artificial-intelligence-in-education		international-journal-of-artificial-intelligence-in-education		fulltext			serial									transfer out (2014): Springer		1560-4292	1560-4306					Current	
International Journal of Developmental Science	2192-001X	2191-7485	2007-01-01	1	1				http://content.iospress.com/journals/international-journal-of-developmental-science		international-journal-of-developmental-science		fulltext			serial											2192-001X	2191-7485					Current	
International Journal of Hybrid Intelligent Systems	1448-5869	1875-8819	2004-01-01	1	1				http://content.iospress.com/journals/international-journal-of-hybrid-intelligent-systems		international-journal-of-hybrid-intelligent-systems		fulltext			serial											1448-5869	1875-8819					Current	
International Journal of Knowledge-Based and Intelligent Engineering Systems	1327-2314	1875-8827	2004-01-01	8	1				http://content.iospress.com/journals/international-journal-of-knowledge-based-and-intelligent-engineering-systems		international-journal-of-knowledge-based-and-intelligent-engineering-systems		fulltext			serial											1327-2314	1875-8827					Current	
International Journal of RF Technologies: Research and Applications	1754-5730	1754-5749	2009-01-01	1	1				http://content.iospress.com/journals/international-journal-of-rf-technologies		international-journal-of-rf-technologies		fulltext			serial											1754-5730	1754-5749					Current	
International Journal of Regulation and Governance	0972-4907	1875-8851	2001-01-01	1	1	2013-07-01	13	1	http://content.iospress.com/journals/international-journal-of-regulation-and-governance		international-journal-of-regulation-and-governance		fulltext			serial									transfer out (2014)		0972-4907	1875-8851					Current	
International Shipbuilding Progress	0020-868X	1566-2829	1988-01-01	35	401				http://content.iospress.com/journals/international-shipbuilding-progress		international-shipbuilding-progress		fulltext			serial											0020-868X	1566-2829					Current	
Intervention Research	1573-417X	1875-886X	2004-01-01	1	1	2006-12-31	2	01-Feb	http://content.iospress.com/journals/intervention-research		intervention-research		fulltext			serial											1573-417X	1875-886X					Current	
Isokinetics and Exercise Science	0959-3020	1878-5913	1991-01-01	1	1				http://content.iospress.com/journals/isokinetics-and-exercise-science		isokinetics-and-exercise-science		fulltext			serial											0959-3020	1878-5913					Current	
Journal of Aerospace Operations	2211-002X	2211-0038	2011-01-01	1	01-Feb				http://content.iospress.com/journals/journal-of-aerospace-operations		journal-of-aerospace-operations		fulltext			serial											2211-002X	2211-0038					Current	
Journal of Alzheimer's Disease	1387-2877	1875-8908	1998-01-01	1	1				http://content.iospress.com/journals/journal-of-alzheimers-disease		journal-of-alzheimers-disease		fulltext			serial											1387-2877	1875-8908					Current	
Journal of Alzheimer's Disease Reports		2542-4823	2017-01-01	1	1				https://www.iospress.nl/journal/jad-reports/		54245		fulltext			serial								F	Open Access			2542-4823			2017-10-01		Current	
Journal of Ambient Intelligence and Smart Environments	1876-1364	1876-1372	2009-01-01	1	1				http://content.iospress.com/journals/journal-of-ambient-intelligence-and-smart-environments		journal-of-ambient-intelligence-and-smart-environments		fulltext			serial											1876-1364	1876-1372					Current	
Journal of Back and Musculoskeletal Rehabilitation	1053-8127	1878-6324	1992-01-01	2	1				http://content.iospress.com/journals/journal-of-back-and-musculoskeletal-rehabilitation		journal-of-back-and-musculoskeletal-rehabilitation		fulltext			serial											1053-8127	1878-6324					Current	
Journal of Berry Research	1878-5093	1878-5123	2010-01-01	1	1				http://content.iospress.com/journals/journal-of-berry-research		journal-of-berry-research		fulltext			serial											1878-5093	1878-5123					Current	
Journal of Cellular Biotechnology	2352-3689	2352-3697	2015-01-01	1	1				http://content.iospress.com/journals/journal-of-cellular-biotechnology		journal-of-cellular-biotechnology		fulltext			serial									New for 2015		2352-3689	2352-3697			2015-11-01		Current	
Journal of Climate Change	2395-7611	2395-7697	2015-01-01	1	1,2				http://content.iospress.com/journals/journal-of-climate-change		journal-of-climate-change		fulltext			serial									fulltext		2395-7611	2395-7697			2015-11-01		Current	
Journal of Computational Methods in Science and Engineering	1472-7978	1875-8983	2001-01-01	1	1				http://content.iospress.com/journals/journal-of-computational-methods-in-sciences-and-engineering		journal-of-computational-methods-in-sciences-and-engineering		fulltext			serial											1472-7978	1875-8983					Current	
Journal of Computer Security	0926-227X	1875-8924	1992-01-01	1	1				http://content.iospress.com/journals/journal-of-computer-security		journal-of-computer-security		fulltext			serial											0926-227X	1875-8924					Current	
Journal of E-Governance	1878-7673	1878-7681	2010-01-01	33	1	2013-12-31	36	4	http://content.iospress.com/journals/journal-of-e-governance		journal-of-e-governance		fulltext			serial									ceased 2013		1878-7673	1878-7681					Current	
Journal of Economic and Social Measurement	0747-9662	1875-8932	1986-01-01	14	1				http://content.iospress.com/journals/journal-of-economic-and-social-measurement		journal-of-economic-and-social-measurement		fulltext			serial											0747-9662	1875-8932					Current	
Journal of Embedded Computing	1740-4460	1875-9025	2005-01-01	1	1	2011-12-31	4	3-4	http://content.iospress.com/journals/journal-of-embedded-computing		journal-of-embedded-computing		fulltext			serial											1740-4460	1875-9025					Current	
Journal of Environmental Sciences	1001-0742	1878-7320	2000-01-01	12	3	2006-12-31	18	4	http://content.iospress.com/journals/journal-of-environmental-sciences		journal-of-environmental-sciences		fulltext			serial									transfer out (2006): Elsevier		1001-0742	1878-7320					Current	
Journal of Facade Design and Engineering	2213-302X	2213-3038	2013-01-01	1	01-Feb				http://content.iospress.com/journals/journal-of-facade-design-and-engineering		journal-of-facade-design-and-engineering		fulltext			serial									open access		2213-302X	2213-3038					Current	
Journal of Geo-engineering Sciences	2213-2880	2213-2899	2013-01-01	1	1				http://content.iospress.com/journals/journal-of-geo-engineering-sciences		journal-of-geo-engineering-sciences		fulltext			serial											2213-2880	2213-2899					Current	
Journal of High Speed Networks	0926-6801	1875-8940	1992-01-01	1	1				http://content.iospress.com/journals/journal-of-high-speed-networks		journal-of-high-speed-networks		fulltext			serial											0926-6801	1875-8940					Current	
Journal of Huntington's Disease	1879-6397	1879-6400	2012-01-01	1	1				http://content.iospress.com/journals/journal-of-huntingtons-disease		journal-of-huntingtons-disease		fulltext			serial											1879-6397	1879-6400					Current	
Journal of Integrated Design and Process Science	1092-0617	1875-8959	1999-01-01	3	1				http://content.iospress.com/journals/journal-of-integrated-design-and-process-science		journal-of-integrated-design-and-process-science		fulltext			serial											1092-0617	1875-8959					Current	
Journal of Integrative Neuroscience	0219-6352	1757-448X	2017-01-01	16	1				http://content.iospress.com/journals/journal-of-integrative-neuroscienc		journal-of-integrative-neuroscienc		fulltext			serial											0219-6352	1757-448X			2017-10-01		Current	
Journal of Intelligent and Fuzzy Systems	1064-1246	1875-8967	1993-01-01	1	1				http://content.iospress.com/journals/journal-of-intelligent-and-fuzzy-systems		journal-of-intelligent-and-fuzzy-systems		fulltext			serial											1064-1246	1875-8967					Current	
Journal of Medical Psychology	2468-3884	2468-3892	2019-01-01	22	1				http://www.iospress.nl/journal/journal-of-medical-psychology/		39740		fulltext			serial								F	open access		2468-3884	2468-3892			2018-12-31		Current	
Journal of Neonatal-Perinatal Medicine	1934-5798	1878-4429	2008-01-01	1	1				http://content.iospress.com/journals/journal-of-neonatal-perinatal-medicine		journal-of-neonatal-perinatal-medicine		fulltext			serial											1934-5798	1878-4429					Current	
Journal of Neuromuscular Diseases	2214-3599	2214-3602	2014-01-01	1	1				http://content.iospress.com/journals/journal-of-neuromuscular-diseases		journal-of-neuromuscular-diseases		fulltext			serial											2214-3599	2214-3602					Current	
Journal of Neutron Research	1023-8166	1477-2655	1993-01-01	1	1				http://content.iospress.com/journals/journal-of-neutron-research		journal-of-neutron-research		fulltext			serial									No publications between 2009-2013		1023-8166	1477-2655					Current	
Journal of Parkinson's Disease	1877-7171	1877-718X	2011-01-01	1	1				http://content.iospress.com/journals/journal-of-parkinsons-disease		journal-of-parkinsons-disease		fulltext			serial											1877-7171	1877-718X					Current	
Journal of Pediatric Biochemistry	1879-5390	1879-5404	2010-01-01	1	1	2014-12-31	4	4	http://content.iospress.com/journals/journal-of-pediatric-biochemistry		journal-of-pediatric-biochemistry		fulltext			serial									transfer out (2015): Georg Thieme Verlag		1879-5390	1879-5404					Current	
Journal of Pediatric Epilepsy	2146-457X	2146-4588	2012-01-01	1	1	2014-12-31	3	4	http://content.iospress.com/journals/journal-of-pediatric-epilepsy		journal-of-pediatric-epilepsy		fulltext			serial									transfer out (2015): Georg Thieme Verlag		2146-457X	2146-4588					Current	
Journal of Pediatric Genetics	2146-4596	2146-460X	2012-01-01	1	1	2014-12-31	3	4	http://content.iospress.com/journals/journal-of-pediatric-genetics		journal-of-pediatric-genetics		fulltext			serial									transfer out (2015): Georg Thieme Verlag		2146-4596	2146-460X					Current	
Journal of Pediatric Infectious Diseases	1305-7707	1305-7693	2006-01-01	1	1	2014-12-31	9	4	http://content.iospress.com/journals/journal-of-pediatric-infectious-diseases		journal-of-pediatric-infectious-diseases		fulltext			serial									transfer out (2015): Georg Thieme Verlag		1305-7707	1305-7693					Current	
Journal of Pediatric Intensive Care	2146-4618	2146-4626	2012-01-01	1	1	2014-12-31	3	4	http://content.iospress.com/journals/journal-of-pediatric-intensive-care		journal-of-pediatric-intensive-care		fulltext			serial									transfer out (2015): Georg Thieme Verlag		2146-4618	2146-4626					Current	
Journal of Pediatric Neurology	1304-2580	1875-9041	2003-01-01	1	1	2014-12-31	12	4	http://content.iospress.com/journals/journal-of-pediatric-neurology		journal-of-pediatric-neurology		fulltext			serial									transfer out (2015): Georg Thieme Verlag		1304-2580	1875-9041					Current	
Journal of Pediatric Neuroradiology	1309-6680	1309-6745	2012-01-01	1	1	2014-12-31	3	4	http://content.iospress.com/journals/journal-of-pediatric-neuroradiology		journal-of-pediatric-neuroradiology		fulltext			serial									transfer out (2015): Georg Thieme Verlag		1309-6680	1309-6745					Current	
Journal of Pediatric Rehabilitation Medicine	1874-5393	1875-8894	2008-01-01	1	1				http://content.iospress.com/journals/journal-of-pediatric-rehabilitation-medicine-an-inderdisciplinary-approach		journal-of-pediatric-rehabilitation-medicine-an-inderdisciplinary-approach		fulltext			serial											1874-5393	1875-8894					Current	
Journal of Resources, Energy and Development	0975-7554	0975-7562	2004-01-01	1	1	2015-12-31	12	1-2	http://content.iospress.com/journals/journal-of-resources-energy-and-development		journal-of-resources-energy-and-development		fulltext			serial											0975-7554	0975-7562					Current	
Journal of Sports Analytics	2215-020X	2215-0218	2015-09-01	1	1				http://content.iospress.com/journals/journal-of-sports-analytics		journal-of-sports-analytics		fulltext			serial									New for 2015		2215-020X	2215-0218			2015-11-01		Current	
Journal of Vestibular Research	0957-4271	1878-6464	1994-01-01	4	5				http://content.iospress.com/journals/journal-of-vestibular-research		journal-of-vestibular-research		fulltext			serial											0957-4271	1878-6464					Current	
Journal of Visualization	1343-8875	1875-8975	1998-01-01	1	1	2009-01-01	12	4	http://content.iospress.com/journals/journal-of-visualization		journal-of-visualization		fulltext			serial											1343-8875	1875-8975					Current	
Journal of Vocational Rehabilitation	1052-2263	1878-6316	1991-01-01	1	1				http://content.iospress.com/journals/journal-of-vocational-rehabilitation		journal-of-vocational-rehabilitation		fulltext			serial											1052-2263	1878-6316					Current	
Journal of X-Ray Science and Technology	0895-3996	1095-9114	1989-01-01	1	1				http://content.iospress.com/journals/journal-of-x-ray-science-and-technology		journal-of-x-ray-science-and-technology		fulltext			serial											0895-3996	1095-9114					Current	
Kidney Cancer	2468-4562	2468-4570	2017-01-01						http://content.iospress.com/journals/kidney-cancer		kidney-cancer		fulltext			serial									New for 2017		2468-4562	2468-4570			2017-05-01		Current	
Main Group Chemistry	1024-1221	1745-1167	1995-01-01	1	1				http://content.iospress.com/journals/main-group-chemistry		main-group-chemistry		fulltext			serial											1024-1221	1745-1167					Current	
Mediterranean Journal of Nutrition and Metabolism	1973-798X	1973-7998	2008-01-01	1	1				http://content.iospress.com/journals/mediterranean-journal-of-nutrition-and-metabolism		mediterranean-journal-of-nutrition-and-metabolism		fulltext			serial											1973-798X	1973-7998					Current	
Mobile Information Systems	1574-017X	1875-905X	2005-01-01	1	1	2014-12-31	10	4	http://content.iospress.com/journals/mobile-information-systems		mobile-information-systems		fulltext			serial									transfer out (2015): Hindawi		1574-017X	1875-905X					Current	
Model Assisted Statistics and Applications	1574-1699	1875-9068	2005-01-01	1	1				http://content.iospress.com/journals/model-assisted-statistics-and-applications		model-assisted-statistics-and-applications		fulltext			serial											1574-1699	1875-9068					Current	
Multiagent and Grid Systems	1574-1702	1875-9076	2005-01-01	1	1				http://content.iospress.com/journals/multiagent-and-grid-systems		multiagent-and-grid-systems		fulltext			serial											1574-1702	1875-9076					Current	
NeuroRehabilitation	1053-8135	1878-6448	1993-01-01	3	1				http://content.iospress.com/journals/neurorehabilitation		neurorehabilitation		fulltext			serial											1053-8135	1878-6448					Current	
Nutrition and Aging	1879-7717	1879-7725	2012-01-01	1	1	2016-02-29	3	2-4	http://content.iospress.com/journals/nutrition-and-aging		nutrition-and-aging		fulltext			serial									Now: Nutrition and Healthy Aging		1879-7717	1879-7725					Current	
Nutrition and Healthy Aging	2451-9480	2451-9502	2016-03-01	4	1				http://content.iospress.com/journals/nutrition-and-healthy-aging/		nutrition-and-healthy-aging		fulltext			serial									Previously: Nutrition and Aging (2012-2016)		2451-9480	2451-9502			2016-03-01		Current	
Occupational Ergonomics	1359-9364	1875-9092	1998-01-01	1	1				http://content.iospress.com/journals/occupational-ergonomics		occupational-ergonomics		fulltext			serial											1359-9364	1875-9092					Current	
Pharmaceuticals Policy and Law	1389-2827		1999-01-01	1	-1				http://content.iospress.com/journals/pharmaceuticals-policy-and-law		pharmaceuticals-policy-and-law		fulltext			serial											1389-2827						Current	
Physiotherapy Practice and Research	2213-0683	2213-0691	2009-01-01	30	1				http://content.iospress.com/journals/physiotherapy-practice-and-research		physiotherapy-practice-and-research		fulltext			serial											2213-0683	2213-0691					Current	
Restorative Neurology and Neuroscience	0922-6028	1878-3627	1989-01-01	1	1				http://content.iospress.com/journals/restorative-neurology-and-neuroscience		restorative-neurology-and-neuroscience		fulltext			serial											0922-6028	1878-3627					Current	
Risk and Decision Analysis	1569-7371	1875-9173	2009-01-01	1	1				http://content.iospress.com/journals/risk-and-decision-analysis		risk-and-decision-analysis		fulltext			serial											1569-7371	1875-9173					Current	
Scientific Programming	1058-9244	1875-919X	1992-01-01	1	1	2014-12-31	22	4	http://content.iospress.com/journals/scientific-programming		scientific-programming		fulltext			serial									transfer out (2015): Hindawi Publishing		1058-9244	1875-919X					Current	
Semantic Web	1570-0844	2210-4968	2010-01-01	1	01-Feb				http://content.iospress.com/journals/semantic-web		semantic-web		fulltext			serial											1570-0844	2210-4968					Current	
Shock and Vibration	1070-9622	1875-9203	1998-01-01	5	1	2013-12-31	20	6	http://content.iospress.com/journals/shock-and-vibration		shock-and-vibration		fulltext			serial									transfer out (2014): Hindawi Publishing		1070-9622	1875-9203					Current	
Space Communications	0924-8625	1875-9211	1997-01-01	14	4	2013-06-30	22	2-4	http://content.iospress.com/journals/space-communications		space-communications		fulltext			serial									No issue published between 2010-2012		0924-8625	1875-9211					Current	
Spectroscopy	0712-4813	1875-922X	1997-01-01	13	2	2012-12-31	27	1	http://content.iospress.com/journals/spectroscopy		spectroscopy		fulltext			serial									transfer out(2012): Hindawi Publishing		0712-4813	1875-922X					Current	
Statistical Journal of the IAOS: Journal of the International Association for Official Statistics	1874-7655	1875-9254	2007-01-01	24	1				http://content.iospress.com/journals/statistical-journal-of-the-iaos		statistical-journal-of-the-iaos		fulltext			serial											1874-7655	1875-9254					Current	
Statistical Journal of the United Nations Economic Commission for Europe	0167-8000	1875-9238	1982-01-01	1	1	2006-01-01	23	4	http://content.iospress.com/journals/statistical-journal-of-the-united-nations-economic-commission-for-europe		statistical-journal-of-the-united-nations-economic-commission-for-europe		fulltext			serial									Now: Statistical Journal of the IAOS: Journal of the International Association for Official Statistics		0167-8000	1875-9238					Current	
Strength, Fracture and Complexity	1567-2069	1875-9262	2003-01-01	1	1				http://content.iospress.com/journals/strength-fracture-and-complexity		strength-fracture-and-complexity		fulltext			serial											1567-2069	1875-9262					Current	
Technology and Disability	1055-4181	1878-643X	1992-01-01	1	2				http://content.iospress.com/journals/technology-and-disability		technology-and-disability		fulltext			serial											1055-4181	1878-643X					Current	
Technology and Health Care	0928-7329	1878-7401	1993-01-01	1	1				http://content.iospress.com/journals/technology-and-health-care		technology-and-health-care		fulltext			serial											0928-7329	1878-7401					Current	
The International Journal of Risk and Safety in Medicine	0924-6479	1878-6847	1998-01-01	11	1				http://content.iospress.com/journals/the-international-journal-of-risk-and-safety-in-medicine		the-international-journal-of-risk-and-safety-in-medicine		fulltext			serial											0924-6479	1878-6847					Current	
Translational Science of Rare Diseases	2214-6490	2214-6512	2017-01-01	1	1				http://content.iospress.com/journals/translational-science-of-rare-diseases		translational-science-of-rare-diseases		fulltext			serial									New for 2017		2214-6490	2214-6512			2017-05-01		Current	
Web Intelligence	2405-6456	2405-6464	2015-01-01	13	1				http://content.iospress.com/journals/web-intelligence		web-intelligence		fulltext			serial									previously: Web Intelligence and Agent Systems (2003-2014)		2405-6456	2405-6464			2015-11-01		Current	
Web Intelligence and Agent Systems	1570-1263	1875-9289	2003-01-01	1	1	2014-12-31	12	4	http://content.iospress.com/journals/web-intelligence-and-agent-systems-an-international-journal		web-intelligence-and-agent-systems-an-international-journal		fulltext			serial									now: Web Intelligence		1570-1263	1875-9289					Current	
Work: A Journal of Prevention, Assessment and Rehabilitation	1051-9815	1875-9270	1990-01-01	1	1				http://content.iospress.com/journals/work		work		fulltext			serial											1051-9815	1875-9270					Current	
World Digital Libraries	0974-567X	0975-7597	2008-01-01	1	1				http://content.iospress.com/journals/world-digital-libraries-an-international-journal		world-digital-libraries-an-international-journal		fulltext			serial											0974-567X	0975-7597					Current	
Zeitschrift für Medizinische Psychologie	0940-5569	1875-9246	1998-01-01	7	1	2012-12-31	21	4	http://content.iospress.com/journals/zeitschrift-fur-medizinische-psychologie		zeitschrift-fur-medizinische-psychologie		fulltext			serial									Now: Journal of Medical Psychology		0940-5569	1875-9246					Current	
