publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs
Intelligent Data Analysis	1088-467X	1571-4128	1997-01-01	1	1				http://content.iospress.com/journals/intelligent-data-analysis		intelligent-data-analysis		fulltext			serial										1088-467X	1571-4128	
Intelligent Decision Technologies	1872-4981	1875-8843	2007-01-01	1	1				http://content.iospress.com/journals/intelligent-decision-technologies		intelligent-decision-technologies					serial										1872-4981	1875-8843	
Intelligenza Artificiale	1724-8035	2211-0097	2011-01-01	5	1				http://content.iospress.com/journals/intelligenza-artificiale		intelligenza-artificiale		fulltext			serial										1724-8035	2211-0097	
International Journal of Applied Electromagnetics and Mechanics	1383-5416	1875-8800	1998-01-01	9	1				http://content.iospress.com/journals/international-journal-of-applied-electromagnetics-and-mechanics		international-journal-of-applied-electromagnetics-and-mechanics					serial										1383-5416	1875-8800	
International Journal of Artificial Intelligence in Education	1560-4292	1560-4306	2003-01-01	13	1	2013-12-31	22	4	http://content.iospress.com/journals/international-journal-of-artificial-intelligence-in-education		international-journal-of-artificial-intelligence-in-education			transfer out (2014): Springer		serial										1560-4292	1560-4306	
International Journal of Developmental Science	2192-001X	2191-7485	2007-01-01	1	1				http://content.iospress.com/journals/international-journal-of-developmental-science		international-journal-of-developmental-science		fulltext			serial										2192-001X	2191-7485	
International Journal of Hybrid Intelligent Systems	1448-5869	1875-8819	2004-01-01	1	1				http://content.iospress.com/journals/international-journal-of-hybrid-intelligent-systems		international-journal-of-hybrid-intelligent-systems					serial										1448-5869	1875-8819	
International Journal of Knowledge-Based and Intelligent Engineering Systems	1327-2314	1875-8827	2004-01-01	8	1				http://content.iospress.com/journals/international-journal-of-knowledge-based-and-intelligent-engineering-systems		international-journal-of-knowledge-based-and-intelligent-engineering-systems					serial										1327-2314	1875-8827	
International Journal of Regulation and Governance	0972-4907	1875-8851	2001-01-01	1	1	2013-07-01	13	1	http://content.iospress.com/journals/international-journal-of-regulation-and-governance		international-journal-of-regulation-and-governance		fulltext	transfer out (2014)		serial										0972-4907	1875-8851	
International Journal of RF Technologies: Research and Applications	1754-5730	1754-5749	2009-01-01	1	1				http://content.iospress.com/journals/international-journal-of-rf-technologies		international-journal-of-rf-technologies					serial										1754-5730	1754-5749	
International Shipbuilding Progress	0020-868X	1566-2829	1988-01-01	35	401				http://content.iospress.com/journals/international-shipbuilding-progress		international-shipbuilding-progress		fulltext			serial										0020-868X	1566-2829	
Intervention Research	1573-417X	1875-886X	2004-01-01	1	1	2006-12-31	2	01-Feb	http://content.iospress.com/journals/intervention-research		intervention-research		fulltext			serial										1573-417X	1875-886X	
Isokinetics and Exercise Science	0959-3020	1878-5913	1991-01-01	1	1				http://content.iospress.com/journals/isokinetics-and-exercise-science		isokinetics-and-exercise-science		fulltext			serial										0959-3020	1878-5913	
Journal of Aerospace Operations	2211-002X	2211-0038	2011-01-01	1	01-Feb				http://content.iospress.com/journals/journal-of-aerospace-operations		journal-of-aerospace-operations		fulltext			serial										2211-002X	2211-0038	
Journal of Alzheimer's Disease	1387-2877	1875-8908	1998-01-01	1	1				http://content.iospress.com/journals/journal-of-alzheimers-disease		journal-of-alzheimers-disease					serial										1387-2877	1875-8908	
Journal of Ambient Intelligence and Smart Environments	1876-1364	1876-1372	2009-01-01	1	1				http://content.iospress.com/journals/journal-of-ambient-intelligence-and-smart-environments		journal-of-ambient-intelligence-and-smart-environments					serial										1876-1364	1876-1372	
Journal of Back and Musculoskeletal Rehabilitation	1053-8127	1878-6324	1992-01-01	2	1				http://content.iospress.com/journals/journal-of-back-and-musculoskeletal-rehabilitation		journal-of-back-and-musculoskeletal-rehabilitation		fulltext			serial										1053-8127	1878-6324	
Journal of Berry Research	1878-5093	1878-5123	2010-01-01	1	1				http://content.iospress.com/journals/journal-of-berry-research		journal-of-berry-research					serial										1878-5093	1878-5123	
Journal of Cellular Biotechnology	2352-3689	2352-3697	2015-01-01	1	1				http://content.iospress.com/journals/journal-of-cellular-biotechnology		journal-of-cellular-biotechnology		fulltext	New for 2015		serial										2352-3689	2352-3697	
Journal of Climate Change	2395-7611	2395-7697	2015-01-01	1	1,2				http://content.iospress.com/journals/journal-of-climate-change		journal-of-climate-change		fulltext	fulltext		serial										2395-7611	2395-7697	
Journal of Computational Methods in Science and Engineering	1472-7978	1875-8983	2001-01-01	1	1				http://content.iospress.com/journals/journal-of-computational-methods-in-sciences-and-engineering		journal-of-computational-methods-in-sciences-and-engineering		fulltext			serial										1472-7978	1875-8983	
Journal of Computer Security	0926-227X	1875-8924	1992-01-01	1	1				http://content.iospress.com/journals/journal-of-computer-security		journal-of-computer-security					serial										0926-227X	1875-8924	
Journal of E-Governance	1878-7673	1878-7681	2010-01-01	33	1				http://content.iospress.com/journals/journal-of-e-governance		journal-of-e-governance					serial										1878-7673	1878-7681	
Journal of Economic and Social Measurement	0747-9662	1875-8932	1986-01-01	14	1				http://content.iospress.com/journals/journal-of-economic-and-social-measurement		journal-of-economic-and-social-measurement		fulltext			serial										0747-9662	1875-8932	
Journal of Embedded Computing	1740-4460	1875-9025	2005-01-01	1	1	2011-12-31	4	3-4	http://content.iospress.com/journals/journal-of-embedded-computing		journal-of-embedded-computing					serial										1740-4460	1875-9025	
Journal of Environmental Sciences	1001-0742	1878-7320	2001-01-01	13	1	2006-12-31	18	4	http://content.iospress.com/journals/journal-of-environmental-sciences		journal-of-environmental-sciences		fulltext	transfer out (2006): Elsevier		serial										1001-0742	1878-7320	
Journal of Facade Design and Engineering	2213-302X	2213-3038	2013-01-01	1	01-Feb				http://content.iospress.com/journals/journal-of-facade-design-and-engineering		journal-of-facade-design-and-engineering		fulltext			serial										2213-302X	2213-3038	
Journal of Geo-engineering Sciences	2213-2880	2213-2899	2013-01-01	1	1				http://content.iospress.com/journals/journal-of-geo-engineering-sciences		journal-of-geo-engineering-sciences		fulltext			serial										2213-2880	2213-2899	
Journal of High Speed Networks	0926-6801	1875-8940	1992-01-01	1	1				http://content.iospress.com/journals/journal-of-high-speed-networks		journal-of-high-speed-networks		fulltext			serial										0926-6801	1875-8940	
Journal of Huntington's Disease	1879-6397	1879-6400	2012-01-01	1	1				http://content.iospress.com/journals/journal-of-huntingtons-disease		journal-of-huntingtons-disease		fulltext			serial										1879-6397	1879-6400	
Journal of Integrated Design and Process Science	1092-0617	1875-8959	1999-01-01	3	1				http://content.iospress.com/journals/journal-of-integrated-design-and-process-science		journal-of-integrated-design-and-process-science					serial										1092-0617	1875-8959	
Journal of Intelligent and Fuzzy Systems	1064-1246	1875-8967	1993-01-01	1	1				http://content.iospress.com/journals/journal-of-intelligent-and-fuzzy-systems		journal-of-intelligent-and-fuzzy-systems		fulltext			serial										1064-1246	1875-8967	
Journal of Neonatal-Perinatal Medicine	1934-5798	1878-4429	2008-01-01	1	1				http://content.iospress.com/journals/journal-of-neonatal-perinatal-medicine		journal-of-neonatal-perinatal-medicine					serial										1934-5798	1878-4429	
Journal of Neuromuscular Diseases	2214-3599	2214-3602	2014-01-01	1	1				http://content.iospress.com/journals/journal-of-neuromuscular-diseases		journal-of-neuromuscular-diseases		fulltext			serial										2214-3599	2214-3602	
Journal of Neutron Research	1023-8166	1477-2655	1993-01-01	1	1				http://content.iospress.com/journals/journal-of-neutron-research		journal-of-neutron-research			No publications between 2009-2013		serial										1023-8166	1477-2655	
Journal of Parkinson's Disease	1877-7171	1877-718X	2011-01-01	1	1				http://content.iospress.com/journals/journal-of-parkinsons-disease		journal-of-parkinsons-disease					serial										1877-7171	1877-718X	
Journal of Pediatric Biochemistry	1879-5390	1879-5404	2010-01-01	1	1	2014-12-31	4	4	http://content.iospress.com/journals/journal-of-pediatric-biochemistry		journal-of-pediatric-biochemistry		fulltext	transfer out (2015): Georg Thieme Verlag		serial										1879-5390	1879-5404	
Journal of Pediatric Epilepsy	2146-457X	2146-4588	2012-01-01	1	1	2014-12-31	3	4	http://content.iospress.com/journals/journal-of-pediatric-epilepsy		journal-of-pediatric-epilepsy		fulltext	 transfer out (2015): Georg Thieme Verlag		serial										2146-457X	2146-4588	
Journal of Pediatric Genetics	2146-4596	2146-460X	2012-01-01	1	1	2014-12-31	3	4	http://content.iospress.com/journals/journal-of-pediatric-genetics		journal-of-pediatric-genetics		fulltext	transfer out (2015): Georg Thieme Verlag		serial										2146-4596	2146-460X	
Journal of Pediatric Infectious Diseases	1305-7707	1305-7693	2006-01-01	1	1	2014-12-31	9	4	http://content.iospress.com/journals/journal-of-pediatric-infectious-diseases		journal-of-pediatric-infectious-diseases			transfer out (2015): Georg Thieme Verlag		serial										1305-7707	1305-7693	
Journal of Pediatric Intensive Care	2146-4618	2146-4626	2012-01-01	1	1	2014-12-31	3	4	http://content.iospress.com/journals/journal-of-pediatric-intensive-care		journal-of-pediatric-intensive-care		fulltext	transfer out (2015): Georg Thieme Verlag		serial										2146-4618	2146-4626	
Journal of Pediatric Neurology	1304-2580	1875-9041	2003-01-01	1	1	2014-12-31	12	4	http://content.iospress.com/journals/journal-of-pediatric-neurology		journal-of-pediatric-neurology			transfer out (2015): Georg Thieme Verlag		serial										1304-2580	1875-9041	
Journal of Pediatric Neuroradiology	1309-6680	1309-6745	2012-01-01	1	1	2014-12-31	3	4	http://content.iospress.com/journals/journal-of-pediatric-neuroradiology		journal-of-pediatric-neuroradiology		fulltext	transfer out (2015): Georg Thieme Verlag		serial										1309-6680	1309-6745	
Journal of Pediatric Rehabilitation Medicine	1874-5393	1875-8894	2008-01-01	1	1				http://content.iospress.com/journals/journal-of-pediatric-rehabilitation-medicine-an-inderdisciplinary-approach		journal-of-pediatric-rehabilitation-medicine-an-inderdisciplinary-approach					serial										1874-5393	1875-8894	
Journal of Resources, Energy and Development	0975-7554	0975-7562	2004-01-01	1	1				http://content.iospress.com/journals/journal-of-resources-energy-and-development		journal-of-resources-energy-and-development		fulltext			serial										0975-7554	0975-7562	
Journal of Sports Analytics	2215-020X	2215-0218	2015-09-01	1	1				http://content.iospress.com/journals/journal-of-sports-analytics		journal-of-sports-analytics		fulltext	New for 2015		serial										2215-020X	2215-0218	
Journal of Vestibular Research	0957-4271	1878-6464	1994-01-01	4	5				http://content.iospress.com/journals/journal-of-vestibular-research		journal-of-vestibular-research		fulltext			serial										0957-4271	1878-6464	
Journal of Visualization	1343-8875	1875-8975	1998-01-01	1	1	2009-01-01	12	4	http://content.iospress.com/journals/journal-of-visualization		journal-of-visualization					serial										1343-8875	1875-8975	
Journal of Vocational Rehabilitation	1052-2263	1878-6316	1991-01-01	1	1				http://content.iospress.com/journals/journal-of-vocational-rehabilitation		journal-of-vocational-rehabilitation		fulltext			serial										1052-2263	1878-6316	
Journal of X-Ray Science and Technology	0895-3996	1095-9114	1989-01-01	1	1				http://content.iospress.com/journals/journal-of-x-ray-science-and-technology		journal-of-x-ray-science-and-technology					serial										0895-3996	1095-9114	
Main Group Chemistry	1024-1221	1745-1167	1995-01-01	1	1				http://content.iospress.com/journals/main-group-chemistry		main-group-chemistry					serial										1024-1221	1745-1167	
Mediterranean Journal of Nutrition and Metabolism	1973-798X	1973-7998	2008-01-01	1	1				http://content.iospress.com/journals/mediterranean-journal-of-nutrition-and-metabolism		mediterranean-journal-of-nutrition-and-metabolism		fulltext			serial										1973-798X	1973-7998	
Mobile Information Systems	1574-017X	1875-905X	2005-01-01	1	1				http://content.iospress.com/journals/mobile-information-systems		mobile-information-systems					serial										1574-017X	1875-905X	
Model Assisted Statistics and Applications	1574-1699	1875-9068	2005-01-01	1	1				http://content.iospress.com/journals/model-assisted-statistics-and-applications		model-assisted-statistics-and-applications		fulltext			serial										1574-1699	1875-9068	
Multiagent and Grid Systems	1574-1702	1875-9076	2005-01-01	1	1				http://content.iospress.com/journals/multiagent-and-grid-systems		multiagent-and-grid-systems					serial										1574-1702	1875-9076	
NeuroRehabilitation	1053-8135	1878-6448	1993-01-01	3	1				http://content.iospress.com/journals/neurorehabilitation		neurorehabilitation		fulltext			serial										1053-8135	1878-6448	
Nutrition and Aging	1879-7717	1879-7725	2012-01-01	1	1	2016-02-29	3	2-4	http://content.iospress.com/journals/nutrition-and-aging		nutrition-and-aging		fulltext	Now: Nutrition and Healthy Aging		serial										1879-7717	1879-7725	
Occupational Ergonomics	1359-9364	1875-9092	1998-01-01	1	1				http://content.iospress.com/journals/occupational-ergonomics		occupational-ergonomics					serial										1359-9364	1875-9092	
Pharmaceuticals Policy and Law	1389-2827		1999-01-01	1	-1				http://content.iospress.com/journals/pharmaceuticals-policy-and-law		pharmaceuticals-policy-and-law					serial										1389-2827		
Physiotherapy Practice and Research	2213-0683	2213-0691	2009-01-01	30	1				http://content.iospress.com/journals/physiotherapy-practice-and-research		physiotherapy-practice-and-research		fulltext			serial										2213-0683	2213-0691	
Restorative Neurology and Neuroscience	0922-6028	1878-3627	1989-01-01	1	1				http://content.iospress.com/journals/restorative-neurology-and-neuroscience		restorative-neurology-and-neuroscience					serial										0922-6028	1878-3627	
Risk and Decision Analysis	1569-7371	1875-9173	2009-01-01	1	1				http://content.iospress.com/journals/risk-and-decision-analysis		risk-and-decision-analysis					serial										1569-7371	1875-9173	
Scientific Programming	1058-9244	1875-919X	1992-01-01	1	1				http://content.iospress.com/journals/scientific-programming		scientific-programming					serial										1058-9244	1875-919X	
Semantic Web	1570-0844	2210-4968	2010-01-01	1	01-Feb				http://content.iospress.com/journals/semantic-web		semantic-web		fulltext			serial										1570-0844	2210-4968	
Shock and Vibration	1070-9622	1875-9203	1998-01-01	5	1				http://content.iospress.com/journals/shock-and-vibration		shock-and-vibration					serial										1070-9622	1875-9203	
Space Communications	0924-8625	1875-9211	1997-01-01	14	4	2013-06-30	22	2-4	http://content.iospress.com/journals/space-communications		space-communications		fulltext	No issue published between 2010-2012		serial										0924-8625	1875-9211	
Spectroscopy	0712-4813	1875-922X	1997-01-01	13	2	2012-12-31	27	1	http://content.iospress.com/journals/spectroscopy		spectroscopy		fulltext	transfer out(2012): Hindawi Publishing		serial										0712-4813	1875-922X	
Statistical Journal of the IAOS: Journal of the International Association for Official Statistics	1874-7655	1875-9254	2007-01-01	24	1				http://content.iospress.com/journals/statistical-journal-of-the-iaos		statistical-journal-of-the-iaos					serial										1874-7655	1875-9254	
Statistical Journal of the United Nations Economic Commission for Europe	0167-8000	1875-9238	1982-01-01	1	1	2006-01-01	23	4	http://content.iospress.com/journals/statistical-journal-of-the-united-nations-economic-commission-for-europe		statistical-journal-of-the-united-nations-economic-commission-for-europe			Now: Statistical Journal of the IAOS: Journal of the International Association for Official Statistics		serial										0167-8000	1875-9238	
Strength, Fracture and Complexity	1567-2069	1875-9262	2003-01-01	1	1				http://content.iospress.com/journals/strength-fracture-and-complexity		strength-fracture-and-complexity					serial										1567-2069	1875-9262	
Technology and Disability	1055-4181	1878-643X	1992-01-01	1	2				http://content.iospress.com/journals/technology-and-disability		technology-and-disability		fulltext			serial										1055-4181	1878-643X	
Technology and Health Care	0928-7329	1878-7401	1993-01-01	1	1				http://content.iospress.com/journals/technology-and-health-care		technology-and-health-care					serial										0928-7329	1878-7401	
The International Journal of Risk and Safety in Medicine	0924-6479	1878-6847	1998-01-01	11	1				http://content.iospress.com/journals/the-international-journal-of-risk-and-safety-in-medicine		the-international-journal-of-risk-and-safety-in-medicine					serial										0924-6479	1878-6847	
Web Intelligence	2405-6456	2405-6464	2015-01-01	13	1				http://content.iospress.com/journals/web-intelligence		web-intelligence		fulltext	previously: Web Intelligence and Agent Systems (2003-2014)		serial										2405-6456	2405-6464	
Web Intelligence and Agent Systems	1570-1263	1875-9289	2003-01-01	1	1	2014-12-31	12	4	http://content.iospress.com/journals/web-intelligence-and-agent-systems-an-international-journal		web-intelligence-and-agent-systems-an-international-journal			now: Web Intelligence		serial										1570-1263	1875-9289	
Work: A Journal of Prevention, Assessment and Rehabilitation	1051-9815	1875-9270	1990-01-01	1	1				http://content.iospress.com/journals/work		work		fulltext			serial										1051-9815	1875-9270	
World Digital Libraries	0974-567X	0975-7597	2008-01-01	1	1				http://content.iospress.com/journals/world-digital-libraries-an-international-journal		world-digital-libraries-an-international-journal		fulltext			serial										0974-567X	0975-7597	
Zeitschrift für Medizinische Psychologie	0940-5569	1875-9246	1998-01-01	7	1	2012-12-31	21	4	http://content.iospress.com/journals/zeitschrift-fur-medizinische-psychologie		zeitschrift-fur-medizinische-psychologie		fulltext			serial										0940-5569	1875-9246	
