publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id_	access_type
Proceedings of the Second Berkeley Symposium on Mathematical Statistics and Probability									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-second-berkeley-symposium-on-mathematical-statistics-and-probability/toc/bsmsp/1200500213		euclid.bsmsp/1200500213		fulltext		University of California Press	Monograph	1951.0	39463.0			Neyman	euclid.bsmsp/0097-0433		F
Proceedings of the Third Berkeley Symposium on Mathematical Statistics and Probability, Volume 1: Contributions to the Theory of Statistics									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-third-berkeley-symposium-on-mathematical-statistics-and-probability-volume-1-contributions-to-the-theory-of-statistics/toc/bsmsp/1200501640		euclid.bsmsp/1200501640		fulltext		University of California Press	Monograph	1956.0	39463.0	1		Neyman	euclid.bsmsp/0097-0433		F
Proceedings of the Third Berkeley Symposium on Mathematical Statistics and Probability, Volume 2: Contributions to Probability Theory									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-third-berkeley-symposium-on-mathematical-statistics-and-probability-volume-2-contributions-to-probability-theory/toc/bsmsp/1200509885		euclid.bsmsp/1200509885		fulltext		University of California Press	Monograph	1956.0	39463.0	2		Neyman	euclid.bsmsp/0097-0433		F
Proceedings of the Third Berkeley Symposium on Mathematical Statistics and Probability, Volume 3: Contributions to Astronomy and Physics									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-third-berkeley-symposium-on-mathematical-statistics-and-probability-volume-3-contributions-to-astronomy-and-physics/toc/bsmsp/1200510046		euclid.bsmsp/1200510046		fulltext		University of California Press	Monograph	1956.0	39463.0	3		Neyman	euclid.bsmsp/0097-0433		F
Proceedings of the Third Berkeley Symposium on Mathematical Statistics and Probability, Volume 4: Contributions to Biology and Problems of Health									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-third-berkeley-symposium-on-mathematical-statistics-and-probability-volume-4-contributions-to-biology-and-problems-of-health/toc/bsmsp/1200510207		euclid.bsmsp/1200510207		fulltext		University of California Press	Monograph	1956.0	39463.0	4		Neyman	euclid.bsmsp/0097-0433		F
Proceedings of the Third Berkeley Symposium on Mathematical Statistics and Probability, Volume 5: Contributions to Econometrics, Industrial Research, and Psychometry									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-third-berkeley-symposium-on-mathematical-statistics-and-probability-volume-5-contributions-to-econometrics-industrial-research-and-psychometry/toc/bsmsp/1200511851		euclid.bsmsp/1200511851		fulltext		University of California Press	Monograph	1956.0	39463.0	5		Neyman	euclid.bsmsp/0097-0433		F
Proceedings of the Fourth Berkeley Symposium on Mathematical Statistics and Probability, Volume 1: Contributions to the Theory of Statistics									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-fourth-berkeley-symposium-on-mathematical-statistics-and-probability-volume-1-contributions-to-the-theory-of-statistics/toc/bsmsp/1200512153		euclid.bsmsp/1200512153		fulltext		University of California Press	Monograph	1961.0	39463.0	1		Neyman	euclid.bsmsp/0097-0433		F
Proceedings of the Fourth Berkeley Symposium on Mathematical Statistics and Probability, Volume 2: Contributions to Probability Theory									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-fourth-berkeley-symposium-on-mathematical-statistics-and-probability-volume-2-contributions-to-probability-theory/toc/bsmsp/1200512587		euclid.bsmsp/1200512587		fulltext		University of California Press	Monograph	1961.0	39463.0	2		Neyman	euclid.bsmsp/0097-0433		F
Proceedings of the Fourth Berkeley Symposium on Mathematical Statistics and Probability, Volume 3: Contributions to Astronomy, Meteorology, and Physics									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-fourth-berkeley-symposium-on-mathematical-statistics-and-probability-volume-3-contributions-to-astronomy-meteorology-and-physics/toc/bsmsp/1200512801		euclid.bsmsp/1200512801		fulltext		University of California Press	Monograph	1961.0	39463.0	3		Neyman	euclid.bsmsp/0097-0433		F
Proceedings of the Fourth Berkeley Symposium on Mathematical Statistics and Probability, Volume 4: Contributions to Biology and Problems of Medicine									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-fourth-berkeley-symposium-on-mathematical-statistics-and-probability-volume-4-contributions-to-biology-and-problems-of-medicine/toc/bsmsp/1200512872		euclid.bsmsp/1200512872		fulltext		University of California Press	Monograph	1961.0	39463.0	4		Neyman	euclid.bsmsp/0097-0433		F
Proceedings of the Fifth Berkeley Symposium on Mathematical Statistics and Probability, Volume 1: Statistics									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-fifth-berkeley-symposium-on-mathematical-statistics-and-probability-volume-1-statistics/toc/bsmsp/1200512974		euclid.bsmsp/1200512974		fulltext		University of California Press	Monograph	1967.0	39463.0	1		Le Cam	euclid.bsmsp/0097-0433		F
Proceedings of the Fifth Berkeley Symposium on Mathematical Statistics and Probability, Volume 2: Contributions to Probability Theory, Part 1									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-fifth-berkeley-symposium-on-mathematical-statistics-and-probability-volume-2-contributions-to-probability-theory-part-1/toc/bsmsp/1200513258		euclid.bsmsp/1200513258		fulltext		University of California Press	Monograph	1967.0	39463.0	2		Le Cam	euclid.bsmsp/0097-0433		F
Proceedings of the Fifth Berkeley Symposium on Mathematical Statistics and Probability, Volume 2: Contributions to Probability Theory, Part 2									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-fifth-berkeley-symposium-on-mathematical-statistics-and-probability-volume-2-contributions-to-probability-theory-part-2/toc/bsmsp/1200513453		euclid.bsmsp/1200513453		fulltext		University of California Press	Monograph	1967.0	39463.0			Le Cam	euclid.bsmsp/0097-0433		F
Proceedings of the Fifth Berkeley Symposium on Mathematical Statistics and Probability, Volume 3: Physical Sciences									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-fifth-berkeley-symposium-on-mathematical-statistics-and-probability-volume-3-physical-sciences/toc/bsmsp/1200513615		euclid.bsmsp/1200513615		fulltext		University of California Press	Monograph	1967.0	39463.0	3		Le Cam	euclid.bsmsp/0097-0433		F
Proceedings of the Fifth Berkeley Symposium on Mathematical Statistics and Probability, Volume 4: Biology and Problems of Health									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-fifth-berkeley-symposium-on-mathematical-statistics-and-probability-volume-4-biology-and-problems-of-health/toc/bsmsp/1200513779		euclid.bsmsp/1200513779		fulltext		University of California Press	Monograph	1967.0	39463.0	4		Le Cam	euclid.bsmsp/0097-0433		F
Proceedings of the Fifth Berkeley Symposium on Mathematical Statistics and Probability, Volume 5: Weather Modification									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-fifth-berkeley-symposium-on-mathematical-statistics-and-probability-volume-5-weather-modification/toc/bsmsp/1200513981		euclid.bsmsp/1200513981		fulltext		University of California Press	Monograph	1967.0	39463.0	5		Le Cam	euclid.bsmsp/0097-0433		F
Proceedings of the Sixth Berkeley Symposium on Mathematical Statistics and Probability, Volume 1: Theory of Statistics									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-sixth-berkeley-symposium-on-mathematical-statistics-and-probability-volume-1-theory-of-statistics/toc/bsmsp/1200514080		euclid.bsmsp/1200514080		fulltext		University of California Press	Monograph	1972.0	39463.0	1		Le Cam	euclid.bsmsp/0097-0433		F
Proceedings of the Sixth Berkeley Symposium on Mathematical Statistics and Probability, Volume 2: Probability Theory									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-sixth-berkeley-symposium-on-mathematical-statistics-and-probability-volume-2-probability-theory/toc/bsmsp/1200514204		euclid.bsmsp/1200514204		fulltext		University of California Press	Monograph	1972.0	39463.0	2		Le Cam	euclid.bsmsp/0097-0433		F
Proceedings of the Sixth Berkeley Symposium on Mathematical Statistics and Probability, Volume 3: Probability Theory									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-sixth-berkeley-symposium-on-mathematical-statistics-and-probability-volume-3-probability-theory/toc/bsmsp/1200514326		euclid.bsmsp/1200514326		fulltext		University of California Press	Monograph	1972.0	39463.0	3		Le Cam	euclid.bsmsp/0097-0433		F
Proceedings of the Sixth Berkeley Symposium on Mathematical Statistics and Probability, Volume 4: Biology and Health									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-sixth-berkeley-symposium-on-mathematical-statistics-and-probability-volume-4-biology-and-health/toc/bsmsp/1200514448		euclid.bsmsp/1200514448		fulltext		University of California Press	Monograph	1972.0	39463.0	4		Le Cam	euclid.bsmsp/0097-0433		F
Proceedings of the Sixth Berkeley Symposium on Mathematical Statistics and Probability, Volume 5: Darwinian, Neo-Darwinian, and non-Darwinian Evolution									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-sixth-berkeley-symposium-on-mathematical-statistics-and-probability-volume-5-darwinian-neo-darwinian-and-non-darwinian-evolution/toc/bsmsp/1200514588		euclid.bsmsp/1200514588		fulltext		University of California Press	Monograph	1972.0	39463.0	5		Le Cam	euclid.bsmsp/0097-0433		F
Proceedings of the Sixth Berkeley Symposium on Mathematical Statistics and Probability, Volume 6: Effects of Pollution on Health									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-sixth-berkeley-symposium-on-mathematical-statistics-and-probability-volume-6-effects-of-pollution-on-health/toc/bsmsp/1200514696		euclid.bsmsp/1200514696		fulltext		University of California Press	Monograph	1972.0	39463.0	6		Le Cam	euclid.bsmsp/0097-0433		F
Nonparametric Bayesian Inference	978-0-940600-82-9								https://projecteuclid.org/ebooks/nsf-cbms-regional-conference-series-in-probability-and-statistics/nonparametric-bayesian-inference/toc/10.1214/cbms/1362163742	Müller	euclid.cbms/1362163742		fulltext		Institute of Mathematical Statistics	Monograph	2013.0	41334.0	9			euclid.cbms/2329-0978		F
Group invariance in applications in statistics	0-94-0600-15-3								https://projecteuclid.org/ebooks/nsf-cbms-regional-conference-series-in-probability-and-statistics/group-invariance-in-applications-in-statistics/toc/10.1214/cbms/1462061029	Easton	euclid.cbms/1462061029		fulltext		Institute of Mathematical Statistics	Monograph	1989.0	42491.0	1			euclid.cbms/2329-0978		F
Empirical Processes: Theory and Applications	0-94-0600-16-1								https://projecteuclid.org/ebooks/nsf-cbms-regional-conference-series-in-probability-and-statistics/empirical-processes/toc/10.1214/cbms/1462061091	Pollard	euclid.cbms/1462061091		fulltext		Institute of Mathematical Statistics	Monograph	1990.0	42491.0	2			euclid.cbms/2329-0978		F
Stochastic curve estimation	0-94-0600-22-6								https://projecteuclid.org/ebooks/nsf-cbms-regional-conference-series-in-probability-and-statistics/stochastic-curve-estimation/toc/10.1214/cbms/1462061176	Rosenblatt	euclid.cbms/1462061176		fulltext		Institute of Mathematical Statistics	Monograph	1991.0	42491.0	3			euclid.cbms/2329-0978		F
Mixture Models: Theory, Geometry and Applications	0-94-0600-32-3								https://projecteuclid.org/ebooks/nsf-cbms-regional-conference-series-in-probability-and-statistics/mixture-models/toc/10.1214/cbms/1462106013	Lindsay	euclid.cbms/1462106013		fulltext		Institute of Mathematical Statistics	Monograph	1995.0	42491.0	5			euclid.cbms/2329-0978		F
Statistical Inference From Genetic Data on Pedigrees	0-94-0600-49-8								https://projecteuclid.org/ebooks/nsf-cbms-regional-conference-series-in-probability-and-statistics/statistical-inference-from-genetic-data-on-pedigrees/toc/10.1214/cbms/1462106037	Thompson	euclid.cbms/1462106037		fulltext		Institute of Mathematical Statistics	Monograph	2000.0	42491.0	6			euclid.cbms/2329-0978		F
Generalized Linear Mixed Models	0-94-0600-54-4								https://projecteuclid.org/ebooks/nsf-cbms-regional-conference-series-in-probability-and-statistics/generalized-linear-mixed-models/toc/10.1214/cbms/1462106059	McCulloch	euclid.cbms/1462106059		fulltext		Institute of Mathematical Statistics	Monograph	2003.0	42491.0	7			euclid.cbms/2329-0978		F
Analysis of Longitudinal and Cluster-Correlated Data	0-94-0600-60-9								https://projecteuclid.org/ebooks/nsf-cbms-regional-conference-series-in-probability-and-statistics/analysis-of-longitudinal-and-cluster-correlated-data/toc/10.1214/cbms/1462106075	Laird	euclid.cbms/1462106075		fulltext		Institute of Mathematical Statistics	Monograph	2004.0	42491.0	8			euclid.cbms/2329-0978		F
Higher Order Asymptotics	0-94-0600-31-5								https://projecteuclid.org/ebooks/nsf-cbms-regional-conference-series-in-probability-and-statistics/higher-order-asymptotics/toc/10.1214/cbms/1462297300	Ghosh	euclid.cbms/1462297300		fulltext		Institute of Mathematical Statistics	Monograph	1994.0	42493.0	4			euclid.cbms/2329-0978		F
Bayesian Inference and Computing for Spatial Point Patterns	978-0-940600-85-0								https://projecteuclid.org/ebooks/nsf-cbms-regional-conference-series-in-probability-and-statistics/bayesian-inference-and-computing-for-spatial-point-patterns/toc/10.1214/cbms/1530065028	Gelfand	euclid.cbms/1530065028		fulltext		Institute of Mathematical Statistics	Monograph	2018.0	43278.0	10			euclid.cbms/2329-0978		F
NSF-CBMS Regional Conference Series in Probability and Statistics		2329-0978							https://projecteuclid.org/ebooks/nsf-cbms-regional-conference-series-in-probability-and-statistics		euclid.cbms/2329-0978		fulltext	All content is open.	Institute of Mathematical Statistics	Serial								F
Address of professor Benjamin Peirce, President of the American Association for the year 1853, on retiring from the duties of President	1-4297-0039-4								https://projecteuclid.org/ebooks/cornell-university-library-historical-math-monographs/address-of-professor-benjamin-peirce-president-of-the-american-association-for-the-advancement-of-science-for-the-year-1853-on-retiring-from-the-duties-of-president/toc/10.3792/chmm/1263240516	Peirce	euclid.chmm/1263240516		fulltext		Cornell University Library	Monograph	1853.0	40189.0				euclid.chmm/2694-5118		F
The algebra of logic	1-4297-0440-3								https://projecteuclid.org/ebooks/cornell-university-library-historical-math-monographs/the-algebra-of-logic/toc/10.3792/chmm/1263313783	Couturat	euclid.chmm/1263313783		fulltext		Cornell University Library	Monograph	1914.0	42313.0			Robinson	euclid.chmm/2694-5118		F
Bibliography of quaternions and allied systems of mathematics	1-4297-0087-4								https://projecteuclid.org/ebooks/cornell-university-library-historical-math-monographs/bibliography-of-quaternions-and-allied-systems-of-mathematics/toc/10.3792/chmm/1263317072	Macfarlane	euclid.chmm/1263317072		fulltext		Cornell University Library	Monograph	1904.0	42313.0				euclid.chmm/2694-5118		F
Bibliographie der höheren algebraischen kurven für den zeitabschnitt von 1890-1904	1-4297-0086-6								https://projecteuclid.org/ebooks/cornell-university-library-historical-math-monographs/bibliographie-der-hoheren-algebraischen-kurven-fur-den-zeitabschnitt-von-1890-1904/toc/10.3792/chmm/1263317190	Wieleitner	euclid.chmm/1263317190		fulltext		Cornell University Library	Monograph	1905.0	42313.0				euclid.chmm/2694-5118		F
Algebraic invariants	1-4297-0042-4								https://projecteuclid.org/ebooks/cornell-university-library-historical-math-monographs/algebraic-invariants/toc/10.3792/chmm/1263317248	Dickson	euclid.chmm/1263317248		fulltext		Cornell University Library	Monograph	1914.0	42313.0				euclid.chmm/2694-5118		F
The algebraic theory of modular systems	1-4297-0441-1								https://projecteuclid.org/ebooks/cornell-university-library-historical-math-monographs/the-algebraic-theory-of-modular-systems/toc/10.3792/chmm/1263317740	Macaulay	euclid.chmm/1263317740		fulltext		Cornell University Library	Monograph	1916.0	42313.0				euclid.chmm/2694-5118		F
Anicii Manlii Torquati Severini Boetii: De institutione arithmetica libri duo. De institutione musica libri quinque. Accedit geometria quae fertur Boetii: E libris manu scriptis edidit Godofredus Friedlein	1-4297-0071-8								https://projecteuclid.org/ebooks/cornell-university-library-historical-math-monographs/anicii-manlii-torquati-severini-boetii-de-institutione-arithmetica-libri-duo-de-institutione-musica-libri-quinque-accedit-geometria-quae-fertur-boetii/toc/10.3792/chmm/1424377199	Boëthius	euclid.chmm/1424377199		fulltext		Cornell University Library	Monograph	1867.0	42313.0			Friedlein	euclid.chmm/2694-5118		F
Applicazioni geometriche del calcolo infinitesimale	1-4297-0077-7								https://projecteuclid.org/ebooks/cornell-university-library-historical-math-monographs/applicazioni-geometriche-del-calcolo-infinitesimale/toc/10.3792/chmm/1424377228	Peano	euclid.chmm/1424377228		fulltext		Cornell University Library	Monograph	1887.0	42313.0				euclid.chmm/2694-5118		F
Apolarität und rationale Curven: Eine systematische Voruntersuchung zu einer allgemeinen Theorie der linearen Räume	1-4297-0074-2								https://projecteuclid.org/ebooks/cornell-university-library-historical-math-monographs/apolaritat-und-rationale-curven/toc/10.3792/chmm/1424377263	Meyer	euclid.chmm/1424377263		fulltext		Cornell University Library	Monograph	1883.0	42313.0				euclid.chmm/2694-5118		F
Advanced calculus: a text upon select parts of differential calculus, differential equations, integral calculus, theory of functions; with numerous exercises	1-4297-0040-8								https://projecteuclid.org/ebooks/cornell-university-library-historical-math-monographs/advanced-calculus/toc/10.3792/chmm/1428682280	Wilson	euclid.chmm/1428682280		fulltext		Cornell University Library	Monograph	1912.0	42313.0				euclid.chmm/2694-5118		F
Astronomie sphérique: notes sur le cours professé pendant l'année 1887	1-4297-0078-5								https://projecteuclid.org/ebooks/cornell-university-library-historical-math-monographs/astronomie-spherique/toc/10.3792/chmm/1428684841	Bonnet	euclid.chmm/1428684841		fulltext		Cornell University Library	Monograph	1889.0	42313.0			Blondin	euclid.chmm/2694-5118		F
Allgemeine Üntersuchungen aus der Theorie der Differentialgleichungen	1-4297-0044-0								https://projecteuclid.org/ebooks/cornell-university-library-historical-math-monographs/allgemeine-untersuchungen-aus-der-theorie-der-differentialgleichungen/toc/10.3792/chmm/1428685512	Koenigsberger	euclid.chmm/1428685512		fulltext		Cornell University Library	Monograph	1882.0	42313.0				euclid.chmm/2694-5118		F
Analytische Geometrie des Punktepaares, des Kegelschnittes und der fläche zweiter Ordnung, zweiter Teilband	1-4297-0069-6								https://projecteuclid.org/ebooks/cornell-university-library-historical-math-monographs/analytische-geometrie-des-punktepaares-des-kegelschnittes-und-der-flache-zweiter-ordnung-zweiter-teilband/toc/10.3792/chmm/1428686350	Staude	euclid.chmm/1428686350		fulltext		Cornell University Library	Monograph	1910.0	42313.0				euclid.chmm/2694-5118		F
Abel's theorem and the allied theory: including the theory of the theta functions	1-4297-0033-5								https://projecteuclid.org/ebooks/cornell-university-library-historical-math-monographs/abel-s-theorem-and-the-allied-theory/toc/10.3792/chmm/1428686976	Baker	euclid.chmm/1428686976		fulltext		Cornell University Library	Monograph	1897.0	42313.0				euclid.chmm/2694-5118		F
Cornell University Library Historical Math Monographs		2694-5118							https://projecteuclid.org/ebooks/cornell-university-library-historical-math-monographs		euclid.chmm/2694-5118		fulltext	All content is open.	Cornell University Library	Serial								F
Communications in Mathematical Physics	0010-3616	1432-0916	1965	1.0	1	1997-02-01	183.0	3.0	https://projecteuclid.org/journals/communications-in-mathematical-physics		communications-in-mathematical-physics		fulltext	All content is open.	Springer	Serial								F
Electronic Communications in Probability		1083-589X	1996	1.0					https://projecteuclid.org/journals/electronic-communications-in-probability		electronic-communications-in-probability		fulltext	All content is open.	Institute of Mathematical Statistics and Bernoulli Society	Serial								F
Electronic Journal of Probability		1083-6489	1996	1.0					https://projecteuclid.org/journals/electronic-journal-of-probability		electronic-journal-of-probability		fulltext	All content is open.	Institute of Mathematical Statistics and Bernoulli Society	Serial								F
Electronic Journal of Statistics		1935-7524	2007	1.0					https://projecteuclid.org/journals/electronic-journal-of-statistics		electronic-journal-of-statistics		fulltext	All content is open.	Institute of Mathematical Statistics and Bernoulli Society	Serial								F
Hiroshima Mathematical Journal	0018-2079		1971	1.0	1				https://projecteuclid.org/journals/hiroshima-mathematical-journal		hiroshima-mathematical-journal		fulltext	All content is open.	Hiroshima University, Mathematics Program	Serial							euclid.hmj/0386-3026	F
Journal of Science of the Hiroshima University, Series A (Mathematics, Physics, Chemistry)	0386-3018		1930	1.0		1960-12-01	24.0	3.0	https://projecteuclid.org/journals/hiroshima-mathematical-journal		hiroshima-mathematical-journal		fulltext		Hiroshima University, Mathematics Program	Serial								F
Journal of Science of the Hiroshima University, Series A-I (Mathematics)	0386-3026		1961	25.0	1	1970-01-01	34.0	2.0	https://projecteuclid.org/journals/hiroshima-mathematical-journal		hiroshima-mathematical-journal		fulltext		Hiroshima University, Mathematics Program	Serial							euclid.hmj/0386-3018	F
Beyond Parametrics in Interdisciplinary Research: Festschrift in Honor of Professor Pranab K. Sen	978-0-940600-73-7								https://projecteuclid.org/ebooks/institute-of-mathematical-statistics-collections/beyond-parametrics-in-interdisciplinary-research-festschrift-in-honor-of-professor-pranab-k-sen/toc/10.1214/imsc/1207058254		euclid.imsc/1207058254		fulltext		Institute of Mathematical Statistics	Monograph	2008.0	42313.0	1		Balakrishnan	euclid.imsc/1939-4039		F
Probability and Statistics: Essays in Honor of David A. Freedman	978-0-940600-74-4								https://projecteuclid.org/ebooks/institute-of-mathematical-statistics-collections/probability-and-statistics-essays-in-honor-of-david-a-freedman/toc/10.1214/imsc/1207580069		euclid.imsc/1207580069		fulltext		Institute of Mathematical Statistics	Monograph	2008.0	42313.0	2		Nolan	euclid.imsc/1939-4039		F
Pushing the Limits of Contemporary Statistics: Contributions in Honor of Jayanta K. Ghosh	978-0-940600-75-1								https://projecteuclid.org/ebooks/institute-of-mathematical-statistics-collections/pushing-the-limits-of-contemporary-statistics-contributions-in-honor-of-jayanta-k-ghosh/toc/10.1214/imsc/1209398451		euclid.imsc/1209398451		fulltext		Institute of Mathematical Statistics	Monograph	2008.0	42313.0	3		Clarke	euclid.imsc/1939-4039		F
Markov Processes and Related Topics: A Festschrift for Thomas G. Kurtz	978-0-940600-76-8								https://projecteuclid.org/ebooks/institute-of-mathematical-statistics-collections/markov-processes-and-related-topics-a-festschrift-for-thomas-g-kurtz/toc/10.1214/074921708		euclid.imsc/1233152925		fulltext		Institute of Mathematical Statistics	Monograph	2008.0	42313.0	4		Ethier	euclid.imsc/1939-4039		F
