publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
Cancer Therapeutic Targets		978-1-4614-6613-0							http://link.springer.com/10.1007/978-1-4614-6613-0		10.1007/978-1-4614-6613-0		fulltext		Springer New York	Monograph	2015				Marshall		
Climatology	978-0-87933-009-5	978-0-387-30749-7							http://link.springer.com/10.1007/0-387-30749-4		10.1007/0-387-30749-4		fulltext		Springer US	Monograph	1987					5898	
Clinical Toxinology in Asia Pacific and Africa		978-94-007-6288-6							http://link.springer.com/10.1007/978-94-007-6288-6		10.1007/978-94-007-6288-6		fulltext		Springer Netherlands	Monograph	2014				Gopalakrishnakone		
Clinical Toxinology in Asia Pacific and Africa	978-94-007-6385-2	978-94-007-6386-9							http://link.springer.com/10.1007/978-94-007-6386-9		10.1007/978-94-007-6386-9		fulltext		Springer Netherlands	Monograph	2015		2	2015	Gopalakrishnakone	13330	
Coloproctology		978-3-319-10154-5							http://link.springer.com/10.1007/978-3-319-10154-5		10.1007/978-3-319-10154-5		fulltext		Springer International Publishing	Monograph	2014				Ratto		
Comparative Effectiveness Research in Health Services		978-1-4899-7586-7							http://link.springer.com/10.1007/978-1-4899-7586-7		10.1007/978-1-4899-7586-7		fulltext		Springer US	Monograph	2016				Levy	13490	
Complex Systems in Finance and Econometrics	978-1-4419-7700-7	978-1-4419-7701-4							http://link.springer.com/10.1007/978-1-4419-7701-4		10.1007/978-1-4419-7701-4		fulltext		Springer New York	Monograph	2011				Meyers		
Comprehensive Electrocardiology	978-1-84882-045-6	978-1-84882-046-3							http://link.springer.com/10.1007/978-1-84882-046-3		10.1007/978-1-84882-046-3		fulltext		Springer London	Monograph	2010			2	Macfarlane		
Comprehensive Guide to Autism	978-1-4614-4787-0	978-1-4614-4788-7							http://link.springer.com/10.1007/978-1-4614-4788-7		10.1007/978-1-4614-4788-7		fulltext		Springer New York	Monograph	2014			2014	Patel		
Comprehensive Guide to Post-Traumatic Stress Disorder		978-3-319-08613-2							http://link.springer.com/10.1007/978-3-319-08613-2		10.1007/978-3-319-08613-2		fulltext		Springer International Publishing	Monograph	2016				Martin		
Computational Complexity	978-1-4614-1799-6	978-1-4614-1800-9							http://link.springer.com/10.1007/978-1-4614-1800-9		10.1007/978-1-4614-1800-9		fulltext		Springer New York	Monograph	2012				Meyers		
Computational Methods in Biophysics, Biomaterials, Biotechnology and Medical Systems	978-1-4020-7110-2	978-0-306-48329-5							http://link.springer.com/10.1007/0-306-48329-7		10.1007/0-306-48329-7		fulltext		Springer US	Monograph	2002				Leondes		
Computer Science and Communications Dictionary	978-0-7923-8425-0	978-1-4020-0613-5							http://link.springer.com/10.1007/1-4020-0613-6		10.1007/1-4020-0613-6		fulltext		Springer US	Monograph	2001						
Computer Vision	978-0-387-30771-8	978-0-387-31439-6							http://link.springer.com/10.1007/978-0-387-31439-6		10.1007/978-0-387-31439-6		fulltext		Springer US	Monograph	2014				Ikeuchi		
Concise Encyclopedia of Supersymmetry	978-1-4020-1338-6	978-1-4020-4522-6							http://link.springer.com/10.1007/1-4020-4522-0	Duplij	10.1007/1-4020-4522-0		fulltext		Springer Netherlands	Monograph	2004						
Conflict, Violence and Peace		978-981-4585-98-9							http://link.springer.com/10.1007/978-981-4585-98-9		10.1007/978-981-4585-98-9		fulltext		Springer Singapore	Monograph	2015		11		Harker	13414	
Contemporary Liver Transplantation		978-3-319-05543-5							http://link.springer.com/10.1007/978-3-319-05543-5		10.1007/978-3-319-05543-5		fulltext		Springer International Publishing	Monograph	2014				Doria		
Critical Care Toxicology		978-3-319-20790-2							http://link.springer.com/10.1007/978-3-319-20790-2		10.1007/978-3-319-20790-2		fulltext		Springer International Publishing	Monograph	2016				Brent		
DGIM Innere Medizin		978-3-642-54676-1							http://link.springer.com/10.1007/978-3-642-54676-1		10.1007/978-3-642-54676-1		fulltext		Springer Berlin Heidelberg	Monograph	2015				Lehnert	13534	
Dermatology Therapy	978-3-540-00864-4	978-3-540-29668-3							http://link.springer.com/10.1007/3-540-29668-9		10.1007/3-540-29668-9		fulltext		Springer Berlin Heidelberg	Monograph	2004				Levine	5396	
Dictionary Geotechnical Engineering/Wörterbuch GeoTechnik	978-3-642-41713-9	978-3-642-41714-6							http://link.springer.com/10.1007/978-3-642-41714-6	Herrmann	10.1007/978-3-642-41714-6		fulltext		Springer Berlin Heidelberg	Monograph	2014						
Dictionary of Gems and Gemology	978-3-540-72795-8	978-3-540-72816-0							http://link.springer.com/10.1007/978-3-540-72816-0		10.1007/978-3-540-72816-0		fulltext		Springer Berlin Heidelberg	Monograph	2009				Manutchehr-Danai		
Dictionary of Minor Planet Names	978-3-540-00238-3	978-3-540-29925-7							http://link.springer.com/10.1007/978-3-540-29925-7	Schmadel	10.1007/978-3-540-29925-7		fulltext		Springer Berlin Heidelberg	Monograph	2003						
Dictionary of Minor Planet Names	978-3-540-34360-8	978-3-540-34361-5							http://link.springer.com/10.1007/978-3-540-34361-5	Schmadel	10.1007/978-3-540-34361-5		fulltext		Springer Berlin Heidelberg	Monograph	2006						
Die Geburtshilfe		978-3-662-44369-9							http://link.springer.com/10.1007/978-3-662-44369-9		10.1007/978-3-662-44369-9		fulltext		Springer Berlin Heidelberg	Monograph	2015				Schneider	13534	
Die Intensivmedizin		978-3-642-54675-4							http://link.springer.com/10.1007/978-3-642-54675-4		10.1007/978-3-642-54675-4		fulltext		Springer Berlin Heidelberg	Monograph	2015				Marx	13534	
Die Urologie		978-3-642-41168-7							http://link.springer.com/10.1007/978-3-642-41168-7		10.1007/978-3-642-41168-7		fulltext		Springer Berlin Heidelberg	Monograph	2015				Michel	13534	
Diet and Nutrition in Critical Care		978-1-4614-8503-2							http://link.springer.com/10.1007/978-1-4614-8503-2		10.1007/978-1-4614-8503-2		fulltext		Springer New York	Monograph	2014				Rajendram		
Diet and Nutrition in Critical Care	978-1-4614-7837-9	978-1-4614-7836-2							http://link.springer.com/10.1007/978-1-4614-7836-2		10.1007/978-1-4614-7836-2		fulltext		Springer New York	Monograph	2015			2015	Rajendram		
Directory of Microbicides for the Protection of Materials	978-1-4020-2817-5	978-1-4020-2818-2							http://link.springer.com/10.1007/1-4020-2818-0		10.1007/1-4020-2818-0		fulltext		Springer Netherlands	Monograph	2005				Paulus		
Drug Design	978-3-642-17906-8	978-3-642-17907-5							http://link.springer.com/10.1007/978-3-642-17907-5		10.1007/978-3-642-17907-5		fulltext		Springer Berlin Heidelberg	Monograph	2013				Klebe		
Drug Discovery and Evaluation	978-3-540-25638-0	978-3-540-29804-5							http://link.springer.com/10.1007/3-540-29804-5		10.1007/3-540-29804-5		fulltext		Springer Berlin Heidelberg	Monograph	2006				Vogel		
Drug Discovery and Evaluation	978-3-540-42396-6	978-3-540-29837-3							http://link.springer.com/10.1007/3-540-29837-1		10.1007/3-540-29837-1		fulltext		Springer Berlin Heidelberg	Monograph	2002				Vogel		
Drug Discovery and Evaluation	978-3-540-71420-0	978-3-540-70995-4							http://link.springer.com/10.1007/978-3-540-70995-4		10.1007/978-3-540-70995-4		fulltext		Springer Berlin Heidelberg	Monograph	2008			Third Completely Revised, Updated and Enlarged Edition	Vogel		
Drug Discovery and Evaluation: Methods in Clinical Pharmacology	978-3-540-89890-0	978-3-540-89891-7							http://link.springer.com/10.1007/978-3-540-89891-7		10.1007/978-3-540-89891-7		fulltext		Springer Berlin Heidelberg	Monograph	2011				Vogel		
Drug Discovery and Evaluation: Pharmacological Assays		978-3-642-27728-3							http://link.springer.com/10.1007/978-3-642-27728-3		10.1007/978-3-642-27728-3		fulltext		Springer Berlin Heidelberg	Monograph	2014				Hock		
Drug Discovery and Evaluation: Pharmacological Assays	978-3-319-05391-2	978-3-319-05392-9							http://link.springer.com/10.1007/978-3-319-05392-9		10.1007/978-3-319-05392-9		fulltext		Springer International Publishing	Monograph	2016			4th ed. 2016	Hock		
Drug Discovery and Evaluation: Safety and Pharmacokinetic Assays	978-3-642-25239-6	978-3-642-25240-2							http://link.springer.com/10.1007/978-3-642-25240-2		10.1007/978-3-642-25240-2		fulltext		Springer Berlin Heidelberg	Monograph	2013				Vogel		
Ecology and the Environment		978-1-4614-7612-2							http://link.springer.com/10.1007/978-1-4614-7612-2		10.1007/978-1-4614-7612-2		fulltext		Springer New York	Monograph	2014		8		Monson		
Ecology and the Environment	978-1-4614-7500-2	978-1-4614-7501-9							http://link.springer.com/10.1007/978-1-4614-7501-9		10.1007/978-1-4614-7501-9		fulltext		Springer New York	Monograph	2014		8	2014	Monson	11785	
Encyclopaedia of the History of Science, Technology, and Medicine in Non-Western Cultures		978-94-007-3934-5							http://link.springer.com/10.1007/978-94-007-3934-5		10.1007/978-94-007-3934-5		fulltext		Springer Netherlands	Monograph	2014				Selin		
Encyclopaedia of the History of Science, Technology, and Medicine in Non-Western Cultures	978-1-4020-4559-2	978-1-4020-4425-0							http://link.springer.com/10.1007/978-1-4020-4425-0		10.1007/978-1-4020-4425-0		fulltext		Springer Netherlands	Monograph	2008				Selin		
Encyclopedia of AIDS		978-1-4614-9610-6							http://link.springer.com/10.1007/978-1-4614-9610-6		10.1007/978-1-4614-9610-6		fulltext		Springer New York	Monograph	2016				Hope		
Encyclopedia of Adolescence	978-1-4419-1694-5	978-1-4419-1695-2							http://link.springer.com/10.1007/978-1-4419-1695-2		10.1007/978-1-4419-1695-2		fulltext		Springer New York	Monograph	2011				Levesque		
Encyclopedia of Aging and Public Health	978-0-387-33753-1	978-0-387-33754-8							http://link.springer.com/10.1007/978-0-387-33754-8		10.1007/978-0-387-33754-8		fulltext		Springer US	Monograph	2008				Loue		
Encyclopedia of Agrophysics	978-90-481-3584-4	978-90-481-3585-1							http://link.springer.com/10.1007/978-90-481-3585-1		10.1007/978-90-481-3585-1		fulltext		Springer Netherlands	Monograph	2011				Gliński	5898	
Encyclopedia of Algorithms		978-3-642-27848-8							http://link.springer.com/10.1007/978-3-642-27848-8		10.1007/978-3-642-27848-8		fulltext		Springer Berlin Heidelberg	Monograph	2014				Kao		
Encyclopedia of Algorithms	978-0-387-30770-1	978-0-387-30162-4							http://link.springer.com/10.1007/978-0-387-30162-4		10.1007/978-0-387-30162-4		fulltext		Springer US	Monograph	2008				Kao		
Encyclopedia of Applied Electrochemistry	978-1-4419-6995-8	978-1-4419-6996-5							http://link.springer.com/10.1007/978-1-4419-6996-5		10.1007/978-1-4419-6996-5		fulltext		Springer New York	Monograph	2014				Kreysa		
Encyclopedia of Applied and Computational Mathematics	978-3-540-70528-4	978-3-540-70529-1							http://link.springer.com/10.1007/978-3-540-70529-1		10.1007/978-3-540-70529-1		fulltext		Springer Berlin Heidelberg	Monograph	2015				Engquist		
Encyclopedia of Aquatic Ecotoxicology	978-94-007-5040-1	978-94-007-5704-2							http://link.springer.com/10.1007/978-94-007-5704-2		10.1007/978-94-007-5704-2		fulltext		Springer Netherlands	Monograph	2013				Férard		
Encyclopedia of Astrobiology		978-3-642-27833-4							http://link.springer.com/10.1007/978-3-642-27833-4		10.1007/978-3-642-27833-4		fulltext		Springer Berlin Heidelberg	Monograph	2014				Amils		
Encyclopedia of Astrobiology	978-3-642-11271-3	978-3-642-11274-4							http://link.springer.com/10.1007/978-3-642-11274-4		10.1007/978-3-642-11274-4		fulltext		Springer Berlin Heidelberg	Monograph	2011				Gargaud		
Encyclopedia of Astrobiology	978-3-662-44184-8	978-3-662-44185-5							http://link.springer.com/10.1007/978-3-662-44185-5		10.1007/978-3-662-44185-5		fulltext		Springer Berlin Heidelberg	Monograph	2015				Gargaud		
Encyclopedia of Autism Spectrum Disorders		978-1-4614-6435-8							http://link.springer.com/10.1007/978-1-4614-6435-8		10.1007/978-1-4614-6435-8		fulltext		Springer New York	Monograph	2015				Volkmar		
Encyclopedia of Autism Spectrum Disorders	978-1-4419-1697-6	978-1-4419-1698-3							http://link.springer.com/10.1007/978-1-4419-1698-3		10.1007/978-1-4419-1698-3		fulltext		Springer New York	Monograph	2013				Volkmar		
Encyclopedia of Behavioral Medicine	978-1-4419-1004-2	978-1-4419-1005-9							http://link.springer.com/10.1007/978-1-4419-1005-9		10.1007/978-1-4419-1005-9		fulltext		Springer New York	Monograph	2013				Gellman		
Encyclopedia of Biometrics		978-3-642-27733-7							http://link.springer.com/10.1007/978-3-642-27733-7		10.1007/978-3-642-27733-7		fulltext		Springer US	Monograph	2009				Li		
Encyclopedia of Biometrics	978-0-387-73002-8	978-0-387-73003-5							http://link.springer.com/10.1007/978-0-387-73003-5		10.1007/978-0-387-73003-5		fulltext		Springer US	Monograph	2009				Li		
Encyclopedia of Biometrics	978-1-4899-7487-7	978-1-4899-7488-4							http://link.springer.com/10.1007/978-1-4899-7488-4		10.1007/978-1-4899-7488-4		fulltext		Springer US	Monograph	2015				Li		
Encyclopedia of Biophysics	978-3-642-16711-9	978-3-642-16712-6							http://link.springer.com/10.1007/978-3-642-16712-6		10.1007/978-3-642-16712-6		fulltext		Springer Berlin Heidelberg	Monograph	2013				Roberts		
Encyclopedia of Cancer		978-3-642-27841-9							http://link.springer.com/10.1007/978-3-642-27841-9		10.1007/978-3-642-27841-9		fulltext		Springer Berlin Heidelberg	Monograph	2016				Schwab		
Encyclopedia of Cancer	978-3-540-36847-2	978-3-540-47648-1							http://link.springer.com/10.1007/978-3-540-47648-1		10.1007/978-3-540-47648-1		fulltext		Springer Berlin Heidelberg	Monograph	2009				Schwab		
Encyclopedia of Cancer	978-3-642-16482-8	978-3-642-16483-5							http://link.springer.com/10.1007/978-3-642-16483-5		10.1007/978-3-642-16483-5		fulltext		Springer Berlin Heidelberg	Monograph	2012			3	Schwab		
Encyclopedia of Child Behavior and Development	978-0-387-77579-1	978-0-387-79061-9							http://link.springer.com/10.1007/978-0-387-79061-9		10.1007/978-0-387-79061-9		fulltext		Springer US	Monograph	2011				Goldstein		
Encyclopedia of Clinical Neuropsychology	978-0-387-79947-6	978-0-387-79948-3							http://link.springer.com/10.1007/978-0-387-79948-3		10.1007/978-0-387-79948-3		fulltext		Springer New York	Monograph	2011				Kreutzer		
Encyclopedia of Coastal Science	978-1-4020-1903-6	978-1-4020-3880-8							http://link.springer.com/10.1007/1-4020-3880-1		10.1007/1-4020-3880-1		fulltext		Springer Netherlands	Monograph	2005				Schwartz	5898	
Encyclopedia of Colloid and Interface Science	978-3-642-20664-1	978-3-642-20665-8							http://link.springer.com/10.1007/978-3-642-20665-8		10.1007/978-3-642-20665-8		fulltext		Springer Berlin Heidelberg	Monograph	2013				Tadros		
Encyclopedia of Color Science and Technology		978-3-642-27851-8							http://link.springer.com/10.1007/978-3-642-27851-8		10.1007/978-3-642-27851-8		fulltext		Springer Berlin Heidelberg	Monograph	2016				Luo		
Encyclopedia of Complexity and Systems Science		978-3-642-27737-5							http://link.springer.com/10.1007/978-3-642-27737-5		10.1007/978-3-642-27737-5		fulltext		Springer Berlin Heidelberg	Monograph	2016				Meyers		
Encyclopedia of Complexity and Systems Science	978-0-387-75888-6	978-0-387-30440-3							http://link.springer.com/10.1007/978-0-387-30440-3		10.1007/978-0-387-30440-3		fulltext		Springer New York	Monograph	2009				Meyers		
Encyclopedia of Computational Neuroscience		978-1-4614-7320-6							http://link.springer.com/10.1007/978-1-4614-7320-6		10.1007/978-1-4614-7320-6		fulltext		Springer New York	Monograph	2014				Jaeger		
Encyclopedia of Computational Neuroscience	978-1-4614-6674-1	978-1-4614-6675-8							http://link.springer.com/10.1007/978-1-4614-6675-8		10.1007/978-1-4614-6675-8		fulltext		Springer New York	Monograph	2015				Jaeger		
Encyclopedia of Computer Graphics and Games		978-3-319-08234-9							http://link.springer.com/10.1007/978-3-319-08234-9		10.1007/978-3-319-08234-9		fulltext		Springer International Publishing	Monograph	2015				Lee		
Encyclopedia of Corporate Social Responsibility	978-3-642-28035-1	978-3-642-28036-8							http://link.springer.com/10.1007/978-3-642-28036-8		10.1007/978-3-642-28036-8		fulltext		Springer Berlin Heidelberg	Monograph	2013				Idowu		
Encyclopedia of Creativity, Invention, Innovation and Entrepreneurship	978-1-4614-3857-1	978-1-4614-3858-8							http://link.springer.com/10.1007/978-1-4614-3858-8		10.1007/978-1-4614-3858-8		fulltext		Springer New York	Monograph	2013				Carayannis		
Encyclopedia of Criminology and Criminal Justice	978-1-4614-5689-6	978-1-4614-5690-2							http://link.springer.com/10.1007/978-1-4614-5690-2		10.1007/978-1-4614-5690-2		fulltext		Springer New York	Monograph	2014				Bruinsma		
Encyclopedia of Critical Psychology	978-1-4614-5582-0	978-1-4614-5583-7							http://link.springer.com/10.1007/978-1-4614-5583-7		10.1007/978-1-4614-5583-7		fulltext		Springer New York	Monograph	2014				Teo		
Encyclopedia of Cross-Cultural School Psychology	978-0-387-71798-2	978-0-387-71799-9							http://link.springer.com/10.1007/978-0-387-71799-9		10.1007/978-0-387-71799-9		fulltext		Springer US	Monograph	2010				Clauss-Ehlers		
Encyclopedia of Cryptography and Security	978-0-387-23473-1	978-0-387-23483-0							http://link.springer.com/10.1007/0-387-23483-7		10.1007/0-387-23483-7		fulltext		Springer US	Monograph	2005				Tilborg		
Encyclopedia of Cryptography and Security	978-1-4419-5905-8	978-1-4419-5906-5							http://link.springer.com/10.1007/978-1-4419-5906-5		10.1007/978-1-4419-5906-5		fulltext		Springer US	Monograph	2011			2	van Tilborg		
Encyclopedia of Database Systems	978-0-387-35544-3	978-0-387-39940-9							http://link.springer.com/10.1007/978-0-387-39940-9		10.1007/978-0-387-39940-9		fulltext		Springer US	Monograph	2009				LIU		
Encyclopedia of Diagnostic Imaging	978-3-540-35278-5	978-3-540-35280-8							http://link.springer.com/10.1007/978-3-540-35280-8		10.1007/978-3-540-35280-8		fulltext		Springer Berlin Heidelberg	Monograph	2008				Baert		
Encyclopedia of Diasporas	978-0-306-48321-9	978-0-387-29904-4							http://link.springer.com/10.1007/978-0-387-29904-4		10.1007/978-0-387-29904-4		fulltext		Springer US	Monograph	2005				Ember		
Encyclopedia of Earthquake Engineering		978-3-642-36197-5							http://link.springer.com/10.1007/978-3-642-36197-5		10.1007/978-3-642-36197-5		fulltext		Springer Berlin Heidelberg	Monograph	2016				Beer		
Encyclopedia of Earthquake Engineering	978-3-642-35343-7	978-3-642-35344-4							http://link.springer.com/10.1007/978-3-642-35344-4		10.1007/978-3-642-35344-4		fulltext		Springer Berlin Heidelberg	Monograph	2015				Beer		
Encyclopedia of Educational Philosophy and Theory		978-981-287-532-7							http://link.springer.com/10.1007/978-981-287-532-7		10.1007/978-981-287-532-7		fulltext		Springer Singapore	Monograph	2016				Peters		
Encyclopedia of Entomology	978-0-7923-8670-4	978-0-306-48380-6							http://link.springer.com/10.1007/0-306-48380-7		10.1007/0-306-48380-7		fulltext		Springer Netherlands	Monograph	2005						
Encyclopedia of Entomology	978-1-4020-6242-1	978-1-4020-6359-6							http://link.springer.com/10.1007/978-1-4020-6359-6		10.1007/978-1-4020-6359-6		fulltext		Springer Netherlands	Monograph	2008				Capinera		
Encyclopedia of Estuaries	978-94-017-8800-7	978-94-017-8801-4							http://link.springer.com/10.1007/978-94-017-8801-4		10.1007/978-94-017-8801-4		fulltext		Springer Netherlands	Monograph	2016				Kennish	5898	
Encyclopedia of European and Asian Regional Geology	978-0-412-74040-4	978-1-4020-4495-3							http://link.springer.com/10.1007/1-4020-4495-X		10.1007/1-4020-4495-X		fulltext		Springer Netherlands	Monograph	1997					5898	
Encyclopedia of Exercise Medicine in Health and Disease	978-3-540-36065-0	978-3-540-29807-6							http://link.springer.com/10.1007/978-3-540-29807-6		10.1007/978-3-540-29807-6		fulltext		Springer Berlin Heidelberg	Monograph	2012				Mooren		
Encyclopedia of Feeding and Eating Disorders		978-981-287-087-2							http://link.springer.com/10.1007/978-981-287-087-2		10.1007/978-981-287-087-2		fulltext		Springer Singapore	Monograph	2015				Wade		
Encyclopedia of Finance	978-0-387-26284-0	978-0-387-26336-6							http://link.springer.com/10.1007/978-0-387-26336-6		10.1007/978-0-387-26336-6		fulltext		Springer US	Monograph	2006				Lee		
Encyclopedia of Finance	978-1-4614-5359-8	978-1-4614-5360-4							http://link.springer.com/10.1007/978-1-4614-5360-4		10.1007/978-1-4614-5360-4		fulltext		Springer US	Monograph	2013			2nd ed. 2013	Lee		
Encyclopedia of Food and Agricultural Ethics		978-94-007-6167-4							http://link.springer.com/10.1007/978-94-007-6167-4		10.1007/978-94-007-6167-4		fulltext		Springer Netherlands	Monograph	2013				Thompson		
Encyclopedia of Food and Agricultural Ethics	978-94-007-0928-7	978-94-007-0929-4							http://link.springer.com/10.1007/978-94-007-0929-4		10.1007/978-94-007-0929-4		fulltext		Springer Netherlands	Monograph	2014				Thompson		
Encyclopedia of GIS	978-0-387-30858-6	978-0-387-35973-1							http://link.springer.com/10.1007/978-0-387-35973-1		10.1007/978-0-387-35973-1		fulltext		Springer US	Monograph	2008				Shekhar		
Encyclopedia of Genetics, Genomics, Proteomics and Informatics	978-1-4020-6753-2	978-1-4020-6754-9							http://link.springer.com/10.1007/978-1-4020-6754-9	Rédei	10.1007/978-1-4020-6754-9		fulltext		Springer Netherlands	Monograph	2008						
Encyclopedia of Geobiology	978-1-4020-9211-4	978-1-4020-9212-1							http://link.springer.com/10.1007/978-1-4020-9212-1		10.1007/978-1-4020-9212-1		fulltext		Springer Netherlands	Monograph	2011				Reitner	5898	
Encyclopedia of Geochemistry	978-0-412-75500-2	978-1-4020-4496-0							http://link.springer.com/10.1007/1-4020-4496-8		10.1007/1-4020-4496-8		fulltext		Springer Netherlands	Monograph	1999				Marshall	5898	
Encyclopedia of Geodesy		978-3-319-02370-0							http://link.springer.com/10.1007/978-3-319-02370-0		10.1007/978-3-319-02370-0		fulltext		Springer International Publishing	Monograph	2016				Grafarend		
Encyclopedia of Geomagnetism and Paleomagnetism	978-1-4020-3992-8	978-1-4020-4423-6							http://link.springer.com/10.1007/978-1-4020-4423-6		10.1007/978-1-4020-4423-6		fulltext		Springer Netherlands	Monograph	2007				Gubbins		
Encyclopedia of Geropsychology		978-981-287-080-3							http://link.springer.com/10.1007/978-981-287-080-3		10.1007/978-981-287-080-3		fulltext		Springer Singapore	Monograph	2015				Pachana		
Encyclopedia of Global Archaeology	978-1-4419-0426-3	978-1-4419-0465-2							http://link.springer.com/10.1007/978-1-4419-0465-2		10.1007/978-1-4419-0465-2		fulltext		Springer New York	Monograph	2014				Smith		
Encyclopedia of Global Bioethics		978-3-319-05544-2							http://link.springer.com/10.1007/978-3-319-05544-2		10.1007/978-3-319-05544-2		fulltext		Springer International Publishing	Monograph	2016				ten Have		
Encyclopedia of Global Justice	978-1-4020-9159-9	978-1-4020-9160-5							http://link.springer.com/10.1007/978-1-4020-9160-5		10.1007/978-1-4020-9160-5		fulltext		Springer Netherlands	Monograph	2011				Chatterjee		
Encyclopedia of Heart Diseases	978-1-60761-218-6	978-1-60761-219-3							http://link.springer.com/10.1007/978-1-60761-219-3		10.1007/978-1-60761-219-3		fulltext		Humana Press	Monograph	2011				Khan		
Encyclopedia of Hydrology and Lakes	978-0-412-74060-2	978-1-4020-4497-7							http://link.springer.com/10.1007/1-4020-4497-6		10.1007/1-4020-4497-6		fulltext		Springer Netherlands	Monograph	1998					5898	
Encyclopedia of Immigrant Health	978-1-4419-5655-2	978-1-4419-5659-0							http://link.springer.com/10.1007/978-1-4419-5659-0		10.1007/978-1-4419-5659-0		fulltext		Springer New York	Monograph	2012				Loue		
Encyclopedia of Immunotoxicology		978-3-642-27786-3							http://link.springer.com/10.1007/978-3-642-27786-3		10.1007/978-3-642-27786-3		fulltext		Springer Berlin Heidelberg	Monograph	2005				Vohr		
