publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	collection	notes	department_code	continent	country	places	people	topics
Aden Colony and Aden Protectorate: correspondence									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414825		CO 935/19						1936-1940	1936-1940							Confidential Print: Middle East		CO	Middle East		Aden, Baghdad, Bosphorus, Cairo, Dhofar, Egypt, France, Germany, Gulf of Oman, India, Iran, Iraq, Israel, Istanbul, Italy, Jeddah, Jordan, London, Muscat, Oman, Ottoman Empire, Palestine, Persian Gulf, Port Said, Qatar, Red Sea, Sana'a, Saudi Arabia, Syria, Turkey, United Kingdom, United States, Yemen	Chamberlain, Neville; Chamberlain, Sir (Joseph) Austen; Clayton, Sir Gilbert; Eden, Sir Anthony, 1st Earl of Avon ; Fuad I of Egypt; Ibn Saud (Abdul Aziz Al Saud); Lansdowne, 5th Marquess of (Henry Petty-Fitzmaurice); MacDonald, Malcolm; McMahon, Sir (Arthur) Henry; Ormsby-Gore, William, 4th Baron Harlech; Reilly, Sir Bernard; Yahya Muhammad Hamidaddin (Imam Yahya)	air force, Anglo-Iranian Oil Company, Arabs, arms trade, army, banking, boundary dispute, British Empire, British Government, business, Christianity, civil war, communications, concession, conquest, customs, diplomatic representation, education, elections, evacuation, execution, expulsions, foreign policy, imam, international border, Islam, Judaism, judicial system, loans, Mahdi Revolt, migration, military, oil, pipeline, political residency, propaganda, protectorate, railway, roads, Royal Air Force, slavery, slave trade, Sublime Porte, telegraph lines, trade, treaty, war, women
Middle Eastern Nos. 17 to 22.									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414791		CO 935/2						1922-1930	1922-1930							Confidential Print: Middle East		CO	Middle East		Aden, Amman, Ankara, Baghdad, Bosphorus, Cairo, Crete, Dead Sea, Delhi, Egypt, France, Germany, Hejaz, Holy Land, India, Iran, Iraq, Israel, Istanbul, Italy, Jaffa, Jerusalem, Jordan, London, Mediterranean Sea, Mosul, Ottoman Empire, Palestine, Paris, Persian Gulf, Port Said, Red Sea, Russia, Sana'a, Sea of Galilee (Lake Tiberias), Syria, Turkey, United Kingdom, United States, West Bank, Yemen	Allenby, Edmund, 1st Viscount Allenby; Amery, Leo; Balfour, Arthur, 1st Earl of Balfour; Chamberlain, Neville; Chamberlain, Sir (Joseph) Austen; Chancellor, Sir John; Clayton, Sir Gilbert; Curzon of Kedleston, 1st Marquess (George Curzon); Dobbs, Sir Henry; Humphrys, Sir Francis; Loraine, Sir Percy, Bt; Ormsby-Gore, William, 4th Baron Harlech; Peel, William, 1st Earl Peel; Plumer, Herbert, 1st Viscount Plumer; Reilly, Sir Bernard; Webb, Sidney, 1st Baron Passfield; Weizmann, Chaim; Wilson, Sir Arnold; Yahya Muhammad Hamidaddin (Imam Yahya)	air force, Anglo-Iranian Oil Company, Arabs, Arab Legion, arms trade, army, Baghdad Railway, banking, bonds, boundary dispute, British Government, British nationals, business, Christianity, civil war, communications, concession, currency, customs, Dead Sea Salts Concession, diplomatic representation, education, electricity, execution, expulsions, fishing, imam, international border, investment, Islam, Judaism, judicial system, loans, League of Nations, mandate, migration, military, mining, oil, Ottoman Public Debt Administration, parliament, pipeline, plague, political residency, protectorate, railway, riots, roads, Royal Air Force, Royal Navy, Sublime Porte, tariffs, telegraph lines, trade, treaty, Treaty of Lausanne (1923), war, women, Zionism
Missing. File lost by department									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=687045		CO 935/20						1938-1939	1938-1939							Confidential Print: Middle East		CO	Middle East				
Report on the situation in Palestine, Part 1									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414827		CO 935/21						1937-1938	1937-1938							Confidential Print: Middle East		CO	Middle East		Aleppo, Amman, Armenia, Austria, Baghdad, Beirut, Bethlehem, Cairo, Damascus, Dead Sea, Egypt, France, Gaza, Germany, Holy Land, Iraq, Israel, Italy, Jaffa, Jeddah, Jerusalem, Jordan, Lebanon, London, Nablus, Palestine, Port Said, Saudi Arabia, Sea of Galilee (Lake Tiberias), Suez Canal, Syria, United Kingdom, United States	Allenby, Edmund, 1st Viscount Allenby; Balfour, Arthur, 1st Earl of Balfour; Fuad I of Egypt; Ibn Saud (Abdul Aziz Al Saud); MacMichael, Sir Harold; Wauchope, Sir Arthur; Weizmann, Chaim	air force, Anglo-Iranian Oil Company, Arabs, arms trade, army, assassination, banking, battle, British Empire, British Government, British nationals, business, Christianity, church, civil war, communications, concession, currency, customs, Druze, education, elections, execution, exile, international border, Iraq Petroleum Company, Islam, Judaism, League of Nations, mandate, massacre, migration, military, mining, oil, Orthodox Church, parliament, pipeline, propaganda, railway, revolt, revolution, roads, Royal Air Force, telegraph lines, trade, war, women, Zionism
Report on the situation in Palestine, Part 2									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414829		CO 935/22						1939	1939							Confidential Print: Middle East		CO	Middle East		Amman, Baghdad, Beirut, Bethlehem, Cairo, Damascus, Dead Sea, Egypt, France, Gaza, Germany, Greece, India, Iraq, Israel, Italy, Jaffa, Jerusalem, Jordan, Lebanon, Levant, London, Nablus, Palestine, Port Said, Sea of Galilee (Lake Tiberias), Syria, Turkey, United Kingdom, United States	Chamberlain, Neville; Fuad I of Egypt; Ibn Saud (Abdul Aziz Al Saud); Weizmann, Chaim	air force, Arabs, Arab Legion, arms trade, army, assassination, banking, battle, British Government, Christianity, concession, elections, international border, Judaism, mandate, migration, military, mining, Orthodox Church, propaganda, railway, revolt, roads, Royal Air Force, trade, treaty, war, women, Zionism
Future policy in the Aden Protectorate									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414831		CO 935/23						1941-1942	1941-1942							Confidential Print: Middle East		CO	Middle East		Aden, Holy Land, India, Italy, Port Said, Sana'a, United Kingdom, Yemen	Hall, Sir (John) Hathorn; Reilly, Sir Bernard	air force, Arabs, British Government, business, customs, education, imam, international border, military, protectorate, Royal Air Force, telegraph lines, trade, treaty, war
Medical survey of the Western Aden Protectorate									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414833		CO 935/24						1939-1940	1939-1940							Confidential Print: Middle East		CO	Middle East		Aden, India, London, Oman, Paris, Persian Gulf, Port Said, Red Sea, Sana'a, Sudan, United Kingdom, United States, West Bank, Yemen	MacDonald, Malcolm; Reilly, Sir Bernard; Stanley, Oliver	air force, Anglo-Iranian Oil Company, Arabs, arms trade, army, banking, British Government, church, customs, disease, education, fishing, international border, Islam, Judaism, migration, military, oil, pipeline, propaganda, protectorate, roads, Royal Air Force, Royal Navy, slavery, trade, treaty, war, women
Missing. File lost by department									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=687047		CO 935/25						1955-1956	1955-1956							Confidential Print: Middle East		CO	Middle East				
Middle Eastern Nos. 23 to 34.									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414793		CO 935/3						1926-1932	1926-1932							Confidential Print: Middle East		CO	Middle East		Aden, Aegean Sea, Aleppo, Alexandria, Amman, Armenia, Austria, Baghdad, Bahrain, Baku, Basra, Beirut, Bethlehem, Bosphorus, Bulgaria, Bushire (Bushehr), Cairo, Damascus, Delhi, Egypt, France, Gaza, Germany, Greece, Hejaz, Holy Land, India, Iran, Iraq, Israel, Istanbul, Italy, Jaffa, Jeddah, Jerusalem, Jordan, Kirkuk, Kuwait, Lebanon, London, Manama, Mecca, Mosul, Muscat, Nablus, Oman, Ottoman Empire, Palestine, Paris, Persian Gulf, Port Said, Red Sea, Romania, Russia, Salonica, Sana'a, Saudi Arabia, Sea of Galilee (Lake Tiberias), Soviet Union, Sudan, Suez Canal, Syria, Tehran, Tigris River, Tripoli, Turkey, United Kingdom, United States, Yemen	Amery, Leo; Balfour, Arthur, 1st Earl of Balfour; Chamberlain, Neville; Chamberlain, Sir (Joseph) Austen; Chancellor, Sir John; Clayton, Sir Gilbert; Cox, Sir Percy; Cunliffe-Lister, Sir Philip (1st Earl of Swinton); Curzon of Kedleston, 1st Marquess (George Curzon); Devonshire, 9th Duke of (Victor Cavendish); Dobbs, Sir Henry; Fuad I of Egypt; Glubb, Sir John ('Glubb Pasha'); Hoare, Sir Samuel, Bt, 1st Viscount Templewood; Humphrys, Sir Francis; Ibn Saud (Abdul Aziz Al Saud); MacDonald, Ramsay; Ormsby-Gore, William, 4th Baron Harlech; Peel, William, 1st Earl Peel; Plumer, Herbert, 1st Viscount Plumer; Reading, 1st Marquess of (Rufus Isaacs); Reilly, Sir Bernard; Samuel, Sir Herbert, 1st Viscount Samuel; Simon, Sir John, 1st Viscount Simon; Sykes, Sir (Tatton) Mark, Bt; Webb, Sidney, 1st Baron Passfield; Weizmann, Chaim; Wilson, Sir Arnold; Yahya Muhammad Hamidaddin (Imam Yahya)	air force, Anglo-Iranian Oil Company, Arabs, Arab Legion, arms trade, army, Baghdad Railway, banking, bonds, boundary dispute, British Empire, British Government, British nationals, business, caliphate, capitulations, Christianity, church, Committee of Union and Progress ('Young Turks'), communications, concession, conquest, coup d'état, currency, customs, diplomatic representation, education, elections, electricity, evacuation, execution, exile, expulsions, firman (Ottoman imperial decree), imam, Imperial Bank of Persia, international border, investment, Iraq Petroleum Company, Islam, Judaism, judicial system, loans, League of Nations, Mahdi Revolt, mandate, migration, military, mining, navy, oil, Ottoman Public Debt Administration, parliament, pipeline, plague, political residency, propaganda, protectorate, railway, refugees, revolt, revolution, riots, roads, Royal Air Force, Royal Navy, San Remo Conference (1920), slavery, slave trade, Sublime Porte, Suez Canal Company, tariffs, telegraph lines, trade, treaty, Treaty of Lausanne (1923), Treaty of Sèvres (1920), Treaty of Versailles (1919), war, women, Zionism
Middle Eastern Nos. 35 to 41.									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414795		CO 935/4						1923-1933	1923-1933							Confidential Print: Middle East		CO	Middle East		Aden, Amman, Anatolia, Ankara, Baghdad, Basra, Beirut, Bethlehem, Black Sea, Cairo, Damascus, Dead Sea, Egypt, Euphrates River, France, Gaza, Germany, Greece, Hejaz, Holy Land, India, Iran, Iraq, Israel, Istanbul, Italy, Jaffa, Jerusalem, Jordan, Kurdistan, Lebanon, London, Malta, Mediterranean Sea, Mosul, Nablus, Ottoman Empire, Palestine, Paris, Persian Gulf, Port Said, Romania, Russia, Sea of Galilee (Lake Tiberias), Serbia, Soviet Union, Sudan, Suez Canal, Syria, Tripoli, Turkey, United Kingdom, United States, Yemen	Allenby, Edmund, 1st Viscount Allenby; Amery, Leo; Chamberlain, Neville; Chamberlain, Sir (Joseph) Austen; Chancellor, Sir John; Cunliffe-Lister, Sir Philip (1st Earl of Swinton); Curzon of Kedleston, 1st Marquess (George Curzon); Devonshire, 9th Duke of (Victor Cavendish); Dobbs, Sir Henry; Humphrys, Sir Francis; Ormsby-Gore, William, 4th Baron Harlech; Plumer, Herbert, 1st Viscount Plumer; Samuel, Sir Herbert, 1st Viscount Samuel; Simon, Sir John, 1st Viscount Simon; Wauchope, Sir Arthur; Webb, Sidney, 1st Baron Passfield; Weizmann, Chaim	air force, Arabs, Arab Legion, arms trade, army, Baghdad Railway, banking, bonds, British Empire, British Government, British nationals, business, capitulations, Christianity, church, communications, communism, concession, conquest, currency, customs, Dead Sea Salts Concession, diplomatic representation, Dual Control (Franco-British control of Egyptian government), education, elections, electricity, evacuation, execution, firman (Ottoman imperial decree), fishing, foreign policy, imam, international border, investment, Iraq Petroleum Company, Islam, Judaism, judicial system, Kurds, loans, League of Nations, mandate, massacre, migration, military, mining, navy, oil, parliament, pipeline, propaganda, protectorate, railway, riots, roads, Royal Air Force, Royal Navy, Sublime Porte, tariffs, telegraph lines, trade, treaty, Treaty of Lausanne (1923), Treaty of Versailles (1919), war, women, Zionism
Middle Eastern Nos. 42 to 47.									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414797		CO 935/5						1930-1933	1930-1933							Confidential Print: Middle East		CO	Middle East		Aden, Amman, Baghdad, Basra, Beirut, Bethlehem, Cairo, Damascus, Dead Sea, Delhi, Egypt, France, Gaza, Hejaz, India, Iran, Iraq, Israel, Italy, Jaffa, Jeddah, Jerusalem, Jordan, Lebanon, London, Mediterranean Sea, Muscat, Nablus, Oman, Ottoman Empire, Palestine, Paris, Persian Gulf, Port Said, Red Sea, Sana'a, Saudi Arabia, Sea of Galilee (Lake Tiberias), Soviet Union, Suez Canal, Syria, Turkey, United Kingdom, United States, Yemen	Allenby, Edmund, 1st Viscount Allenby; Chancellor, Sir John; Clayton, Sir Gilbert; Cunliffe-Lister, Sir Philip (1st Earl of Swinton); Glubb, Sir John ('Glubb Pasha'); Hoare, Sir Samuel, Bt, 1st Viscount Templewood; Humphrys, Sir Francis; Ibn Saud (Abdul Aziz Al Saud); Reading, 1st Marquess of (Rufus Isaacs); Reilly, Sir Bernard; Simon, Sir John, 1st Viscount Simon; Wauchope, Sir Arthur; Webb, Sidney, 1st Baron Passfield; Yahya Muhammad Hamidaddin (Imam Yahya)	air force, Anglo-Iranian Oil Company, Arabs, Arab Legion, arms trade, army, Baghdad Railway, banking, British Government, British nationals, business, Christianity, church, communications, concession, currency, customs, diplomacy, diplomatic representation, disease, education, elections, evacuation, execution, fishing, imam, international border, investment, Iraq Petroleum Company, Islam, Judaism, judicial system, loans, League of Nations, mandate, migration, military, mining, oil, Ottoman Public Debt Administration, parliament, pipeline, protectorate, railway, riots, roads, Royal Air Force, Royal Navy, slavery, slave trade, Suez Canal Company, tariffs, telegraph lines, trade, treaty, Treaty of Lausanne (1923), war, women, Zionism
Palestine and Transjordan: estimates and finances									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414799		CO 935/6						1933	1933							Confidential Print: Middle East		CO	Middle East		Amman, Beirut, Bethlehem, Dead Sea, France, Hejaz, Iraq, Israel, Jaffa, Jerusalem, Jordan, Nablus, Palestine, Port Said, Sana'a, Sea of Galilee (Lake Tiberias), Syria, United Kingdom, United States	Allenby, Edmund, 1st Viscount Allenby; Cunliffe-Lister, Sir Philip (1st Earl of Swinton); Wauchope, Sir Arthur	air force, Anglo-Iranian Oil Company, Arabs, Arab Legion, arms trade, banking, British Government, communications, concession, currency, customs, disease, education, execution, imam, international border, Iraq Petroleum Company, Islam, Judaism, judicial system, loans, migration, military, oil, parliament, pipeline, railway, roads, Royal Air Force, telegraph lines, trade, war, women
Concessions in Bahrein, Kuwait etc									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414801		CO 935/7						1932-1933	1932-1933							Confidential Print: Middle East		CO	Middle East		Baghdad, Bahrain, Bushire (Bushehr), Cairo, Delhi, Egypt, France, Hejaz, India, Iran, Iraq, Italy, Jeddah, Kuwait, London, Manama, Mecca, Muscat, Oman, Persian Gulf, Port Said, Qatar, United Kingdom, United States, Washington, DC, Washington, DC	Cunliffe-Lister, Sir Philip (1st Earl of Swinton); Fuad I of Egypt; Hoare, Sir Samuel, Bt, 1st Viscount Templewood; Ibn Saud (Abdul Aziz Al Saud); Salman ibn Hamad Al Khalifa; Simon, Sir John, 1st Viscount Simon; Wilson, Sir Arnold	Anglo-Iranian Oil Company, Arabs, army, banking, British Government, British nationals, business, communications, concession, coup d'état, currency, customs, diplomatic representation, elections, electricity, execution, international border, Iraq Petroleum Company, Islam, judicial system, loans, League of Nations, mining, oil, political residency, roads, Royal Navy, telegraph lines, trade, treaty, war
Aden: question of transfer									http://www.archivesdirect.amdigital.co.uk/Contents/DocumentDetails.aspx?documentid=414803		CO 935/8						1933	1933							Confidential Print: Middle East		CO	Middle East		Aden, Delhi, India, Israel, Italy, London, Palestine, Port Said, United Kingdom, Yemen	Reilly, Sir Bernard	Arabs, British Government, British nationals, business, currency, customs, diplomatic representation, Dual Control (Franco-British control of Egyptian government), education, imam, Islam, Judaism, judicial system, military, oil, parliament, propaganda, protectorate, tariffs, telegraph lines, trade, war
